secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
11.5,0.122519,-0.016898,0.069191,-0.96924,0.043475,-0.242249,-0.038542,0.026166,-0.00299,0.623045,0.354763,-0.50301,0.482638,10.0,1.0,6.0,30DBP,11,InclinePress
11.51,0.210788,-0.006202,0.049158,-0.969251,0.043523,-0.242194,-0.036501,0.025812,-0.029107,0.622593,0.355208,-0.502723,0.483192,10.0,1.0,6.0,30DBP,11,InclinePress
11.52,0.258951,0.040437,0.005658,-0.969223,0.04319,-0.242368,-0.031891,0.019478,-0.038042,0.622135,0.35586,-0.502175,0.483872,10.0,1.0,6.0,30DBP,11,InclinePress
11.53,0.357143,0.079038,-0.058748,-0.9691,0.042106,-0.24305,-0.055208,0.025139,-0.050849,0.621812,0.356769,-0.501189,0.48464,10.0,1.0,6.0,30DBP,11,InclinePress
11.54,0.378943,0.136867,-0.091522,-0.968863,0.040373,-0.244284,-0.079263,0.003359,-0.044596,0.62161,0.357893,-0.499771,0.485534,10.0,1.0,6.0,30DBP,11,InclinePress
11.55,0.341281,0.18964,-0.139914,-0.968506,0.038373,-0.246016,-0.103485,-0.013273,-0.008348,0.621666,0.358888,-0.498188,0.486353,10.0,1.0,6.0,30DBP,11,InclinePress
11.56,0.392867,0.185181,-0.190197,-0.96809,0.035887,-0.248019,-0.11597,-0.005522,-0.026303,0.621879,0.359969,-0.496399,0.48711,10.0,1.0,6.0,30DBP,11,InclinePress
11.57,0.379388,0.183172,-0.196339,-0.967697,0.033108,-0.249933,-0.085922,-0.016918,-0.044211,0.622078,0.361206,-0.494534,0.487838,10.0,1.0,6.0,30DBP,11,InclinePress
11.58,0.338765,0.18647,-0.207345,-0.967301,0.030321,-0.251814,-0.083969,-0.021654,-0.00374,0.622367,0.362346,-0.492746,0.488432,10.0,1.0,6.0,30DBP,11,InclinePress
11.59,0.485879,0.132842,-0.196469,-0.966947,0.027399,-0.253501,-0.110964,-0.009638,-0.022332,0.622524,0.363679,-0.490904,0.489095,10.0,1.0,6.0,30DBP,11,InclinePress
11.6,0.61069,0.118753,-0.196137,-0.966688,0.024135,-0.254817,-0.099474,-0.019313,-0.030919,0.622283,0.365575,-0.488821,0.490074,10.0,1.0,6.0,30DBP,11,InclinePress
11.61,0.632525,0.096655,-0.229816,-0.966453,0.02051,-0.256024,-0.134652,-0.025255,0.018567,0.621905,0.367776,-0.486548,0.491168,10.0,1.0,6.0,30DBP,11,InclinePress
11.62,0.647829,0.064478,-0.217052,-0.966288,0.016715,-0.256922,-0.18128,-0.029059,0.009928,0.621487,0.37009,-0.484327,0.492154,10.0,1.0,6.0,30DBP,11,InclinePress
11.63,0.684738,0.038202,-0.226292,-0.966187,0.012929,-0.257519,-0.155701,-0.070836,0.013699,0.620888,0.372565,-0.482116,0.493212,10.0,1.0,6.0,30DBP,11,InclinePress
11.64,0.620085,0.019751,-0.287719,-0.966139,0.008867,-0.257869,-0.164827,-0.089403,0.021754,0.620347,0.375109,-0.479957,0.494068,10.0,1.0,6.0,30DBP,11,InclinePress
11.65,0.568036,0.025061,-0.331127,-0.966098,0.004377,-0.25814,-0.211759,-0.084913,0.026649,0.620038,0.37763,-0.477834,0.494593,10.0,1.0,6.0,30DBP,11,InclinePress
11.66,0.564314,0.030222,-0.35693,-0.966025,-0.000334,-0.25845,-0.248804,-0.113283,0.039456,0.619882,0.3801,-0.475709,0.494946,10.0,1.0,6.0,30DBP,11,InclinePress
11.67,0.604599,-0.004463,-0.365919,-0.965974,-0.005293,-0.258586,-0.279525,-0.119279,0.003261,0.619697,0.382711,-0.473539,0.495246,10.0,1.0,6.0,30DBP,11,InclinePress
11.68,0.661251,-0.037302,-0.378509,-0.966006,-0.010514,-0.258305,-0.259854,-0.112136,-0.00735,0.619322,0.385629,-0.471315,0.495574,10.0,1.0,6.0,30DBP,11,InclinePress
11.69,0.609262,-0.035798,-0.428704,-0.966047,-0.016045,-0.25787,-0.264499,-0.096794,0.023266,0.619005,0.388633,-0.469073,0.49575,10.0,1.0,6.0,30DBP,11,InclinePress
11.7,0.616193,-0.049976,-0.473128,-0.966076,-0.021969,-0.257322,-0.280842,-0.067661,0.025755,0.618833,0.39168,-0.466825,0.495688,10.0,1.0,6.0,30DBP,11,InclinePress
11.71,0.6082,-0.07152,-0.497882,-0.966118,-0.02827,-0.256548,-0.269645,-0.06931,0.013475,0.618669,0.394895,-0.464526,0.495503,10.0,1.0,6.0,30DBP,11,InclinePress
