secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.01,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.02,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.03,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.04,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.05,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.06,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.07,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.08,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.09,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.1,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.11,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.12,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.13,,,,,,,,,,,,,,10.0,1.0,6.0,30DBP,11,Idle
0.14,-0.027103,-0.013142,0.084239,0.136998,-0.023072,-0.990303,0.001323,0.000626,-0.000374,0.997572,0.011492,0.068678,0.001041,10.0,1.0,6.0,30DBP,11,Idle
0.15,-0.029816,-0.015052,0.073005,0.137073,-0.022764,-0.990299,-0.006534,0.002333,-0.004894,0.997571,0.011311,0.068719,0.001436,10.0,1.0,6.0,30DBP,11,Idle
0.16,-0.012071,-0.019733,0.074699,0.137084,-0.022423,-0.990306,-0.009368,0.003365,-0.009679,0.997572,0.011115,0.068729,0.001795,10.0,1.0,6.0,30DBP,11,Idle
0.17,0.004127,-0.018513,0.070075,0.137066,-0.022342,-0.99031,-0.004085,0.016361,-0.006715,0.997572,0.01105,0.068724,0.00215,10.0,1.0,6.0,30DBP,11,Idle
0.18,0.00625,-0.01699,0.063446,0.137014,-0.022297,-0.990318,0.002176,0.022693,0.001243,0.997574,0.011005,0.068701,0.002473,10.0,1.0,6.0,30DBP,11,Idle
0.19,0.007057,-0.017226,0.071791,0.136829,-0.022311,-0.990343,0.003522,0.019595,0.011614,0.997579,0.01099,0.068611,0.0028,10.0,1.0,6.0,30DBP,11,Idle
0.2,0.007515,-0.016656,0.074114,0.136632,-0.022547,-0.990365,0.010982,0.014109,0.012918,0.997583,0.011084,0.068516,0.003163,10.0,1.0,6.0,30DBP,11,Idle
0.21,0.003885,-0.006655,0.065901,0.136536,-0.022741,-0.990374,0.015579,0.014425,0.013659,0.997584,0.011157,0.068473,0.003509,10.0,1.0,6.0,30DBP,11,Idle
0.22,-0.001285,-0.000274,0.054328,0.136497,-0.022827,-0.990377,0.009682,0.011215,0.015707,0.997584,0.01118,0.068457,0.00381,10.0,1.0,6.0,30DBP,11,Idle
0.23,-0.013218,0.014145,0.043806,0.136464,-0.022811,-0.990382,0.002529,0.0101,0.009639,0.997585,0.011155,0.068442,0.004049,10.0,1.0,6.0,30DBP,11,Idle
0.24,-0.031181,0.014319,0.046749,0.136465,-0.02259,-0.990387,-0.004873,0.014792,0.009888,0.997585,0.011028,0.068445,0.004282,10.0,1.0,6.0,30DBP,11,Idle
0.25,-0.057403,0.009918,0.052504,0.136533,-0.021962,-0.990392,-0.007123,0.010579,0.014776,0.997585,0.010695,0.068481,0.004546,10.0,1.0,6.0,30DBP,11,Idle
0.26,-0.072713,0.012702,0.052813,0.136697,-0.021026,-0.99039,-0.000635,0.003646,0.016452,0.997583,0.010207,0.068564,0.004821,10.0,1.0,6.0,30DBP,11,Idle
0.27,-0.07498,0.013104,0.049509,0.136918,-0.020039,-0.99038,0.004317,0.006779,0.020363,0.997579,0.009693,0.068675,0.005093,10.0,1.0,6.0,30DBP,11,Idle
0.28,-0.05884,0.021321,0.043256,0.13726,-0.01924,-0.990348,0.003686,0.012618,0.02375,0.99757,0.009275,0.068847,0.005344,10.0,1.0,6.0,30DBP,11,Idle
0.29,-0.039633,0.030749,0.045912,0.137745,-0.018646,-0.990292,0.003018,0.015015,0.022137,0.997555,0.00896,0.069091,0.005579,10.0,1.0,6.0,30DBP,11,Idle
0.3,-0.017336,0.034524,0.038337,0.138209,-0.018336,-0.990233,0.004812,0.012278,0.022567,0.997538,0.008787,0.069326,0.005809,10.0,1.0,6.0,30DBP,11,Idle
0.31,-0.004116,0.039265,0.028398,0.138609,-0.018211,-0.99018,0.007005,0.006858,0.018851,0.997524,0.008712,0.069529,0.005965,10.0,1.0,6.0,30DBP,11,Idle
0.32,0.008721,0.039865,0.025045,0.138942,-0.018141,-0.990134,0.005848,0.005034,0.015952,0.997512,0.008667,0.069697,0.006096,10.0,1.0,6.0,30DBP,11,Idle
0.33,0.008758,0.04264,0.025241,0.139287,-0.0182,-0.990085,0.00645,-0.000828,0.008579,0.997499,0.008688,0.069872,0.006211,10.0,1.0,6.0,30DBP,11,Idle
0.34,0.007121,0.038388,0.024287,0.139687,-0.0183,-0.990027,0.004585,0.000463,0.002707,0.997483,0.008728,0.070075,0.006337,10.0,1.0,6.0,30DBP,11,Idle
0.35,-0.003379,0.033272,0.021602,0.140095,-0.018297,-0.989969,0.002468,0.002153,0.002725,0.997468,0.008718,0.070282,0.006442,10.0,1.0,6.0,30DBP,11,Idle
0.36,-0.009268,0.029604,0.017992,0.140449,-0.018126,-0.989922,-0.004233,-0.002855,-0.000694,0.997456,0.008624,0.07046,0.00654,10.0,1.0,6.0,30DBP,11,Idle
0.37,-0.015569,0.031751,0.013145,0.140787,-0.01784,-0.989879,-0.003961,0.001651,-0.00179,0.997445,0.008474,0.07063,0.006624,10.0,1.0,6.0,30DBP,11,Idle
0.38,-0.024946,0.025044,0.015447,0.141133,-0.017504,-0.989836,-0.001896,0.002749,-0.001619,0.997433,0.0083,0.070804,0.006691,10.0,1.0,6.0,30DBP,11,Idle
0.39,-0.028386,0.023024,0.025908,0.141453,-0.017187,-0.989796,-0.000202,0.000158,0.004109,0.997423,0.008132,0.070965,0.006797,10.0,1.0,6.0,30DBP,11,Idle
0.4,-0.018414,0.023098,0.025654,0.141733,-0.016928,-0.98976,0.005164,-0.000742,0.007705,0.997413,0.007991,0.071106,0.006941,10.0,1.0,6.0,30DBP,11,Idle
0.41,0.000532,0.025919,0.028882,0.14205,-0.016921,-0.989715,0.006678,0.009353,0.011565,0.9974,0.007977,0.071267,0.007077,10.0,1.0,6.0,30DBP,11,Idle
0.42,-0.019656,0.027087,0.040357,0.142336,-0.016915,-0.989674,0.004332,0.00634,0.01331,0.997389,0.00796,0.071412,0.007251,10.0,1.0,6.0,30DBP,11,Idle
0.43,-0.051797,0.020775,0.05181,0.142561,-0.016602,-0.989647,0.005282,-0.004486,0.014275,0.99738,0.007786,0.071526,0.007489,10.0,1.0,6.0,30DBP,11,Idle
0.44,-0.068468,0.014996,0.062063,0.142653,-0.016125,-0.989641,0.008882,-0.012242,0.015581,0.997377,0.007524,0.071573,0.007801,10.0,1.0,6.0,30DBP,11,Idle
0.45,-0.066731,0.012971,0.074556,0.142694,-0.015561,-0.989645,0.011252,-0.006213,0.022024,0.997374,0.007215,0.071594,0.008165,10.0,1.0,6.0,30DBP,11,Idle
0.46,-0.058116,0.00897,0.085476,0.14275,-0.015038,-0.989645,0.011593,0.004449,0.02207,0.997371,0.006922,0.071623,0.008589,10.0,1.0,6.0,30DBP,11,Idle
0.47,-0.057764,0.008806,0.088679,0.142829,-0.014635,-0.989639,0.01249,0.003465,0.024658,0.997365,0.006686,0.071664,0.009052,10.0,1.0,6.0,30DBP,11,Idle
0.48,-0.075416,0.005068,0.09542,0.142949,-0.014142,-0.989629,0.009502,-0.001346,0.023412,0.997358,0.006404,0.071725,0.009529,10.0,1.0,6.0,30DBP,11,Idle
0.49,-0.094823,-0.005078,0.102218,0.143006,-0.01335,-0.989632,0.009856,-0.011491,0.026192,0.997354,0.00597,0.071753,0.010049,10.0,1.0,6.0,30DBP,11,Idle
0.5,-0.137069,-0.017533,0.108478,0.142951,-0.012318,-0.989653,0.01841,-0.015331,0.02397,0.997353,0.005412,0.071723,0.010617,10.0,1.0,6.0,30DBP,11,Idle
0.51,-0.186724,-0.037428,0.110444,0.142736,-0.010961,-0.9897,0.022944,-0.014338,0.00325,0.997359,0.004688,0.07161,0.011232,10.0,1.0,6.0,30DBP,11,Idle
0.52,-0.248409,-0.069519,0.115421,0.142285,-0.00915,-0.989783,0.023608,-0.023519,0.031425,0.997372,0.003736,0.071375,0.011886,10.0,1.0,6.0,30DBP,11,Idle
0.53,-0.337024,-0.101756,0.113669,0.141557,-0.00655,-0.989909,0.032729,-0.028546,0.02981,0.997395,0.002388,0.070993,0.012576,10.0,1.0,6.0,30DBP,11,Idle
0.54,-0.435015,-0.141693,0.096683,0.140461,-0.002927,-0.990082,0.041759,-0.046206,0.037186,0.99743,0.000533,0.070419,0.013236,10.0,1.0,6.0,30DBP,11,Idle
0.55,-0.569176,-0.196182,0.085417,0.138894,0.001842,-0.990306,0.060447,-0.066417,0.048411,0.997477,-0.001891,0.069596,0.013872,10.0,1.0,6.0,30DBP,11,Idle
0.56,-0.76967,-0.267398,0.087121,0.136679,0.008224,-0.990581,0.085581,-0.092331,0.060039,0.997537,-0.005119,0.068433,0.014536,10.0,1.0,6.0,30DBP,11,Idle
0.57,-1.054379,-0.359313,0.133741,0.133647,0.016903,-0.990885,0.116536,-0.12605,0.067881,0.9976,-0.009504,0.066838,0.015397,10.0,1.0,6.0,30DBP,11,Idle
0.58,-1.343908,-0.445159,0.027844,0.129379,0.028887,-0.991174,0.172745,-0.166873,0.074747,0.997657,-0.015538,0.064586,0.016382,10.0,1.0,6.0,30DBP,11,Idle
0.59,-1.70487,-0.511463,0.115422,0.124894,0.043714,-0.991207,0.206863,-0.172544,0.07191,0.997649,-0.022988,0.062195,0.017316,10.0,1.0,6.0,30DBP,11,Idle
0.6,-2.019776,-0.705024,0.284258,0.119313,0.06196,-0.990921,0.222896,-0.233468,0.075623,0.997545,-0.032188,0.059188,0.019085,10.0,1.0,6.0,30DBP,11,Idle
0.61,-2.922702,-0.034826,1.19141,0.1144,0.08441,-0.989842,0.25703,-0.221159,0.06252,0.997199,-0.043606,0.056368,0.022687,10.0,1.0,6.0,30DBP,11,Idle
0.62,-4.747208,-1.908968,3.840695,0.1073,0.122159,-0.986693,0.401993,-0.355054,0.238509,0.995811,-0.063463,0.051242,0.041316,10.0,1.0,6.0,30DBP,11,Idle
0.63,-3.548831,-1.464107,1.317348,0.094712,0.159705,-0.982611,1.42546,-0.344687,0.204794,0.99412,-0.082709,0.043056,0.055057,10.0,1.0,6.0,30DBP,11,Idle
0.64,-3.504354,-1.383801,1.126189,0.083645,0.192903,-0.977646,0.086323,-0.239808,0.12613,0.992501,-0.099405,0.035992,0.061366,10.0,1.0,6.0,30DBP,11,Idle
