secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
21.5,-0.271509,0.00838,0.032902,-0.979373,-0.0044,-0.202014,0.038607,0.02268,0.029239,0.70154,0.271382,-0.57039,0.329923,12.0,2.0,10.0,DSP,12,ShoulderPress
21.51,-0.310875,-0.010998,0.019556,-0.979424,-0.003441,-0.201786,0.046898,0.025154,0.016209,0.701801,0.270293,-0.571007,0.329193,12.0,2.0,10.0,DSP,12,ShoulderPress
21.52,-0.276607,-0.053277,0.016421,-0.979517,-0.002379,-0.201348,0.042566,0.023894,0.021477,0.702009,0.269163,-0.571732,0.328416,12.0,2.0,10.0,DSP,12,ShoulderPress
21.53,-0.218664,-0.020299,0.031708,-0.979615,-0.001316,-0.200879,0.018693,0.02013,0.033917,0.702117,0.268194,-0.572392,0.327827,12.0,2.0,10.0,DSP,12,ShoulderPress
21.54,-0.098513,-0.053813,0.011517,-0.979713,-0.000801,-0.200403,-0.007546,0.034095,-0.019262,0.70217,0.267638,-0.57286,0.327352,12.0,2.0,10.0,DSP,12,ShoulderPress
21.55,-0.05296,-0.054258,0.03751,-0.979892,-0.000575,-0.199529,0.013461,0.017787,-0.018565,0.701966,0.26756,-0.573277,0.32712,12.0,2.0,10.0,DSP,12,ShoulderPress
21.56,-0.118171,-0.054837,0.041512,-0.980056,-0.000178,-0.198724,0.038161,0.041362,-0.009498,0.701818,0.26731,-0.573745,0.326824,12.0,2.0,10.0,DSP,12,ShoulderPress
21.57,-0.020404,-0.052149,0.007208,-0.980193,7.6e-05,-0.198046,0.039809,0.010208,-0.041197,0.701691,0.267148,-0.574116,0.326577,12.0,2.0,10.0,DSP,12,ShoulderPress
21.58,-0.037771,-0.026432,-0.002402,-0.980296,0.000253,-0.197533,0.026225,-0.009561,-0.029991,0.701547,0.267119,-0.574353,0.326494,12.0,2.0,10.0,DSP,12,ShoulderPress
21.59,0.04484,-0.023789,0.000248,-0.980346,0.000372,-0.197288,0.015441,0.010354,-0.032967,0.701476,0.267088,-0.574474,0.326459,12.0,2.0,10.0,DSP,12,ShoulderPress
21.6,0.109623,0.005739,0.018161,-0.980389,0.000407,-0.19707,0.025296,0.030842,-0.056058,0.701249,0.26739,-0.574428,0.326779,12.0,2.0,10.0,DSP,12,ShoulderPress
21.61,0.067369,0.051641,-0.017111,-0.980356,0.000495,-0.197236,0.025827,0.069802,-0.018066,0.701164,0.267547,-0.574283,0.327089,12.0,2.0,10.0,DSP,12,ShoulderPress
21.62,0.212262,0.04689,-0.068268,-0.980228,4.5e-05,-0.19787,0.007252,-0.002074,-0.039114,0.701194,0.267978,-0.573805,0.32751,12.0,2.0,10.0,DSP,12,ShoulderPress
21.63,0.103344,0.074874,-0.042637,-0.980064,-0.000668,-0.198682,-0.000908,-0.054034,-0.038486,0.701261,0.268557,-0.573181,0.327985,12.0,2.0,10.0,DSP,12,ShoulderPress
21.64,-0.002985,0.054675,-0.030144,-0.979893,-0.000633,-0.199521,0.008443,-0.042213,-0.030566,0.701462,0.268474,-0.572853,0.328195,12.0,2.0,10.0,DSP,12,ShoulderPress
21.65,-0.013155,0.055503,-0.035255,-0.979718,-0.000866,-0.20038,0.014172,-0.044804,-0.03224,0.701761,0.268382,-0.572522,0.32821,12.0,2.0,10.0,DSP,12,ShoulderPress
21.66,0.007912,0.058204,-0.042915,-0.979545,-0.001311,-0.201219,0.015755,-0.008135,-0.0399,0.702089,0.268357,-0.572167,0.328147,12.0,2.0,10.0,DSP,12,ShoulderPress
21.67,0.086264,0.039242,-0.027098,-0.979407,-0.001687,-0.201891,0.026968,-0.004996,-0.051237,0.702261,0.268507,-0.571803,0.328292,12.0,2.0,10.0,DSP,12,ShoulderPress
21.68,0.043428,0.024016,-0.02261,-0.979259,-0.001777,-0.202607,0.018428,-0.015007,-0.035171,0.702382,0.268592,-0.57145,0.328577,12.0,2.0,10.0,DSP,12,ShoulderPress
21.69,0.050451,0.020679,-0.014709,-0.979195,-0.001583,-0.202915,-0.002082,-0.058689,-0.016537,0.702379,0.268589,-0.571316,0.328819,12.0,2.0,10.0,DSP,12,ShoulderPress
21.7,0.045245,0.027926,0.003567,-0.979104,-0.001737,-0.203353,-0.013862,-0.073352,-0.041688,0.702445,0.268713,-0.571067,0.329011,12.0,2.0,10.0,DSP,12,ShoulderPress
21.71,0.057183,0.006828,0.008204,-0.979039,-0.00205,-0.203661,-0.010447,-0.059626,-0.019575,0.702501,0.268902,-0.570843,0.329125,12.0,2.0,10.0,DSP,12,ShoulderPress
21.72,0.093261,-0.01419,0.032054,-0.979019,-0.002268,-0.203758,-0.005631,-0.050772,-0.034951,0.702431,0.269182,-0.570668,0.329348,12.0,2.0,10.0,DSP,12,ShoulderPress
21.73,0.102374,-0.046817,0.051614,-0.979042,-0.002336,-0.203645,0.01281,-0.033095,-0.039916,0.702234,0.269525,-0.570556,0.329681,12.0,2.0,10.0,DSP,12,ShoulderPress
21.74,0.120866,-0.050188,0.05372,-0.979105,-0.002073,-0.203347,0.017648,-0.026858,-0.024665,0.701919,0.269816,-0.570549,0.330126,12.0,2.0,10.0,DSP,12,ShoulderPress
21.75,0.122775,-0.043715,0.052304,-0.979136,-0.001872,-0.203198,-0.002355,-0.036,-0.030567,0.701632,0.270146,-0.570458,0.330624,12.0,2.0,10.0,DSP,12,ShoulderPress
21.76,0.103711,-0.04438,0.065841,-0.979181,-0.001648,-0.202982,-0.011969,-0.051086,-0.019675,0.701328,0.270468,-0.5704,0.331105,12.0,2.0,10.0,DSP,12,ShoulderPress
21.77,0.096798,0.00956,0.072459,-0.979125,-0.002263,-0.203244,-0.021348,-0.047313,-0.009189,0.701311,0.270941,-0.570061,0.331337,12.0,2.0,10.0,DSP,12,ShoulderPress
21.78,0.147947,-0.012188,0.053824,-0.978983,-0.003372,-0.203913,-0.032522,-0.046631,-0.003469,0.701435,0.271595,-0.569456,0.33158,12.0,2.0,10.0,DSP,12,ShoulderPress
21.79,0.088348,0.004932,0.073494,-0.978928,-0.004139,-0.204164,-0.018737,-0.024059,0.019518,0.701393,0.272197,-0.569058,0.331859,12.0,2.0,10.0,DSP,12,ShoulderPress
21.8,0.174601,-0.00973,0.068955,-0.978804,-0.004634,-0.204746,0.000289,-0.003652,-0.000699,0.701409,0.272647,-0.568587,0.332262,12.0,2.0,10.0,DSP,12,ShoulderPress
21.81,0.231793,-0.034922,0.066434,-0.978714,-0.004941,-0.205169,0.015656,0.001553,-0.020371,0.7012,0.273321,-0.568077,0.333022,12.0,2.0,10.0,DSP,12,ShoulderPress
21.82,0.188787,-0.045416,0.058698,-0.978718,-0.005106,-0.205148,0.021351,0.008768,0.009469,0.700849,0.274008,-0.567755,0.333744,12.0,2.0,10.0,DSP,12,ShoulderPress
21.83,0.145036,-0.055643,0.050996,-0.978742,-0.005477,-0.205021,0.013654,-0.014894,0.008869,0.700575,0.274647,-0.567502,0.334224,12.0,2.0,10.0,DSP,12,ShoulderPress
21.84,0.084629,-0.031062,0.066394,-0.978783,-0.005948,-0.204812,0.014748,-0.023425,0.005273,0.700364,0.275211,-0.567321,0.334508,12.0,2.0,10.0,DSP,12,ShoulderPress
21.85,0.066341,-0.057331,0.066572,-0.978878,-0.006138,-0.204353,0.022305,-0.002041,0.001808,0.700122,0.275585,-0.567342,0.334673,12.0,2.0,10.0,DSP,12,ShoulderPress
21.86,0.055384,-0.046102,0.070619,-0.979016,-0.00645,-0.203683,0.024151,0.006389,0.020807,0.69984,0.276028,-0.567421,0.334761,12.0,2.0,10.0,DSP,12,ShoulderPress
21.87,0.050235,-0.014267,0.074844,-0.979161,-0.00623,-0.202992,0.019535,0.027409,0.012532,0.6995,0.276256,-0.567615,0.334956,12.0,2.0,10.0,DSP,12,ShoulderPress
21.88,0.087829,-0.027839,0.074068,-0.979202,-0.005682,-0.202807,0.018906,0.020193,0.004199,0.699232,0.276334,-0.567658,0.335378,12.0,2.0,10.0,DSP,12,ShoulderPress
21.89,-0.003183,-0.007562,0.078479,-0.979149,-0.004943,-0.203084,0.012031,0.005508,0.024664,0.699105,0.276208,-0.567597,0.335849,12.0,2.0,10.0,DSP,12,ShoulderPress
21.9,-0.021974,-0.003093,0.06578,-0.979175,-0.004054,-0.202978,0.020068,0.002223,0.015936,0.698957,0.27591,-0.56779,0.336079,12.0,2.0,10.0,DSP,12,ShoulderPress
21.91,0.039172,-0.02294,0.070037,-0.979215,-0.003677,-0.202791,0.031522,0.007552,-0.013945,0.698825,0.275853,-0.567899,0.336213,12.0,2.0,10.0,DSP,12,ShoulderPress
21.92,0.037472,-0.017714,0.094323,-0.979276,-0.003385,-0.202505,0.039548,0.025861,0.005498,0.698588,0.275993,-0.567957,0.336492,12.0,2.0,10.0,DSP,12,ShoulderPress
21.93,-0.033895,0.007081,0.081223,-0.979276,-0.002553,-0.202516,0.028516,0.056127,0.01346,0.698464,0.275724,-0.568083,0.336759,12.0,2.0,10.0,DSP,12,ShoulderPress
