secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.01,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.02,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.03,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.04,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.05,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.06,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.07,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.08,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.09,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.1,,,,,,,,,,,,,,17.0,4.0,10.0,30DBP,11,Idle
0.11,-0.139715,-0.047388,0.119714,0.153658,-0.216086,-0.964207,0.017149,0.003638,0.027943,0.991011,0.108974,0.077594,0.000624,17.0,4.0,10.0,30DBP,11,Idle
0.12,-0.146952,-0.05211,0.128639,0.152907,-0.214895,-0.964593,0.014283,0.002111,0.026193,0.991108,0.108312,0.077278,0.001269,17.0,4.0,10.0,30DBP,11,Idle
0.13,-0.15275,-0.0617,0.144016,0.152076,-0.213662,-0.964998,0.008218,0.003732,0.027361,0.991209,0.107626,0.076926,0.001966,17.0,4.0,10.0,30DBP,11,Idle
0.14,-0.170853,-0.075533,0.166735,0.15109,-0.212339,-0.965445,0.007907,0.003798,0.029105,0.99132,0.106886,0.076504,0.002766,17.0,4.0,10.0,30DBP,11,Idle
0.15,-0.19711,-0.082514,0.192249,0.149939,-0.210813,-0.965959,0.015008,0.002165,0.031434,0.991446,0.106034,0.07601,0.00368,17.0,4.0,10.0,30DBP,11,Idle
0.16,-0.22628,-0.085493,0.215969,0.148729,-0.209047,-0.966529,0.020185,0.003481,0.029396,0.991586,0.10505,0.075497,0.004728,17.0,4.0,10.0,30DBP,11,Idle
