secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.01,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.02,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.03,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.04,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.05,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.06,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.07,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.08,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.09,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.1,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.11,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.12,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.13,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.14,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.15,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.16,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.17,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.18,,,,,,,,,,,,,,11.0,2.0,10.0,SAOCTE,32,Idle
0.19,-0.104986,0.169077,0.245389,-1.860025,1.176128,9.556538,0.013048,-0.194954,0.022214,0.993603,0.060352,0.095445,-0.0,11.0,2.0,10.0,SAOCTE,32,Idle
0.2,-0.071248,0.168869,0.206637,-1.873364,1.17185,9.554457,0.005887,-0.332832,0.036265,0.993549,0.060018,0.096209,0.001219,11.0,2.0,10.0,SAOCTE,32,Idle
0.21,-0.029867,0.168153,0.186067,-1.887231,1.170493,9.551894,0.130636,-0.418115,0.037182,0.993482,0.059849,0.09699,0.002267,11.0,2.0,10.0,SAOCTE,32,Idle
0.22,-0.009987,0.168284,0.168895,-1.901202,1.172262,9.548907,0.243667,-0.398336,0.027451,0.993402,0.05985,0.097772,0.003211,11.0,2.0,10.0,SAOCTE,32,Idle
0.23,-0.044152,0.16821,0.143296,-1.915383,1.172873,9.545997,0.312914,-0.328468,0.023477,0.993325,0.059799,0.098558,0.004058,11.0,2.0,10.0,SAOCTE,32,Idle
0.24,-0.056319,0.158867,0.101903,-1.929526,1.170399,9.543452,0.262414,-0.218255,0.029165,0.993256,0.059605,0.099331,0.004739,11.0,2.0,10.0,SAOCTE,32,Idle
0.25,-0.072132,0.150811,0.096781,-1.943201,1.166017,9.541214,0.259329,-0.15716,0.151412,0.993196,0.059324,0.10007,0.005292,11.0,2.0,10.0,SAOCTE,32,Idle
0.26,-0.084508,0.139908,0.134729,-1.955824,1.160764,9.539274,0.203718,-0.176747,0.215451,0.993143,0.058988,0.100761,0.005945,11.0,2.0,10.0,SAOCTE,32,Idle
0.27,-0.098487,0.133905,0.170436,-1.966682,1.154791,9.537767,0.131377,-0.322956,0.206634,0.993098,0.058593,0.101371,0.006797,11.0,2.0,10.0,SAOCTE,32,Idle
0.28,-0.092011,0.130253,0.198112,-1.97712,1.149327,9.536269,0.093333,-0.436902,0.173865,0.993053,0.058207,0.101968,0.007811,11.0,2.0,10.0,SAOCTE,32,Idle
0.29,-0.107868,0.134359,0.197151,-1.987465,1.14373,9.534792,0.111159,-0.413049,0.126859,0.993006,0.057807,0.102564,0.008888,11.0,2.0,10.0,SAOCTE,32,Idle
0.3,-0.133366,0.138026,0.181321,-1.998446,1.135764,9.533449,0.243047,-0.340291,0.113388,0.992961,0.057287,0.103187,0.009923,11.0,2.0,10.0,SAOCTE,32,Idle
0.31,-0.159645,0.130742,0.174738,-2.009263,1.12527,9.532419,0.33003,-0.289395,0.065935,0.992924,0.056639,0.103797,0.010926,11.0,2.0,10.0,SAOCTE,32,Idle
0.32,-0.150709,0.130726,0.1422,-2.019937,1.113236,9.531576,0.33427,-0.296065,-0.027194,0.992892,0.05592,0.104392,0.011844,11.0,2.0,10.0,SAOCTE,32,Idle
