secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
12.0,-0.168392,-0.12758,0.112779,-0.986072,0.121938,-0.11311,-0.00871,0.010554,-0.03458,0.498956,0.436658,-0.502767,0.554615,66.0,3.0,6.0,APULL,28,Pullups
12.01,-0.086575,-0.07832,0.165842,-0.98606,0.123349,-0.111669,-0.038659,0.040545,0.00182,0.498546,0.436382,-0.503723,0.554334,66.0,3.0,6.0,APULL,28,Pullups
12.02,-0.041712,-0.068811,0.134135,-0.985838,0.125645,-0.111071,-0.029711,0.029415,-0.023008,0.497931,0.435796,-0.504526,0.554617,66.0,3.0,6.0,APULL,28,Pullups
12.03,-0.064351,-0.047557,0.113413,-0.985686,0.127324,-0.110504,-0.013993,-0.004674,0.020538,0.497468,0.435385,-0.505161,0.554777,66.0,3.0,6.0,APULL,28,Pullups
12.04,-0.114766,-0.050411,0.084133,-0.985601,0.128729,-0.109629,0.015143,-0.027334,0.033015,0.497104,0.435038,-0.505893,0.554709,66.0,3.0,6.0,APULL,28,Pullups
12.05,-0.093084,-0.04658,0.013646,-0.985607,0.129161,-0.10907,0.024898,-0.004405,0.013702,0.497136,0.434812,-0.506363,0.554428,66.0,3.0,6.0,APULL,28,Pullups
12.06,-0.086664,-0.029247,0.013823,-0.985722,0.128856,-0.108386,-0.001079,-0.01031,0.02988,0.497285,0.434866,-0.506654,0.553987,66.0,3.0,6.0,APULL,28,Pullups
12.07,-0.067533,-0.014482,-0.010837,-0.985823,0.128527,-0.107859,0.001479,0.009794,0.010585,0.497472,0.434887,-0.506896,0.55358,66.0,3.0,6.0,APULL,28,Pullups
12.08,-0.009807,0.019381,-0.032333,-0.985789,0.128355,-0.108377,0.002482,0.019884,-0.01113,0.497726,0.43472,-0.506784,0.553586,66.0,3.0,6.0,APULL,28,Pullups
12.09,0.009321,0.03272,-0.017478,-0.985734,0.128564,-0.108625,-0.026,0.017478,-0.032016,0.497754,0.434575,-0.506786,0.553672,66.0,3.0,6.0,APULL,28,Pullups
12.1,0.117075,0.067244,0.003823,-0.985599,0.128805,-0.109563,-0.040997,0.028208,-0.036708,0.497769,0.434395,-0.506478,0.554083,66.0,3.0,6.0,APULL,28,Pullups
12.11,0.256243,0.099817,0.001361,-0.985557,0.128499,-0.110293,-0.047341,0.020076,-0.027967,0.497513,0.434752,-0.505811,0.554642,66.0,3.0,6.0,APULL,28,Pullups
12.12,0.309555,0.118678,0.000457,-0.985561,0.12773,-0.111151,-0.017994,0.029619,-0.005548,0.497148,0.435436,-0.504797,0.555355,66.0,3.0,6.0,APULL,28,Pullups
12.13,0.303897,0.119272,0.003963,-0.985445,0.127432,-0.112508,0.008761,0.011652,0.019887,0.496731,0.435899,-0.503724,0.556338,66.0,3.0,6.0,APULL,28,Pullups
12.14,0.307091,0.113835,-0.021346,-0.98542,0.126806,-0.113433,0.03228,-0.009313,0.005675,0.496293,0.436567,-0.502686,0.557144,66.0,3.0,6.0,APULL,28,Pullups
12.15,0.257352,0.128703,-0.016734,-0.985312,0.126483,-0.114728,0.022177,-0.001132,0.022458,0.495931,0.436988,-0.501674,0.558047,66.0,3.0,6.0,APULL,28,Pullups
12.16,0.233146,0.133491,0.00604,-0.985109,0.126517,-0.116417,0.00519,-0.001684,0.030129,0.495666,0.437116,-0.50072,0.559038,66.0,3.0,6.0,APULL,28,Pullups
12.17,0.21127,0.135768,0.004576,-0.984871,0.126564,-0.11837,0.009392,-0.002556,0.00959,0.495506,0.437123,-0.499738,0.560052,66.0,3.0,6.0,APULL,28,Pullups
12.18,0.191146,0.137057,0.016888,-0.984599,0.126823,-0.120335,0.021785,0.020501,0.042332,0.495356,0.43701,-0.498853,0.561061,66.0,3.0,6.0,APULL,28,Pullups
12.19,0.194558,0.139836,0.034946,-0.98434,0.127103,-0.122142,0.019375,0.015353,0.013652,0.495167,0.436927,-0.49802,0.562033,66.0,3.0,6.0,APULL,28,Pullups
12.2,0.117643,0.132663,0.04157,-0.984086,0.12772,-0.123543,0.022797,0.011486,0.013848,0.494914,0.436752,-0.497469,0.562878,66.0,3.0,6.0,APULL,28,Pullups
12.21,0.129285,0.121149,0.04864,-0.983906,0.128232,-0.124442,0.004582,0.006213,0.007148,0.494696,0.436629,-0.497126,0.563468,66.0,3.0,6.0,APULL,28,Pullups
12.22,0.214274,0.120638,0.059327,-0.983731,0.128428,-0.125614,0.008237,0.005681,-0.026654,0.494426,0.436693,-0.49648,0.564225,66.0,3.0,6.0,APULL,28,Pullups
12.23,0.2233,0.140433,0.061084,-0.983552,0.128742,-0.126689,-0.004775,0.034588,-0.009373,0.494002,0.436837,-0.495811,0.565072,66.0,3.0,6.0,APULL,28,Pullups
12.24,0.259213,0.145644,0.083113,-0.983369,0.129088,-0.12776,0.00055,0.025896,0.040434,0.493493,0.437037,-0.495095,0.56599,66.0,3.0,6.0,APULL,28,Pullups
12.25,0.191724,0.137248,0.07903,-0.983128,0.129528,-0.129159,0.015431,-0.006176,0.024178,0.493047,0.437109,-0.494324,0.566996,66.0,3.0,6.0,APULL,28,Pullups
12.26,0.105931,0.137456,0.065391,-0.982922,0.130378,-0.129865,0.019803,0.00605,0.00514,0.492634,0.436992,-0.49407,0.567665,66.0,3.0,6.0,APULL,28,Pullups
12.27,0.134595,0.151253,0.085103,-0.982638,0.131215,-0.131166,0.018603,0.00857,0.002641,0.492376,0.436705,-0.493666,0.568462,66.0,3.0,6.0,APULL,28,Pullups
12.28,0.105257,0.152191,0.067443,-0.982348,0.131987,-0.132559,0.003497,0.031633,-0.022715,0.492186,0.436382,-0.493246,0.569238,66.0,3.0,6.0,APULL,28,Pullups
12.29,0.160495,0.151068,0.082189,-0.982078,0.132503,-0.134038,-0.011071,0.030491,-0.032054,0.49202,0.436158,-0.492694,0.57003,66.0,3.0,6.0,APULL,28,Pullups
12.3,0.205588,0.158342,0.114808,-0.981693,0.133313,-0.136037,-0.006115,0.023853,-0.017665,0.491736,0.435849,-0.491952,0.571151,66.0,3.0,6.0,APULL,28,Pullups
12.31,0.221733,0.168365,0.119803,-0.981263,0.134525,-0.137932,0.002015,0.038586,0.006706,0.49126,0.435507,-0.491292,0.572389,66.0,3.0,6.0,APULL,28,Pullups
12.32,0.235612,0.148534,0.12808,-0.980931,0.135682,-0.139158,0.018391,0.015136,0.015333,0.490604,0.435395,-0.490766,0.573486,66.0,3.0,6.0,APULL,28,Pullups
12.33,0.19706,0.126163,0.119268,-0.98066,0.136384,-0.140372,0.033914,-0.013093,0.038367,0.490055,0.435417,-0.490128,0.574484,66.0,3.0,6.0,APULL,28,Pullups
12.34,0.139242,0.101295,0.122208,-0.980361,0.13737,-0.141498,0.021163,-0.000575,0.024036,0.489579,0.43524,-0.489712,0.575379,66.0,3.0,6.0,APULL,28,Pullups
12.35,0.181958,0.083294,0.132258,-0.980075,0.138451,-0.142425,0.004687,0.004021,0.01004,0.489044,0.43508,-0.48938,0.576236,66.0,3.0,6.0,APULL,28,Pullups
12.36,0.181958,0.083294,0.132258,-0.980075,0.138451,-0.142425,0.004687,0.004021,0.01004,0.489044,0.43508,-0.48938,0.576236,66.0,3.0,6.0,APULL,28,Pullups
12.37,0.174879,0.078885,0.152195,-0.979648,0.140096,-0.143744,0.003849,0.022944,0.025702,0.488372,0.43472,-0.489026,0.577378,66.0,3.0,6.0,APULL,28,Pullups
12.38,0.183171,0.062113,0.152908,-0.979221,0.141718,-0.145057,0.02158,0.031561,0.030433,0.487676,0.434388,-0.488649,0.578533,66.0,3.0,6.0,APULL,28,Pullups
12.39,0.109511,0.041224,0.153125,-0.978869,0.143243,-0.145935,0.023501,-0.001794,0.032044,0.486998,0.434125,-0.488434,0.579483,66.0,3.0,6.0,APULL,28,Pullups
12.4,0.081174,0.026361,0.16192,-0.978554,0.145088,-0.146227,0.0252,-0.000725,0.029894,0.486285,0.43378,-0.488592,0.580207,66.0,3.0,6.0,APULL,28,Pullups
12.41,0.09247,0.021839,0.174877,-0.978298,0.146718,-0.146309,0.023693,0.006999,0.012947,0.485569,0.433561,-0.488744,0.580842,66.0,3.0,6.0,APULL,28,Pullups
