secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
8.0,-0.005963,-0.08484,-0.11605,-0.983923,0.163962,0.070795,0.031149,-0.031958,0.109335,0.411495,0.50278,-0.53161,0.543391,30.0,2.0,8.0,30BP,39,InclinePress
8.01,-0.101265,-0.130076,-0.084427,-0.984029,0.162871,0.071833,0.020025,-0.078856,0.077581,0.411634,0.503246,-0.531658,0.542809,30.0,2.0,8.0,30BP,39,InclinePress
8.02,-0.1173,-0.119279,-0.10644,-0.98416,0.161565,0.072976,0.058028,-0.065907,0.067771,0.412033,0.503573,-0.531886,0.541979,30.0,2.0,8.0,30BP,39,InclinePress
8.03,0.009076,-0.106763,-0.105393,-0.984344,0.160172,0.073569,0.033019,-0.028794,0.027719,0.412369,0.504001,-0.531759,0.541449,30.0,2.0,8.0,30BP,39,InclinePress
8.04,0.096505,-0.020917,-0.020685,-0.984453,0.159536,0.073488,-0.03253,0.021647,-0.01674,0.412423,0.504292,-0.531445,0.541446,30.0,2.0,8.0,30BP,39,InclinePress
8.05,0.288115,0.002485,-0.021973,-0.984504,0.159595,0.07267,-0.01838,0.052762,0.017509,0.412049,0.504617,-0.530751,0.542108,30.0,2.0,8.0,30BP,39,InclinePress
8.06,0.268822,0.027664,-0.051377,-0.984568,0.159646,0.07169,0.021113,0.049933,0.042903,0.411482,0.505131,-0.5298,0.542989,30.0,2.0,8.0,30BP,39,InclinePress
8.07,0.183227,-0.015763,-0.088251,-0.984663,0.159135,0.071515,0.021788,0.038207,0.048221,0.411051,0.505824,-0.529055,0.543397,30.0,2.0,8.0,30BP,39,InclinePress
8.08,0.084724,-0.077228,-0.089136,-0.984745,0.158264,0.07232,0.044452,-0.009384,0.088416,0.410733,0.506613,-0.528681,0.543266,30.0,2.0,8.0,30BP,39,InclinePress
8.09,-0.002256,-0.09907,-0.120832,-0.984865,0.156975,0.073483,0.050325,-0.041191,0.11829,0.410679,0.507374,-0.528501,0.542772,30.0,2.0,8.0,30BP,39,InclinePress
8.1,-0.11225,-0.099133,-0.13636,-0.985007,0.155387,0.074946,0.002753,-0.019217,0.108938,0.410909,0.508022,-0.52857,0.541923,30.0,2.0,8.0,30BP,39,InclinePress
8.11,-0.045241,0.015822,-0.102658,-0.985163,0.15402,0.075712,-0.015875,0.027239,0.118838,0.411354,0.508332,-0.528634,0.541232,30.0,2.0,8.0,30BP,39,InclinePress
8.12,0.093088,0.068477,-0.086073,-0.98533,0.153275,0.075051,-0.039252,0.058654,0.071037,0.411645,0.508439,-0.528219,0.541316,30.0,2.0,8.0,30BP,39,InclinePress
8.13,0.14317,0.112259,-0.049846,-0.985376,0.153433,0.074119,-0.054129,0.093241,-0.009605,0.411515,0.508468,-0.52775,0.541845,30.0,2.0,8.0,30BP,39,InclinePress
8.14,0.209556,0.053945,-0.082977,-0.985331,0.153935,0.073669,0.013636,0.067959,-0.022262,0.411021,0.508674,-0.527338,0.542428,30.0,2.0,8.0,30BP,39,InclinePress
8.15,0.173788,-0.046794,-0.159495,-0.985379,0.153501,0.07393,0.096387,0.00281,-0.051789,0.410523,0.509393,-0.526767,0.542684,30.0,2.0,8.0,30BP,39,InclinePress
8.16,0.011408,-0.089589,-0.248746,-0.985545,0.151585,0.075653,0.150828,-0.036549,-0.03157,0.410369,0.510593,-0.526423,0.542006,30.0,2.0,8.0,30BP,39,InclinePress
8.17,-0.090907,-0.158865,-0.441513,-0.985919,0.147922,0.077989,0.17374,-0.037128,0.004592,0.41098,0.51199,-0.526176,0.540464,30.0,2.0,8.0,30BP,39,InclinePress
8.18,0.021359,-0.307679,-0.558098,-0.986424,0.142768,0.081155,0.142414,-0.02468,-0.06347,0.41165,0.514129,-0.525594,0.538486,30.0,2.0,8.0,30BP,39,InclinePress
8.19,-0.061067,-0.259791,-0.474857,-0.986814,0.137812,0.084888,0.108686,-0.044185,0.006101,0.412085,0.516387,-0.525155,0.536416,30.0,2.0,8.0,30BP,39,InclinePress
8.2,-0.079252,-0.135753,-0.372431,-0.987104,0.134067,0.087472,0.029142,-0.058704,0.164466,0.412606,0.517896,-0.5249,0.534808,30.0,2.0,8.0,30BP,39,InclinePress
8.21,-0.056286,-0.003937,-0.282636,-0.987477,0.130782,0.088232,-0.096217,-0.017883,0.129786,0.413527,0.518745,-0.524423,0.533741,30.0,2.0,8.0,30BP,39,InclinePress
8.22,0.098575,0.109064,-0.260822,-0.987868,0.128238,0.087586,-0.082856,0.067807,0.085723,0.41431,0.51932,-0.523546,0.533436,30.0,2.0,8.0,30BP,39,InclinePress
8.23,0.196539,0.083814,-0.383164,-0.988359,0.125222,0.086408,0.056657,0.104346,0.080813,0.41502,0.520207,-0.522101,0.533436,30.0,2.0,8.0,30BP,39,InclinePress
8.24,0.118111,-0.006677,-0.533014,-0.988962,0.12085,0.08573,0.184427,0.080795,0.004617,0.415902,0.521642,-0.520341,0.533067,30.0,2.0,8.0,30BP,39,InclinePress
8.25,-0.143472,-0.209869,-0.782543,-0.989643,0.11441,0.086699,0.30756,0.018494,-0.037428,0.417446,0.52353,-0.518908,0.531404,30.0,2.0,8.0,30BP,39,InclinePress
8.26,-0.274464,-0.50972,-1.06077,-0.990345,0.10503,0.090481,0.350299,-0.048313,0.005222,0.41947,0.526503,-0.517721,0.52802,30.0,2.0,8.0,30BP,39,InclinePress
8.27,-0.591215,-0.652795,-1.168791,-0.990907,0.093384,0.096864,0.289216,-0.114487,0.021575,0.422119,0.530028,-0.517207,0.522861,30.0,2.0,8.0,30BP,39,InclinePress
8.28,-0.379941,-0.608913,-0.9842,-0.991233,0.082058,0.103556,0.195167,-0.179699,0.237936,0.424576,0.533517,-0.516854,0.517646,30.0,2.0,8.0,30BP,39,InclinePress
8.29,-0.839649,-0.401183,-0.721784,-0.991341,0.072995,0.109158,-0.062706,-0.167249,0.156559,0.427045,0.535756,-0.517246,0.512888,30.0,2.0,8.0,30BP,39,InclinePress
8.3,-0.459234,-0.154364,-0.625109,-0.991503,0.065643,0.112305,-0.172605,0.105103,0.182693,0.429923,0.536658,-0.517833,0.508934,30.0,2.0,8.0,30BP,39,InclinePress
8.31,-0.118979,-0.125753,-0.669577,-0.991759,0.058931,0.113764,-0.039522,0.191588,0.05982,0.431922,0.538108,-0.517032,0.506519,30.0,2.0,8.0,30BP,39,InclinePress
8.32,-0.054952,-0.197874,-0.71297,-0.991961,0.051981,0.11538,0.161318,0.195654,-0.034615,0.433494,0.540102,-0.515732,0.504374,30.0,2.0,8.0,30BP,39,InclinePress
8.33,-0.203491,-0.330165,-0.851192,-0.99203,0.044154,0.118017,0.322214,0.128163,0.01417,0.43505,0.542541,-0.51445,0.50172,30.0,2.0,8.0,30BP,39,InclinePress
8.34,-0.473507,-0.428458,-0.984266,-0.99193,0.034497,0.122002,0.297075,0.068943,0.070793,0.437388,0.545082,-0.513699,0.497685,30.0,2.0,8.0,30BP,39,InclinePress
8.35,-0.079668,-0.352347,-0.884698,-0.991716,0.024693,0.126057,0.175493,-0.012211,0.118634,0.439536,0.547858,-0.512718,0.493741,30.0,2.0,8.0,30BP,39,InclinePress
8.36,-0.227791,-0.244598,-0.708775,-0.991497,0.016751,0.129049,0.043514,-0.12251,0.037059,0.440967,0.55041,-0.511442,0.490942,30.0,2.0,8.0,30BP,39,InclinePress
8.37,-0.131077,0.020267,-0.697638,-0.991438,0.009515,0.130231,0.009108,0.005988,0.16817,0.443077,0.551912,-0.510401,0.488434,30.0,2.0,8.0,30BP,39,InclinePress
8.38,0.439002,0.204983,-0.688528,-0.991639,0.002681,0.129016,-0.105193,0.130925,0.055509,0.444627,0.55383,-0.507721,0.487646,30.0,2.0,8.0,30BP,39,InclinePress
8.39,0.397441,0.243685,-0.505723,-0.991925,-0.002673,0.126801,-0.12035,0.187518,-0.246827,0.44543,0.555771,-0.504499,0.488049,30.0,2.0,8.0,30BP,39,InclinePress
8.4,0.568832,0.109111,-0.542408,-0.992152,-0.00714,0.124835,0.133326,0.156966,-0.203845,0.445864,0.557617,-0.501478,0.488659,30.0,2.0,8.0,30BP,39,InclinePress
8.41,0.155194,-0.255511,-0.678287,-0.99201,-0.012719,0.125522,0.260686,0.031319,-0.318225,0.446085,0.560196,-0.498941,0.488105,30.0,2.0,8.0,30BP,39,InclinePress
8.42,-0.106037,-0.400391,-0.811486,-0.991424,-0.020205,0.129116,0.36621,-0.029859,-0.177379,0.447067,0.56291,-0.497684,0.48536,30.0,2.0,8.0,30BP,39,InclinePress
8.43,-0.27564,-0.414173,-0.767304,-0.990726,-0.028313,0.132895,0.284976,-0.220588,0.047357,0.448446,0.565508,-0.496637,0.482129,30.0,2.0,8.0,30BP,39,InclinePress
8.44,-0.927128,-0.535832,-0.578606,-0.989866,-0.035874,0.137398,0.003828,-0.259826,-0.232948,0.45064,0.566952,-0.497257,0.477729,30.0,2.0,8.0,30BP,39,InclinePress
8.45,-0.520485,-0.348852,-0.399384,-0.989024,-0.041829,0.141712,-0.037099,-0.044185,-0.023639,0.452913,0.567468,-0.498835,0.473301,30.0,2.0,8.0,30BP,39,InclinePress
8.46,-0.113621,-0.042678,-0.389415,-0.98859,-0.045961,0.143449,-0.153485,0.033342,0.168227,0.454114,0.568236,-0.498831,0.471228,30.0,2.0,8.0,30BP,39,InclinePress
8.47,0.045307,0.002005,-0.513331,-0.988368,-0.050469,0.143463,-0.159703,0.194848,0.139465,0.455263,0.569292,-0.497633,0.470111,30.0,2.0,8.0,30BP,39,InclinePress
8.48,0.213227,-0.209106,-0.63033,-0.987932,-0.055963,0.144428,0.103532,0.26011,0.057034,0.455984,0.571263,-0.495855,0.468898,30.0,2.0,8.0,30BP,39,InclinePress
8.49,0.177419,-0.493799,-0.708887,-0.987003,-0.06235,0.148118,0.250567,0.138629,-0.086915,0.456091,0.574248,-0.494266,0.466822,30.0,2.0,8.0,30BP,39,InclinePress
8.5,0.150761,-0.464358,-0.639507,-0.985805,-0.068875,0.153115,0.217083,-0.06499,0.130546,0.456008,0.577454,-0.493056,0.464219,30.0,2.0,8.0,30BP,39,InclinePress
8.51,-0.278825,-0.108395,-0.449243,-0.984964,-0.074295,0.155969,-0.161307,-0.194016,0.17478,0.456623,0.579421,-0.492194,0.462073,30.0,2.0,8.0,30BP,39,InclinePress
8.52,-0.186231,0.116579,-0.37009,-0.98468,-0.078759,0.155571,-0.300843,-0.020103,0.215034,0.458512,0.579649,-0.491724,0.460414,30.0,2.0,8.0,30BP,39,InclinePress
8.53,0.393489,0.115193,-0.391926,-0.984588,-0.082244,0.154349,-0.09044,0.090926,0.140146,0.459293,0.580593,-0.489986,0.4603,30.0,2.0,8.0,30BP,39,InclinePress
8.54,0.125665,-0.058027,-0.45625,-0.984295,-0.085876,0.154239,0.110454,0.112792,-0.183734,0.45943,0.582254,-0.487954,0.460222,30.0,2.0,8.0,30BP,39,InclinePress
8.55,-0.034175,-0.09574,-0.592563,-0.983692,-0.09108,0.155098,0.266407,0.161301,-0.111503,0.460451,0.583724,-0.486636,0.458733,30.0,2.0,8.0,30BP,39,InclinePress
8.56,-0.004613,-0.230777,-0.576436,-0.982889,-0.096967,0.156612,0.108224,0.053983,-0.217831,0.461423,0.585557,-0.485211,0.456927,30.0,2.0,8.0,30BP,39,InclinePress
8.57,-0.305832,-0.370315,-0.451403,-0.98188,-0.10228,0.159533,0.047477,-0.055893,-0.28348,0.46235,0.587103,-0.484847,0.454385,30.0,2.0,8.0,30BP,39,InclinePress
8.58,-0.32646,-0.394247,-0.448518,-0.980808,-0.107051,0.162962,0.184589,-0.156712,0.092562,0.46328,0.58835,-0.485103,0.451543,30.0,2.0,8.0,30BP,39,InclinePress
8.59,-0.640408,-0.316711,-0.489779,-0.979696,-0.112521,0.165938,0.023565,-0.189527,-0.038222,0.464936,0.589159,-0.485655,0.44818,30.0,2.0,8.0,30BP,39,InclinePress
8.6,-0.195454,-0.254382,-0.415287,-0.978675,-0.117823,0.168266,-0.037225,-0.00408,-0.123787,0.466633,0.589847,-0.486018,0.445108,30.0,2.0,8.0,30BP,39,InclinePress
8.61,0.27725,-0.104079,-0.343284,-0.977943,-0.121344,0.170012,0.014503,0.046301,-0.150023,0.466825,0.591308,-0.48514,0.443924,30.0,2.0,8.0,30BP,39,InclinePress
8.62,0.283338,0.008063,-0.381328,-0.977418,-0.124419,0.170805,-0.043288,0.15187,-0.250639,0.466678,0.592957,-0.483533,0.443632,30.0,2.0,8.0,30BP,39,InclinePress
8.63,0.282734,-0.077403,-0.446189,-0.976868,-0.127884,0.17139,0.085678,0.210098,-0.201511,0.466674,0.594649,-0.481755,0.443306,30.0,2.0,8.0,30BP,39,InclinePress
8.64,0.193404,-0.225755,-0.52768,-0.975975,-0.132265,0.173147,0.208213,0.084383,-0.144918,0.466678,0.596731,-0.48009,0.44231,30.0,2.0,8.0,30BP,39,InclinePress
8.65,-0.053828,-0.371591,-0.530347,-0.974707,-0.137372,0.176284,0.140432,-0.049762,-0.097762,0.4669,0.598872,-0.479055,0.440298,30.0,2.0,8.0,30BP,39,InclinePress
8.66,-0.127424,-0.094988,-0.370886,-0.973602,-0.14198,0.178723,0.042159,-0.200412,0.267932,0.467527,0.60035,-0.478478,0.438243,30.0,2.0,8.0,30BP,39,InclinePress
8.67,-0.573172,0.087035,-0.268608,-0.973175,-0.145653,0.178092,-0.271454,-0.297768,0.261208,0.46928,0.600266,-0.478254,0.436727,30.0,2.0,8.0,30BP,39,InclinePress
8.68,-0.483418,0.201668,-0.129365,-0.973141,-0.148652,0.175782,-0.290821,-0.09146,0.211456,0.471828,0.59905,-0.47857,0.435302,30.0,2.0,8.0,30BP,39,InclinePress
8.69,-0.094073,0.164184,-0.120698,-0.973338,-0.150227,0.173337,-0.106969,0.083302,0.080783,0.473414,0.598195,-0.478364,0.434983,30.0,2.0,8.0,30BP,39,InclinePress
8.7,0.022108,-0.011062,-0.171422,-0.973228,-0.151737,0.172636,0.04084,0.256061,-0.230589,0.473948,0.598382,-0.477762,0.434805,30.0,2.0,8.0,30BP,39,InclinePress
8.71,0.174762,-0.223097,-0.19451,-0.972742,-0.153358,0.17394,0.201578,0.285271,-0.310842,0.473768,0.599315,-0.477275,0.434251,30.0,2.0,8.0,30BP,39,InclinePress
8.72,-0.261601,-0.43969,-0.208148,-0.971884,-0.155219,0.177055,0.253088,0.146583,-0.211204,0.473439,0.600444,-0.477488,0.432815,30.0,2.0,8.0,30BP,39,InclinePress
8.73,-0.128451,-0.366482,-0.358292,-0.970659,-0.158576,0.18076,0.223467,0.027869,0.148143,0.473928,0.601367,-0.478265,0.430131,30.0,2.0,8.0,30BP,39,InclinePress
8.74,-0.043407,-0.264829,-0.233837,-0.969561,-0.161616,0.183936,-0.106718,-0.235982,0.225549,0.473733,0.602914,-0.477978,0.428497,30.0,2.0,8.0,30BP,39,InclinePress
8.75,-0.812164,-0.201711,-0.039365,-0.968935,-0.163693,0.18539,-0.311659,-0.260975,0.115224,0.474914,0.602535,-0.479215,0.426335,30.0,2.0,8.0,30BP,39,InclinePress
8.76,-0.361514,-0.090251,-0.049885,-0.96861,-0.165198,0.185755,-0.120334,-0.055032,0.344198,0.476541,0.601423,-0.480799,0.424301,30.0,2.0,8.0,30BP,39,InclinePress
8.77,-0.134497,-0.005104,-0.121766,-0.968389,-0.166455,0.185783,-0.093562,0.04028,0.117943,0.477289,0.601196,-0.481098,0.423442,30.0,2.0,8.0,30BP,39,InclinePress
8.78,-0.033685,0.009932,-0.135317,-0.968182,-0.167898,0.185564,-0.11153,0.245001,-0.140917,0.477829,0.601314,-0.480836,0.422963,30.0,2.0,8.0,30BP,39,InclinePress
8.79,0.059433,-0.206422,-0.067566,-0.967838,-0.168847,0.186496,0.005802,0.278847,-0.298159,0.477721,0.601848,-0.480653,0.422534,30.0,2.0,8.0,30BP,39,InclinePress
8.8,-0.324239,-0.250929,-0.054879,-0.967318,-0.169608,0.188492,0.172183,0.163397,-0.195465,0.477673,0.602151,-0.481311,0.421406,30.0,2.0,8.0,30BP,39,InclinePress
8.81,-0.307279,-0.279371,-0.264579,-0.966515,-0.171812,0.190602,0.147225,0.074903,-0.143636,0.478409,0.602262,-0.482267,0.419314,30.0,2.0,8.0,30BP,39,InclinePress
8.82,-0.1282,-0.200584,-0.287959,-0.965537,-0.174941,0.192705,0.134268,-0.139405,0.05641,0.478922,0.603083,-0.482331,0.41747,30.0,2.0,8.0,30BP,39,InclinePress
