secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.01,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.02,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.03,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.04,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.05,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.06,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.07,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.08,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.09,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.1,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.11,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.12,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.13,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.14,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.15,,,,,,,,,,,,,,12.0,1.0,11.0,DSP,12,Idle
0.16,-0.396217,-0.051941,0.142056,0.11701,-0.08522,-0.989468,0.006815,0.003342,0.044079,0.997363,0.042723,0.05866,-0.0,12.0,1.0,11.0,DSP,12,Idle
0.17,-0.449739,-0.068578,0.156411,0.116287,-0.081176,-0.989893,0.008286,-0.00647,0.042505,0.99747,0.040641,0.058326,0.000858,12.0,1.0,11.0,DSP,12,Idle
0.18,-0.457236,-0.075532,0.165488,0.115421,-0.07685,-0.990339,0.013668,-0.000268,0.047026,0.99758,0.038414,0.057919,0.001783,12.0,1.0,11.0,DSP,12,Idle
0.19,-0.435325,-0.083178,0.174822,0.114498,-0.072591,-0.990768,0.015171,0.018621,0.046127,0.997686,0.036222,0.057481,0.002742,12.0,1.0,11.0,DSP,12,Idle
0.2,-0.381541,-0.091018,0.186448,0.11351,-0.06874,-0.991156,0.006745,0.040389,0.0492,0.99778,0.034233,0.05701,0.003743,12.0,1.0,11.0,DSP,12,Idle
0.21,-0.330198,-0.09491,0.194257,0.11247,-0.065436,-0.991498,-0.006009,0.045371,0.051908,0.997861,0.032518,0.056511,0.004776,12.0,1.0,11.0,DSP,12,Idle
0.22,-0.308125,-0.09697,0.218039,0.111408,-0.062524,-0.991806,-0.007587,0.03512,0.046158,0.997932,0.030997,0.056002,0.005881,12.0,1.0,11.0,DSP,12,Idle
0.23,-0.336277,-0.099852,0.227873,0.110302,-0.0596,-0.992109,0.001819,0.012924,0.052656,0.998,0.029466,0.055471,0.007077,12.0,1.0,11.0,DSP,12,Idle
0.24,-0.415696,-0.10904,0.224939,0.109129,-0.056134,-0.992441,0.018816,-0.01839,0.046274,0.998074,0.027665,0.0549,0.008296,12.0,1.0,11.0,DSP,12,Idle
0.25,-0.515891,-0.124432,0.243934,0.107849,-0.051765,-0.992819,0.023499,-0.042382,0.043051,0.998157,0.025409,0.054268,0.009577,12.0,1.0,11.0,DSP,12,Idle
0.26,-0.614361,-0.139254,0.281124,0.106419,-0.046437,-0.993236,0.024105,-0.057827,0.042675,0.998247,0.022668,0.053553,0.011019,12.0,1.0,11.0,DSP,12,Idle
0.27,-0.68777,-0.169252,0.334604,0.104757,-0.040274,-0.993682,0.025782,-0.062219,0.048431,0.998338,0.0195,0.052714,0.012705,12.0,1.0,11.0,DSP,12,Idle
0.28,-0.740798,-0.213187,0.430199,0.102712,-0.033551,-0.994145,0.04243,-0.069339,0.04015,0.998426,0.016037,0.051674,0.014771,12.0,1.0,11.0,DSP,12,Idle
0.29,-0.802233,-0.282768,0.560236,0.100125,-0.026375,-0.994625,0.095538,-0.086082,0.037365,0.998503,0.012329,0.050353,0.017424,12.0,1.0,11.0,DSP,12,Idle
0.3,-0.916634,-0.373717,0.709564,0.096732,-0.018478,-0.995139,0.165735,-0.119477,0.051047,0.998568,0.00824,0.048607,0.020786,12.0,1.0,11.0,DSP,12,Idle
0.31,-1.129782,-0.48926,0.89315,0.09233,-0.009114,-0.995687,0.230622,-0.163646,0.070928,0.998608,0.003403,0.046315,0.025006,12.0,1.0,11.0,DSP,12,Idle
0.32,-1.451501,-0.608345,1.138174,0.086828,0.002805,-0.996219,0.290887,-0.222394,0.097934,0.998593,-0.002724,0.043393,0.030355,12.0,1.0,11.0,DSP,12,Idle
0.33,-1.87574,-0.747275,1.421689,0.080205,0.018281,-0.996611,0.357692,-0.302491,0.143019,0.998463,-0.010633,0.039769,0.03712,12.0,1.0,11.0,DSP,12,Idle
0.34,-2.384995,-0.913341,1.714683,0.072366,0.038317,-0.996642,0.42742,-0.385211,0.188124,0.998127,-0.020801,0.035304,0.045416,12.0,1.0,11.0,DSP,12,Idle
0.35,-2.947876,-1.10043,2.015852,0.063273,0.063662,-0.995964,0.492848,-0.44301,0.242714,0.997458,-0.033567,0.029856,0.055307,12.0,1.0,11.0,DSP,12,Idle
0.36,-3.498603,-1.290117,2.305979,0.053084,0.094572,-0.994102,0.554002,-0.493269,0.311881,0.996289,-0.049028,0.023355,0.066781,12.0,1.0,11.0,DSP,12,Idle
0.37,-3.979557,-1.500324,2.559117,0.041945,0.130644,-0.990542,0.612412,-0.505933,0.39757,0.994445,-0.066947,0.015725,0.07969,12.0,1.0,11.0,DSP,12,Idle
0.38,-4.376025,-1.693191,2.797056,0.030171,0.171075,-0.984796,0.657039,-0.462029,0.471612,0.991759,-0.086909,0.006985,0.093867,12.0,1.0,11.0,DSP,12,Idle
0.39,-4.707816,-1.852943,3.021795,0.018355,0.215032,-0.976435,0.677797,-0.397664,0.531,0.988074,-0.108514,-0.002706,0.109213,12.0,1.0,11.0,DSP,12,Idle
0.4,-4.982625,-2.004273,3.230459,0.007046,0.261826,-0.965089,0.683521,-0.337601,0.585573,0.983244,-0.131456,-0.01321,0.125605,12.0,1.0,11.0,DSP,12,Idle
0.41,-5.221039,-2.17048,3.469511,-0.003347,0.310725,-0.950494,0.675695,-0.303629,0.640359,0.977127,-0.155416,-0.024469,0.143071,12.0,1.0,11.0,DSP,12,Idle
0.42,-5.456646,-2.341462,3.696539,-0.012543,0.361368,-0.932339,0.669144,-0.289362,0.664563,0.96956,-0.180269,-0.03652,0.161629,12.0,1.0,11.0,DSP,12,Idle
0.43,-5.704879,-2.539556,3.896552,-0.02032,0.413526,-0.910266,0.653774,-0.262799,0.680392,0.960376,-0.205971,-0.049428,0.181138,12.0,1.0,11.0,DSP,12,Idle
0.44,-5.883122,-2.770376,4.075781,-0.026608,0.466603,-0.884066,0.627927,-0.223058,0.690387,0.949438,-0.23229,-0.063311,0.201497,12.0,1.0,11.0,DSP,12,Idle
0.45,-5.935469,-2.987386,4.261086,-0.031081,0.51935,-0.853997,0.603881,-0.193284,0.689949,0.936714,-0.258664,-0.078068,0.222631,12.0,1.0,11.0,DSP,12,Idle
0.46,-5.830769,-3.171076,4.470551,-0.033122,0.570216,-0.820827,0.569591,-0.183253,0.717509,0.922265,-0.28437,-0.093383,0.244622,12.0,1.0,11.0,DSP,12,Idle
0.47,-5.577034,-3.318936,4.674126,-0.032031,0.617699,-0.785762,0.528155,-0.192207,0.723979,0.906266,-0.308681,-0.108788,0.267511,12.0,1.0,11.0,DSP,12,Idle
0.48,-5.267852,-3.412085,4.819307,-0.027483,0.660845,-0.750019,0.485613,-0.201616,0.71529,0.888966,-0.331121,-0.123893,0.291117,12.0,1.0,11.0,DSP,12,Idle
0.49,-4.909871,-3.518124,4.925954,-0.019646,0.699422,-0.714439,0.449501,-0.183461,0.679634,0.870569,-0.351546,-0.138551,0.315165,12.0,1.0,11.0,DSP,12,Idle
