secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
10.0,0.109792,0.065086,-0.036703,0.865554,0.427143,0.261467,-9.1e-05,0.047101,0.046928,-0.333435,-0.402551,-0.684606,0.508023,7.0,2.0,12.0,IDBC,36,BicepCurl
10.01,0.171258,0.05953,-0.041616,0.864924,0.428269,0.26171,0.001943,0.088241,0.046639,-0.332599,-0.402728,-0.684591,0.508451,7.0,2.0,12.0,IDBC,36,BicepCurl
10.02,0.215295,0.063668,-0.068761,0.86439,0.42936,0.261686,-0.014277,0.070319,0.042208,-0.33174,-0.403026,-0.684407,0.509025,7.0,2.0,12.0,IDBC,36,BicepCurl
10.03,0.165398,0.07435,-0.060048,0.863836,0.430471,0.261689,-0.011206,0.021219,0.038985,-0.330858,-0.40333,-0.684229,0.509596,7.0,2.0,12.0,IDBC,36,BicepCurl
10.04,0.093427,0.092819,-0.069877,0.86314,0.431393,0.262468,-0.00761,0.003619,0.04045,-0.329977,-0.403598,-0.684356,0.509786,7.0,2.0,12.0,IDBC,36,BicepCurl
10.05,0.014267,0.099688,-0.075043,0.86223,0.43222,0.264092,-0.019609,0.00409,0.0288,-0.329063,-0.403783,-0.68484,0.509579,7.0,2.0,12.0,IDBC,36,BicepCurl
10.06,0.047396,0.106083,-0.087335,0.861222,0.433076,0.265971,-0.031922,0.011595,0.008488,-0.328123,-0.403918,-0.685446,0.509264,7.0,2.0,12.0,IDBC,36,BicepCurl
10.07,0.093084,0.115712,-0.093736,0.860135,0.434162,0.267715,-0.037518,0.020962,-0.000259,-0.327011,-0.404131,-0.685956,0.509123,7.0,2.0,12.0,IDBC,36,BicepCurl
10.08,0.074116,0.110626,-0.099831,0.858776,0.435926,0.269206,-0.036114,0.044833,0.016499,-0.325716,-0.404107,-0.686513,0.509221,7.0,2.0,12.0,IDBC,36,BicepCurl
10.09,0.097166,0.116216,-0.106947,0.856887,0.438819,0.270523,-0.037246,0.020501,0.013184,-0.324026,-0.40375,-0.687203,0.509653,7.0,2.0,12.0,IDBC,36,BicepCurl
10.1,0.014217,0.104605,-0.108927,0.855098,0.441417,0.271954,-0.023402,0.001897,-5.8e-05,-0.322477,-0.403403,-0.687927,0.509933,7.0,2.0,12.0,IDBC,36,BicepCurl
10.11,-0.023541,0.088868,-0.116858,0.853974,0.442506,0.273708,-0.011094,-0.002901,-0.000775,-0.321576,-0.403311,-0.688618,0.509642,7.0,2.0,12.0,IDBC,36,BicepCurl
10.12,-0.080802,0.07232,-0.109854,0.853156,0.44295,0.275537,0.012155,-0.013003,-0.009179,-0.321011,-0.403265,-0.689308,0.509101,7.0,2.0,12.0,IDBC,36,BicepCurl
10.13,-0.133586,0.069184,-0.114054,0.852352,0.443458,0.277203,0.02071,-0.008155,0.003253,-0.320596,-0.403001,-0.690067,0.508544,7.0,2.0,12.0,IDBC,36,BicepCurl
10.14,-0.137294,0.089881,-0.110463,0.851462,0.444332,0.278534,0.016763,-0.009533,0.001496,-0.32019,-0.402508,-0.690836,0.508145,7.0,2.0,12.0,IDBC,36,BicepCurl
10.15,-0.127798,0.11275,-0.10517,0.850452,0.445458,0.279821,0.013272,-0.0187,0.005397,-0.319658,-0.401991,-0.691602,0.507847,7.0,2.0,12.0,IDBC,36,BicepCurl
10.16,-0.203902,0.154788,-0.113326,0.849065,0.446867,0.281777,0.009928,-0.024564,0.021613,-0.318849,-0.401444,-0.692626,0.507392,7.0,2.0,12.0,IDBC,36,BicepCurl
10.17,-0.395393,0.184547,-0.139157,0.84758,0.447825,0.284711,0.009353,-0.043483,0.003879,-0.318198,-0.400787,-0.694064,0.506354,7.0,2.0,12.0,IDBC,36,BicepCurl
10.18,-0.685897,0.223583,-0.175013,0.846312,0.44773,0.288607,0.023928,-0.077156,-0.027941,-0.31821,-0.399812,-0.696027,0.504419,7.0,2.0,12.0,IDBC,36,BicepCurl
10.19,-0.717564,0.253673,-0.175055,0.844899,0.447068,0.293726,0.047526,-0.117372,-0.013102,-0.318436,-0.398643,-0.698532,0.501733,7.0,2.0,12.0,IDBC,36,BicepCurl
10.2,-0.612649,0.227681,-0.158457,0.843636,0.446303,0.298483,0.050193,-0.070037,-0.049612,-0.31864,-0.397646,-0.700799,0.499227,7.0,2.0,12.0,IDBC,36,BicepCurl
