secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
23.8,1.108277,-0.296792,0.030379,-0.970669,-0.158974,-0.180359,-0.016682,0.020241,0.004273,0.768219,0.10706,-0.631156,0.004371,17.0,2.0,16.0,30DBP,11,InclinePress
23.81,0.714651,-0.289011,-0.073546,-0.97118,-0.160801,-0.175936,-0.042843,-0.07101,-0.036085,0.766759,0.110608,-0.632296,0.006973,17.0,2.0,16.0,30DBP,11,InclinePress
23.82,0.461966,-0.166064,-0.136858,-0.971396,-0.162889,-0.17279,-0.071756,-0.197981,0.082855,0.76572,0.113223,-0.633076,0.008297,17.0,2.0,16.0,30DBP,11,InclinePress
23.83,0.433156,-0.101534,-0.130474,-0.971391,-0.164928,-0.170873,-0.115462,-0.234303,0.044653,0.765085,0.115278,-0.633462,0.009052,17.0,2.0,16.0,30DBP,11,InclinePress
23.84,0.538199,-0.078926,-0.114583,-0.97136,-0.166932,-0.169097,-0.079971,-0.12535,-0.056595,0.764491,0.117537,-0.633748,0.010082,17.0,2.0,16.0,30DBP,11,InclinePress
23.85,0.715234,-9.4e-05,-0.126405,-0.971218,-0.169127,-0.167726,-0.019383,0.000227,-0.021498,0.764022,0.12027,-0.633776,0.011558,17.0,2.0,16.0,30DBP,11,InclinePress
23.86,1.002985,-0.003784,-0.131685,-0.970993,-0.171854,-0.166252,-0.037491,0.042795,-0.036552,0.763502,0.124011,-0.633636,0.013818,17.0,2.0,16.0,30DBP,11,InclinePress
23.87,0.973258,-0.010545,-0.113287,-0.970797,-0.174705,-0.164414,-0.043196,-0.002404,-0.057784,0.762846,0.128237,-0.633521,0.016531,17.0,2.0,16.0,30DBP,11,InclinePress
23.88,0.927589,-0.030581,-0.077802,-0.970658,-0.177179,-0.162579,-0.04248,-0.061988,0.001003,0.762184,0.132121,-0.633447,0.019119,17.0,2.0,16.0,30DBP,11,InclinePress
23.89,0.893431,-0.086791,-0.03972,-0.970653,-0.179242,-0.160331,-0.056905,-0.10628,-0.014168,0.761374,0.135848,-0.633545,0.021798,17.0,2.0,16.0,30DBP,11,InclinePress
23.9,0.682816,-0.128811,-0.04114,-0.970762,-0.18084,-0.157857,-0.03609,-0.088264,-0.02421,0.760492,0.138986,-0.633841,0.024103,17.0,2.0,16.0,30DBP,11,InclinePress
23.91,0.511995,-0.146149,-0.061536,-0.970883,-0.182275,-0.155442,-0.024021,-0.094458,0.034166,0.759645,0.141433,-0.634252,0.025701,17.0,2.0,16.0,30DBP,11,InclinePress
23.92,0.523491,-0.161411,-0.044468,-0.971023,-0.183596,-0.152992,-0.045746,-0.092405,0.017371,0.758794,0.143535,-0.634746,0.026963,17.0,2.0,16.0,30DBP,11,InclinePress
23.93,0.617663,-0.173501,-0.031874,-0.971214,-0.184806,-0.150301,-0.038659,-0.073632,-0.031004,0.75785,0.145844,-0.635279,0.02853,17.0,2.0,16.0,30DBP,11,InclinePress
23.94,0.784897,-0.171986,-0.06323,-0.971387,-0.186277,-0.147338,-0.010394,-0.037707,-0.063798,0.756797,0.148648,-0.635794,0.030447,17.0,2.0,16.0,30DBP,11,InclinePress
23.95,0.843682,-0.198915,-0.037872,-0.971558,-0.188026,-0.143953,0.006912,-0.019463,-0.092406,0.755583,0.151991,-0.636335,0.032733,17.0,2.0,16.0,30DBP,11,InclinePress
23.96,0.774815,-0.213763,0.01402,-0.971839,-0.18929,-0.140348,0.035713,-0.02476,-0.070635,0.754281,0.15514,-0.636991,0.035125,17.0,2.0,16.0,30DBP,11,InclinePress
23.97,0.726095,-0.179536,-0.017418,-0.972121,-0.19026,-0.13705,0.036284,-0.051149,-0.042576,0.753081,0.157929,-0.6376,0.037333,17.0,2.0,16.0,30DBP,11,InclinePress
23.98,0.759898,-0.162838,-0.010868,-0.972314,-0.191518,-0.133888,-0.015433,-0.048121,-0.089134,0.75192,0.160879,-0.638102,0.039507,17.0,2.0,16.0,30DBP,11,InclinePress
23.99,0.606484,-0.118811,0.073113,-0.972563,-0.192125,-0.131186,0.005964,-0.024458,-0.105005,0.7509,0.163425,-0.638513,0.041743,17.0,2.0,16.0,30DBP,11,InclinePress
24.0,0.470493,-0.05269,0.095456,-0.972849,-0.191936,-0.129331,0.057382,-0.032567,-0.07442,0.750172,0.165114,-0.638805,0.04367,17.0,2.0,16.0,30DBP,11,InclinePress
24.01,0.451918,0.024069,0.058586,-0.973014,-0.191807,-0.128273,0.052177,-0.097576,-0.074043,0.749714,0.166641,-0.638823,0.045442,17.0,2.0,16.0,30DBP,11,InclinePress
24.02,0.348188,0.105504,0.001833,-0.972998,-0.191994,-0.128111,0.011283,-0.112693,-0.084367,0.749571,0.168019,-0.638525,0.046897,17.0,2.0,16.0,30DBP,11,InclinePress
24.03,0.397568,0.24984,-0.059286,-0.9727,-0.192806,-0.129154,-0.034456,-0.0929,-0.041363,0.749843,0.169462,-0.637735,0.048088,17.0,2.0,16.0,30DBP,11,InclinePress
24.04,0.384601,0.328939,-0.112228,-0.972167,-0.194125,-0.131174,-0.068391,-0.092756,-0.070745,0.75044,0.17113,-0.636496,0.04927,17.0,2.0,16.0,30DBP,11,InclinePress
24.05,0.516156,0.374117,-0.154903,-0.97142,-0.196062,-0.133801,-0.046906,-0.051802,-0.111683,0.751233,0.173162,-0.634913,0.050486,17.0,2.0,16.0,30DBP,11,InclinePress
24.06,0.566839,0.399701,-0.165877,-0.97056,-0.198406,-0.136562,0.025156,-0.014119,-0.156026,0.75205,0.175664,-0.633136,0.051972,17.0,2.0,16.0,30DBP,11,InclinePress
24.07,0.436924,0.348977,-0.187006,-0.969694,-0.200846,-0.139125,0.114789,0.01504,-0.14301,0.752815,0.178036,-0.631459,0.053218,17.0,2.0,16.0,30DBP,11,InclinePress
24.08,0.433133,0.307205,-0.187359,-0.968857,-0.203233,-0.141467,0.147461,-0.009764,-0.070324,0.753526,0.180125,-0.629937,0.054152,17.0,2.0,16.0,30DBP,11,InclinePress
24.09,0.569458,0.298229,-0.166399,-0.968053,-0.205676,-0.143426,0.08077,-0.065045,-0.064063,0.75409,0.182483,-0.62848,0.055324,17.0,2.0,16.0,30DBP,11,InclinePress
24.1,0.589163,0.231614,-0.117981,-0.967363,-0.207947,-0.144797,0.021181,-0.080169,-0.101312,0.754431,0.185085,-0.627172,0.056859,17.0,2.0,16.0,30DBP,11,InclinePress
24.11,0.502042,0.241938,-0.043878,-0.966867,-0.209507,-0.14586,0.03367,-0.030758,-0.045546,0.754656,0.187357,-0.626073,0.058518,17.0,2.0,16.0,30DBP,11,InclinePress
24.12,0.491055,0.253479,-0.062202,-0.966392,-0.210671,-0.147324,0.03115,0.043023,0.023362,0.755018,0.189241,-0.62492,0.06008,17.0,2.0,16.0,30DBP,11,InclinePress
24.13,0.601824,0.197452,-0.087312,-0.965869,-0.212326,-0.148374,0.007236,0.08136,-0.050753,0.755234,0.191548,-0.623797,0.061719,17.0,2.0,16.0,30DBP,11,InclinePress
24.14,0.479091,0.090176,0.001613,-0.965552,-0.213601,-0.148606,0.07479,0.075921,-0.067398,0.755171,0.193737,-0.623027,0.063406,17.0,2.0,16.0,30DBP,11,InclinePress
24.15,0.282574,-0.002797,0.036511,-0.965539,-0.213938,-0.148208,0.13688,0.029627,0.006683,0.754925,0.19511,-0.622758,0.064751,17.0,2.0,16.0,30DBP,11,InclinePress
24.16,0.152161,-0.060094,0.033421,-0.96566,-0.213937,-0.147416,0.084831,-0.03826,0.025621,0.7546,0.195796,-0.622861,0.06547,17.0,2.0,16.0,30DBP,11,InclinePress
24.17,-0.008473,-0.069135,0.092553,-0.965883,-0.213491,-0.146599,0.018129,-0.084406,0.04818,0.754295,0.195934,-0.623145,0.06587,17.0,2.0,16.0,30DBP,11,InclinePress
24.18,-0.099912,-0.102357,0.133488,-0.966266,-0.212248,-0.145882,-0.010297,-0.051134,0.069756,0.754043,0.195352,-0.623616,0.066034,17.0,2.0,16.0,30DBP,11,InclinePress
24.19,-0.042196,-0.091212,0.112596,-0.966677,-0.210943,-0.145048,-0.031492,0.040457,0.048216,0.753756,0.194705,-0.624152,0.066151,17.0,2.0,16.0,30DBP,11,InclinePress
24.2,0.016112,-0.07448,0.113137,-0.967014,-0.209875,-0.14435,-0.010541,0.093161,0.01433,0.753497,0.19436,-0.624539,0.066468,17.0,2.0,16.0,30DBP,11,InclinePress
24.21,0.085336,-0.15421,0.170424,-0.967468,-0.208607,-0.143136,0.043427,0.105549,-0.054068,0.753045,0.194135,-0.625095,0.067012,17.0,2.0,16.0,30DBP,11,InclinePress
24.22,0.103418,-0.166422,0.26209,-0.968155,-0.206658,-0.141311,0.081589,0.037728,-0.032181,0.752351,0.193913,-0.625893,0.068001,17.0,2.0,16.0,30DBP,11,InclinePress
24.23,0.043597,-0.127061,0.301356,-0.968953,-0.203991,-0.139709,0.031514,-0.011784,0.017456,0.751712,0.193343,-0.626709,0.06916,17.0,2.0,16.0,30DBP,11,InclinePress
24.24,0.081409,-0.104713,0.304808,-0.969734,-0.201085,-0.138498,-0.027413,0.02274,-0.030188,0.751197,0.192619,-0.627415,0.070372,17.0,2.0,16.0,30DBP,11,InclinePress
24.25,0.185956,-0.077189,0.293719,-0.970467,-0.198376,-0.137264,-0.019081,0.057721,-0.087635,0.750647,0.192242,-0.628021,0.071841,17.0,2.0,16.0,30DBP,11,InclinePress
24.26,0.143636,0.017419,0.290628,-0.971092,-0.195769,-0.136587,0.021827,0.058226,-0.058085,0.750261,0.192024,-0.628358,0.073499,17.0,2.0,16.0,30DBP,11,InclinePress
