secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.01,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.02,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.03,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.04,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.05,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.06,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.07,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.08,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.09,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.1,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.11,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.12,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.13,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.14,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.15,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.16,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.17,,,,,,,,,,,,,,4.0,2.0,18.0,SACLR,14,Idle
0.18,-0.173021,-0.162161,0.452094,0.233835,0.09426,-0.967696,-0.001291,-0.044638,-0.002991,0.991888,-0.047803,0.117757,0.002424,4.0,2.0,18.0,SACLR,14,Idle
0.19,-0.159212,-0.177216,0.430135,0.232603,0.094829,-0.967938,-0.006544,-0.046458,-0.007084,0.991941,-0.048361,0.117015,0.004758,4.0,2.0,18.0,SACLR,14,Idle
0.2,-0.165057,-0.195608,0.399979,0.231175,0.095428,-0.968221,-0.00974,-0.058273,-0.012675,0.991999,-0.048913,0.116177,0.006954,4.0,2.0,18.0,SACLR,14,Idle
0.21,-0.172107,-0.217886,0.374347,0.229526,0.096183,-0.968538,-0.014255,-0.064323,-0.015882,0.992062,-0.049524,0.115231,0.009015,4.0,2.0,18.0,SACLR,14,Idle
0.22,-0.16243,-0.231342,0.369414,0.227687,0.096971,-0.968894,-0.014964,-0.065309,-0.019815,0.992132,-0.050138,0.11419,0.011016,4.0,2.0,18.0,SACLR,14,Idle
