secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.01,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.02,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.03,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.04,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.05,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.06,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.07,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.08,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.09,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.1,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.11,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.12,,,,,,,,,,,,,,52.0,1.0,12.0,NGCR,3,Idle
0.13,-0.015719,-0.010168,0.028442,0.157985,-0.12031,-0.980085,0.001454,0.011957,0.002439,0.995009,0.060421,0.079416,0.000442,52.0,1.0,12.0,NGCR,3,Idle
0.14,-0.02418,-0.00817,0.027965,0.157844,-0.120152,-0.980127,0.004036,0.014225,0.002283,0.995019,0.06033,0.079353,0.000588,52.0,1.0,12.0,NGCR,3,Idle
0.15,-0.03263,-0.016445,0.025621,0.157689,-0.119918,-0.980181,0.008754,0.015517,0.000597,0.995033,0.0602,0.079282,0.000728,52.0,1.0,12.0,NGCR,3,Idle
0.16,-0.043302,-0.022413,0.018303,0.157468,-0.119567,-0.980259,0.01079,0.016158,0.000248,0.995052,0.060013,0.079177,0.000849,52.0,1.0,12.0,NGCR,3,Idle
0.17,-0.057475,-0.022171,0.010636,0.157221,-0.119093,-0.980356,0.011725,0.011763,0.002558,0.995077,0.059767,0.079055,0.000929,52.0,1.0,12.0,NGCR,3,Idle
0.18,-0.063692,-0.026006,0.013019,0.156976,-0.118511,-0.980466,0.008078,0.005473,0.00372,0.995104,0.059467,0.078934,0.001002,52.0,1.0,12.0,NGCR,3,Idle
0.19,-0.068945,-0.024651,0.014168,0.156713,-0.117887,-0.980583,0.00712,0.002942,0.006386,0.995133,0.059145,0.078805,0.001095,52.0,1.0,12.0,NGCR,3,Idle
0.2,-0.052648,-0.02335,0.019707,0.156453,-0.117323,-0.980693,0.009898,0.011809,0.009104,0.995161,0.058852,0.078678,0.001196,52.0,1.0,12.0,NGCR,3,Idle
0.21,-0.028819,-0.019039,0.029289,0.156226,-0.116966,-0.980771,0.011178,0.017982,0.010282,0.99518,0.058661,0.07857,0.001328,52.0,1.0,12.0,NGCR,3,Idle
0.22,-0.021962,-0.008628,0.03664,0.15606,-0.116761,-0.980822,0.017021,0.020829,0.012408,0.995193,0.058544,0.078495,0.001498,52.0,1.0,12.0,NGCR,3,Idle
0.23,-0.018431,-0.009743,0.039585,0.155936,-0.116629,-0.980858,0.01304,0.017966,0.011543,0.995202,0.058462,0.078444,0.0017,52.0,1.0,12.0,NGCR,3,Idle
0.24,-0.035858,-0.006179,0.028085,0.155833,-0.116417,-0.980899,0.011236,0.01519,0.00896,0.995212,0.05834,0.078401,0.001878,52.0,1.0,12.0,NGCR,3,Idle
0.25,-0.060294,-0.002837,0.021497,0.155741,-0.115997,-0.980964,0.009542,0.013153,0.010352,0.995228,0.058118,0.078361,0.002009,52.0,1.0,12.0,NGCR,3,Idle
0.26,-0.08033,0.001149,0.029479,0.155723,-0.115342,-0.981044,0.008187,-0.003493,0.01092,0.995247,0.057776,0.078359,0.002161,52.0,1.0,12.0,NGCR,3,Idle
0.27,-0.092033,0.001094,0.031998,0.164504,-0.114737,-0.97968,-0.002059,-0.009988,0.01238,0.994905,0.057487,0.082795,0.002104,52.0,1.0,12.0,NGCR,3,Idle
0.28,-0.100008,0.004409,0.01876,0.166102,-0.109729,-0.979985,-0.004755,-0.001263,0.016789,0.994982,0.054969,0.083583,0.002056,52.0,1.0,12.0,NGCR,3,Idle
0.29,-0.094276,0.005796,0.013746,0.167109,-0.105592,-0.980268,-0.006633,0.007921,0.020826,0.995053,0.052889,0.084077,0.002012,52.0,1.0,12.0,NGCR,3,Idle
0.3,-0.098186,0.005628,0.013447,0.169146,-0.102557,-0.980241,-0.010408,-0.000272,0.022233,0.995046,0.051365,0.085096,0.001976,52.0,1.0,12.0,NGCR,3,Idle
0.31,-0.107846,0.008103,0.006493,0.16951,-0.101051,-0.980334,-0.011383,-0.013177,0.024142,0.995069,0.0506,0.085279,0.002045,52.0,1.0,12.0,NGCR,3,Idle
0.32,-0.115727,0.012199,0.01247,0.169472,-0.100112,-0.980437,-0.009651,-0.019837,0.029692,0.995095,0.050119,0.085262,0.002151,52.0,1.0,12.0,NGCR,3,Idle
0.33,-0.112185,0.013689,0.011479,0.169327,-0.099378,-0.980537,-0.011582,-0.020632,0.030448,0.99512,0.049737,0.085193,0.002284,52.0,1.0,12.0,NGCR,3,Idle
