secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.01,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.02,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.03,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.04,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.05,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.06,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.07,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.08,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.09,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.1,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.11,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.12,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.13,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.14,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.15,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.16,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.17,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.18,,,,,,,,,,,,,,66.0,2.0,2.0,APULL,28,Idle
0.19,0.115766,0.026934,-0.042992,0.054721,-0.050227,-0.997238,-0.008059,0.00349,0.00502,0.999309,0.025131,0.027379,-0.0,66.0,2.0,2.0,APULL,28,Idle
0.2,0.095031,0.020324,-0.029219,0.054965,-0.051257,-0.997172,-0.003421,0.000629,0.004969,0.999293,0.025652,0.027497,-0.00019,66.0,2.0,2.0,APULL,28,Idle
0.21,0.075195,0.012962,-0.016407,0.055155,-0.052107,-0.997117,-0.003016,-0.006594,0.00374,0.999279,0.026081,0.027589,-0.000317,66.0,2.0,2.0,APULL,28,Idle
0.22,0.041091,0.000219,0.001811,0.055216,-0.052686,-0.997083,-0.003183,-0.012744,0.005216,0.999271,0.026372,0.027618,-0.000364,66.0,2.0,2.0,APULL,28,Idle
0.23,0.006501,-0.014166,0.026228,0.055142,-0.052928,-0.997075,-0.005063,-0.006154,0.007725,0.999268,0.026492,0.027583,-0.000308,66.0,2.0,2.0,APULL,28,Idle
0.24,-0.004963,-0.026932,0.046885,0.054899,-0.052942,-0.997087,-0.005476,0.001642,0.008364,0.999272,0.026494,0.027466,-0.000129,66.0,2.0,2.0,APULL,28,Idle
0.25,-0.006144,-0.028428,0.051222,0.054602,-0.052925,-0.997105,-0.007574,0.007195,0.007008,0.999276,0.026479,0.027324,0.000114,66.0,2.0,2.0,APULL,28,Idle
0.26,0.015345,-0.020072,0.057208,0.054315,-0.053001,-0.997116,-0.012048,0.018303,0.008988,0.999279,0.026509,0.027187,0.000379,66.0,2.0,2.0,APULL,28,Idle
0.27,0.041704,-0.006676,0.070756,0.054152,-0.053327,-0.997108,-0.010512,0.020734,0.013099,0.999276,0.026664,0.027114,0.000692,66.0,2.0,2.0,APULL,28,Idle
0.28,0.039009,-0.001736,0.066986,0.054072,-0.053799,-0.997087,-0.007655,0.014386,0.017152,0.999271,0.026891,0.027084,0.001033,66.0,2.0,2.0,APULL,28,Idle
0.29,0.037146,0.005354,0.052658,0.054053,-0.054209,-0.997066,-0.005072,0.009256,0.019786,0.999265,0.027088,0.027082,0.001326,66.0,2.0,2.0,APULL,28,Idle
0.3,0.03206,0.005963,0.027805,0.054068,-0.054587,-0.997044,-0.008536,0.004722,0.019215,0.99926,0.027273,0.027095,0.001521,66.0,2.0,2.0,APULL,28,Idle
0.31,0.038811,0.005101,0.020982,0.054134,-0.054937,-0.997021,-0.013882,0.005651,0.021176,0.999254,0.027445,0.027132,0.001624,66.0,2.0,2.0,APULL,28,Idle
0.32,0.057256,0.006624,0.030851,0.05418,-0.055432,-0.996991,-0.004925,0.009,0.020078,0.999246,0.02769,0.027159,0.001745,66.0,2.0,2.0,APULL,28,Idle
0.33,0.058847,0.002432,0.036382,0.054232,-0.056039,-0.996955,0.002363,0.015481,0.022498,0.999237,0.027989,0.02719,0.00191,66.0,2.0,2.0,APULL,28,Idle
0.34,0.053293,-0.000455,0.015023,0.05423,-0.05661,-0.996922,0.009201,0.015014,0.020146,0.999228,0.028271,0.027194,0.002036,66.0,2.0,2.0,APULL,28,Idle
0.35,0.051758,-0.00146,0.006768,0.044823,-0.034498,-0.998399,0.013862,-0.012804,0.022554,0.999598,0.017213,0.022454,0.001914,66.0,2.0,2.0,APULL,28,Idle
0.36,0.038753,-0.006628,0.01246,0.045925,-0.037458,-0.998242,0.009251,-0.008028,0.022656,0.999559,0.018692,0.023009,0.00197,66.0,2.0,2.0,APULL,28,Idle
0.37,0.035433,-0.003443,0.01835,0.047085,-0.040267,-0.998079,0.003315,-0.002457,0.024492,0.999518,0.020095,0.023595,0.00206,66.0,2.0,2.0,APULL,28,Idle
0.38,0.029957,0.005089,0.035823,0.046939,-0.042913,-0.997976,-0.000369,-0.002879,0.018026,0.999491,0.021415,0.023529,0.002217,66.0,2.0,2.0,APULL,28,Idle
0.39,0.005351,0.00243,0.072102,0.045933,-0.044407,-0.997957,0.004696,-0.012538,0.012865,0.999486,0.022157,0.023034,0.002512,66.0,2.0,2.0,APULL,28,Idle
0.4,-0.026769,-0.003525,0.101498,0.046554,-0.044795,-0.997911,0.012833,-0.018911,0.00786,0.999473,0.02234,0.023355,0.002957,66.0,2.0,2.0,APULL,28,Idle
