secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
18.5,0.058143,-0.091843,0.084797,-0.988262,0.117158,-0.098047,-0.000447,0.017288,-0.046438,0.47776,0.458763,-0.490421,0.566365,83.0,4.0,4.0,APULL,28,Pullups
18.51,0.055167,-0.054172,0.103674,-0.988078,0.118814,-0.097908,-0.010046,0.039465,0.038871,0.477105,0.458517,-0.490722,0.566855,83.0,4.0,4.0,APULL,28,Pullups
18.52,0.04659,-0.06103,0.091696,-0.988005,0.12062,-0.096417,-0.000398,0.003755,0.009976,0.476106,0.458592,-0.491411,0.567037,83.0,4.0,4.0,APULL,28,Pullups
18.53,-0.027027,-0.080784,0.061578,-0.988005,0.120902,-0.096068,0.023238,-0.030448,0.007429,0.475898,0.458657,-0.491528,0.567058,83.0,4.0,4.0,APULL,28,Pullups
18.54,-0.033919,-0.04897,0.071877,-0.988215,0.120128,-0.094872,0.010477,-0.016902,0.022636,0.475922,0.459106,-0.491717,0.56651,83.0,4.0,4.0,APULL,28,Pullups
18.55,0.040887,-0.023642,0.073123,-0.988362,0.119318,-0.094362,0.010533,0.010779,-0.011824,0.475976,0.459498,-0.49161,0.56624,83.0,4.0,4.0,APULL,28,Pullups
18.56,0.099803,-0.011835,0.031072,-0.988436,0.119068,-0.093895,-0.004483,0.035595,-0.061912,0.475693,0.459901,-0.49147,0.566272,83.0,4.0,4.0,APULL,28,Pullups
18.57,0.11531,0.012205,0.037196,-0.988346,0.119831,-0.093871,-0.036098,0.026547,-0.002519,0.475197,0.459954,-0.491433,0.566678,83.0,4.0,4.0,APULL,28,Pullups
18.58,0.142073,-0.011764,0.025372,-0.988156,0.120361,-0.095185,-0.026507,-0.025436,0.020661,0.474957,0.459804,-0.490905,0.567458,83.0,4.0,4.0,APULL,28,Pullups
18.59,0.046745,-0.045351,0.025301,-0.988137,0.121227,-0.094284,0.008614,-0.035457,0.072448,0.474257,0.460045,-0.491138,0.567646,83.0,4.0,4.0,APULL,28,Pullups
18.6,-0.031058,-0.102116,0.027213,-0.988179,0.121554,-0.093414,0.022451,-0.040057,0.059235,0.473945,0.460214,-0.491422,0.567523,83.0,4.0,4.0,APULL,28,Pullups
18.61,-0.0758,-0.1062,0.052031,-0.988289,0.121537,-0.092268,0.024468,-0.026093,0.053114,0.473796,0.460434,-0.491799,0.567143,83.0,4.0,4.0,APULL,28,Pullups
18.62,-0.098014,-0.12551,0.048407,-0.988392,0.12187,-0.090711,0.003331,-0.016066,0.01373,0.473575,0.46057,-0.492463,0.566641,83.0,4.0,4.0,APULL,28,Pullups
18.63,-0.066948,-0.100193,0.041144,-0.988406,0.122527,-0.089672,0.007571,0.017229,0.006115,0.473378,0.460486,-0.493068,0.566347,83.0,4.0,4.0,APULL,28,Pullups
18.64,-0.008601,-0.070262,0.026902,-0.988287,0.123407,-0.089779,0.030035,0.023734,0.00703,0.473219,0.460179,-0.493301,0.566528,83.0,4.0,4.0,APULL,28,Pullups
18.65,-0.008913,-0.078611,-0.014914,-0.988307,0.123746,-0.089089,0.050914,0.015018,0.007332,0.472994,0.460253,-0.493581,0.566411,83.0,4.0,4.0,APULL,28,Pullups
18.66,0.000807,-0.066382,-0.015056,-0.988503,0.122961,-0.087987,0.023324,-0.005896,0.005514,0.472961,0.460749,-0.493676,0.565952,83.0,4.0,4.0,APULL,28,Pullups
18.67,0.006482,-0.037546,0.028325,-0.988731,0.122351,-0.086268,0.0008,0.016626,0.039911,0.472716,0.461385,-0.493954,0.565397,83.0,4.0,4.0,APULL,28,Pullups
18.68,0.0278,-0.043243,0.053686,-0.988877,0.122068,-0.084983,-0.002578,0.030092,-0.010384,0.472448,0.461848,-0.494171,0.565053,83.0,4.0,4.0,APULL,28,Pullups
18.69,0.068184,-0.038734,0.106354,-0.988935,0.122393,-0.083825,-0.001467,0.049726,-0.029349,0.471933,0.462214,-0.494415,0.564971,83.0,4.0,4.0,APULL,28,Pullups
18.7,0.055787,0.0049,0.183527,-0.988811,0.123517,-0.083643,-0.01241,0.04816,0.014841,0.471404,0.462126,-0.494588,0.565332,83.0,4.0,4.0,APULL,28,Pullups
18.71,0.068556,0.004879,0.191698,-0.988527,0.125672,-0.083798,0.011766,0.000534,0.009213,0.470641,0.461705,-0.494904,0.566035,83.0,4.0,4.0,APULL,28,Pullups
18.72,0.060247,-0.012631,0.179868,-0.988216,0.128027,-0.083893,0.040828,-0.005972,-0.020889,0.469825,0.461232,-0.495297,0.566755,83.0,4.0,4.0,APULL,28,Pullups
18.73,0.145668,0.03398,0.190482,-0.987921,0.13013,-0.084137,0.00028,0.036252,-0.024887,0.469023,0.460861,-0.495518,0.567526,83.0,4.0,4.0,APULL,28,Pullups
18.74,0.242918,0.058175,0.1798,-0.98765,0.131662,-0.084927,0.002329,0.048834,0.039532,0.468177,0.460776,-0.495199,0.568572,83.0,4.0,4.0,APULL,28,Pullups
18.75,0.129439,0.005908,0.118041,-0.987469,0.133144,-0.084714,0.018506,0.000248,0.037244,0.467191,0.460906,-0.495185,0.569289,83.0,4.0,4.0,APULL,28,Pullups
18.76,0.07191,-0.028936,0.116174,-0.987248,0.134643,-0.084923,0.024022,-0.034713,-0.005714,0.466519,0.460725,-0.495249,0.569932,83.0,4.0,4.0,APULL,28,Pullups
18.77,0.076365,-0.010225,0.142984,-0.986862,0.137003,-0.085642,-0.004105,-0.017801,0.037989,0.465817,0.460098,-0.495468,0.57082,83.0,4.0,4.0,APULL,28,Pullups
