secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.01,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.02,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.03,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.04,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.05,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.06,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.07,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.08,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.09,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.1,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.11,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.12,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.13,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.14,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.15,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.16,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.17,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.18,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.19,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.2,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.21,,,,,,,,,,,,,,52.0,1.0,15.0,CGCR,2,Idle
0.22,-0.017951,0.033147,0.148262,0.224605,-0.174442,-0.958709,0.013143,-0.019208,0.021529,0.989622,0.087976,0.113603,0.001387,52.0,1.0,15.0,CGCR,2,Idle
0.23,0.005071,0.051035,0.165946,0.224726,-0.174731,-0.958628,0.01499,-0.019407,0.020106,0.989601,0.088032,0.113738,0.002188,52.0,1.0,15.0,CGCR,2,Idle
0.24,0.017375,0.069727,0.188159,0.225001,-0.175252,-0.958468,0.015478,-0.016413,0.017932,0.989558,0.088195,0.113963,0.003091,52.0,1.0,15.0,CGCR,2,Idle
0.25,0.006909,0.083522,0.204819,0.225392,-0.175814,-0.958273,0.015788,-0.018583,0.014273,0.989505,0.088368,0.114256,0.004086,52.0,1.0,15.0,CGCR,2,Idle
