secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.01,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.02,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.03,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.04,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.05,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.06,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.07,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.08,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.09,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.1,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.11,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.12,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.13,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.14,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.15,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.16,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.17,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.18,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.19,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.2,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37,Idle
0.21,0.011242,-0.018225,0.014251,0.218355,-0.177832,-0.95953,-0.001161,0.009696,0.011989,0.989831,0.089819,0.110308,9.8e-05,7.0,1.0,12.0,DWC,37,Idle
0.22,0.02826,0.001881,0.001564,0.218248,-0.178053,-0.959513,-0.003328,0.011305,0.009318,0.989827,0.089927,0.110257,0.00013,7.0,1.0,12.0,DWC,37,Idle
0.23,0.024206,0.009271,-0.001261,0.218325,-0.178296,-0.95945,-0.010775,0.017469,0.011544,0.989811,0.090052,0.110298,0.000126,7.0,1.0,12.0,DWC,37,Idle
0.24,0.010164,0.006607,-0.006158,0.218411,-0.178458,-0.959401,-0.01379,0.009268,0.006672,0.989798,0.090137,0.110341,0.000108,7.0,1.0,12.0,DWC,37,Idle
0.25,-0.018336,0.007979,-0.021492,0.218499,-0.178393,-0.959392,-0.007913,0.002978,-0.001347,0.989796,0.090113,0.110379,3.1e-05,7.0,1.0,12.0,DWC,37,Idle
0.26,-0.050065,0.011252,-0.034395,0.218655,-0.178007,-0.959429,-0.005337,0.00067,0.006777,0.989805,0.08993,0.110445,-9e-05,7.0,1.0,12.0,DWC,37,Idle
0.27,-0.074156,0.011845,-0.035636,0.218804,-0.177332,-0.95952,-0.00773,-0.010305,0.006669,0.989828,0.089602,0.110506,-0.000225,7.0,1.0,12.0,DWC,37,Idle
0.28,-0.085397,0.016542,-0.036519,0.219001,-0.176497,-0.959629,-0.009803,-0.014299,0.009556,0.989856,0.089192,0.110591,-0.000352,7.0,1.0,12.0,DWC,37,Idle
0.29,-0.054458,0.010032,-0.049691,0.219206,-0.175682,-0.959732,-0.01016,-0.010598,0.014846,0.989882,0.088796,0.110677,-0.000513,7.0,1.0,12.0,DWC,37,Idle
0.3,0.010986,0.018132,-0.053607,0.219394,-0.175364,-0.959747,-0.008701,-0.004064,0.010803,0.989885,0.088662,0.110751,-0.000748,7.0,1.0,12.0,DWC,37,Idle
0.31,0.06021,0.047619,-0.049348,0.219806,-0.175606,-0.959608,-0.006962,0.023613,0.019316,0.98985,0.088816,0.11094,-0.00101,7.0,1.0,12.0,DWC,37,Idle
0.32,0.080474,0.043851,-0.038843,0.220322,-0.17621,-0.959379,-0.013657,0.027895,0.024321,0.989792,0.089154,0.111184,-0.001248,7.0,1.0,12.0,DWC,37,Idle
0.33,0.068798,0.041079,-0.035223,0.22078,-0.176881,-0.95915,-0.011277,0.001374,0.010145,0.989734,0.089522,0.111403,-0.001455,7.0,1.0,12.0,DWC,37,Idle
0.34,0.037138,0.038166,-0.036659,0.221234,-0.177317,-0.958965,-0.007077,-0.003439,0.007595,0.989687,0.089768,0.11162,-0.001648,7.0,1.0,12.0,DWC,37,Idle
0.35,-0.012161,0.026961,-0.053446,0.221625,-0.177348,-0.958869,-0.00489,-0.012074,0.003684,0.989662,0.089811,0.111801,-0.001863,7.0,1.0,12.0,DWC,37,Idle
0.36,-0.06913,0.027476,-0.058559,0.211981,-0.1918,-0.958268,0.004419,-0.008776,0.002777,0.989512,0.097006,0.107033,-0.000824,7.0,1.0,12.0,DWC,37,Idle
0.37,-0.105571,0.013916,-0.052211,0.212373,-0.189391,-0.95866,-0.004289,-0.016038,0.008602,0.98961,0.095811,0.107193,-0.001118,7.0,1.0,12.0,DWC,37,Idle
0.38,-0.07185,-0.006637,-0.044888,0.212705,-0.185724,-0.959303,-0.007292,-0.016882,0.011595,0.989773,0.09398,0.107312,-0.001466,7.0,1.0,12.0,DWC,37,Idle
0.39,-0.033638,0.007708,-0.04037,0.214149,-0.177101,-0.960612,0.000359,0.001045,0.005336,0.990102,0.08967,0.10795,-0.002147,7.0,1.0,12.0,DWC,37,Idle
0.4,-0.02869,0.01618,-0.035806,0.214174,-0.172098,-0.961515,-0.00319,0.024576,0.025541,0.990329,0.087168,0.107907,-0.00256,7.0,1.0,12.0,DWC,37,Idle
0.41,-0.043858,0.003285,-0.031569,0.214027,-0.172496,-0.961477,-0.007179,0.009334,0.023656,0.990319,0.087379,0.107826,-0.002644,7.0,1.0,12.0,DWC,37,Idle
0.42,-0.064674,-0.00012,-0.027789,0.214323,-0.17308,-0.961306,-0.003935,-0.007371,0.021319,0.990276,0.087685,0.107974,-0.002707,7.0,1.0,12.0,DWC,37,Idle
0.43,-0.09842,-0.001904,-0.016601,0.21465,-0.173926,-0.96108,-0.001088,-0.006647,0.022863,0.990219,0.088116,0.108146,-0.002692,7.0,1.0,12.0,DWC,37,Idle
0.44,-0.14783,0.009494,-0.03701,0.214891,-0.174952,-0.96084,-0.005906,-0.011648,0.025797,0.990158,0.088634,0.108277,-0.002638,7.0,1.0,12.0,DWC,37,Idle
0.45,-0.194543,0.005661,-0.053327,0.214625,-0.175623,-0.960777,-0.019114,-0.023504,0.022377,0.990142,0.088971,0.108146,-0.002614,7.0,1.0,12.0,DWC,37,Idle
0.46,-0.229257,0.017857,-0.086323,0.214352,-0.175445,-0.960871,-0.023251,-0.031052,0.016962,0.990166,0.088889,0.107998,-0.002706,7.0,1.0,12.0,DWC,37,Idle
0.47,-0.250275,0.031706,-0.103819,0.214873,-0.173019,-0.961194,-0.026,-0.028809,0.018704,0.990246,0.087694,0.108226,-0.00304,7.0,1.0,12.0,DWC,37,Idle
0.48,-0.219735,0.02193,-0.124503,0.215479,-0.169088,-0.961758,-0.023966,-0.035349,0.023922,0.990387,0.085754,0.108478,-0.003552,7.0,1.0,12.0,DWC,37,Idle
0.49,-0.200414,0.06509,-0.082185,0.215888,-0.166743,-0.962075,-0.017966,-0.044561,0.020303,0.990466,0.084608,0.108645,-0.00396,7.0,1.0,12.0,DWC,37,Idle
0.5,-0.379376,-0.283938,0.766859,0.215415,-0.166097,-0.962293,-0.020637,-0.027446,0.045042,0.990527,0.084032,0.108591,-0.001726,7.0,1.0,12.0,DWC,37,Idle
0.51,-0.370551,-0.320178,0.225834,0.211184,-0.163785,-0.963626,0.250669,-0.111987,0.064731,0.990864,0.082535,0.106652,0.001044,7.0,1.0,12.0,DWC,37,Idle
0.52,-0.514057,-0.141172,-0.074498,0.20889,-0.159714,-0.964809,0.037783,-0.074951,0.068859,0.991162,0.08043,0.105482,0.001305,7.0,1.0,12.0,DWC,37,Idle
0.53,-0.730309,-0.005817,0.353916,0.208068,-0.154368,-0.965856,-0.154097,-0.067723,0.112951,0.991425,0.077632,0.105096,0.002076,7.0,1.0,12.0,DWC,37,Idle
