secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.01,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.02,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.03,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.04,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.05,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.06,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.07,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.08,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.09,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.1,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.11,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.12,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.13,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.14,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.15,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.16,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.17,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.18,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.19,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.2,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.21,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.22,,,,,,,,,,,,,,7.0,1.0,14.0,PREC,29,Idle
0.23,-0.030267,0.002905,-0.021913,0.393469,-0.126401,-0.910607,-0.004645,0.008909,-0.000572,0.977396,0.064679,0.201279,-7.9e-05,7.0,1.0,14.0,PREC,29,Idle
0.24,0.008447,0.018588,-0.014381,0.393491,-0.126534,-0.910579,-0.003065,0.01365,0.007899,0.977389,0.064755,0.201289,-0.000117,7.0,1.0,14.0,PREC,29,Idle
0.25,0.029723,0.038431,0.000413,0.393714,-0.127172,-0.910394,-0.009361,0.013875,0.015878,0.977342,0.065082,0.201414,-0.000106,7.0,1.0,14.0,PREC,29,Idle
0.26,0.020284,0.037956,0.013474,0.394001,-0.127778,-0.910185,-0.010974,0.000352,0.013319,0.977288,0.065385,0.201575,-5.4e-05,7.0,1.0,14.0,PREC,29,Idle
0.27,0.003033,0.037124,0.023236,0.394264,-0.127976,-0.910043,-0.003456,-0.012069,0.006311,0.977252,0.065469,0.201723,4e-05,7.0,1.0,14.0,PREC,29,Idle
0.28,-0.022865,0.037155,0.033108,0.394405,-0.127838,-0.910001,-0.002194,-0.014053,0.003537,0.977241,0.065369,0.201808,0.00019,7.0,1.0,14.0,PREC,29,Idle
0.29,-0.059145,0.027211,0.042615,0.394421,-0.127403,-0.910055,-0.000912,-0.019006,-0.006021,0.977255,0.065098,0.201828,0.000417,7.0,1.0,14.0,PREC,29,Idle
0.3,-0.07752,0.001277,0.039744,0.394295,-0.126475,-0.910239,0.001976,-0.016423,-0.011865,0.977302,0.06457,0.20177,0.000662,7.0,1.0,14.0,PREC,29,Idle
0.31,-0.063315,-0.010054,0.029272,0.394047,-0.125677,-0.910457,0.000133,-0.001474,-0.01096,0.977357,0.064112,0.201646,0.000884,7.0,1.0,14.0,PREC,29,Idle
0.32,-0.049742,-0.012916,0.028417,0.393913,-0.124905,-0.910621,-0.002174,0.011121,-0.007042,0.977399,0.063684,0.201578,0.00103,7.0,1.0,14.0,PREC,29,Idle
0.33,-0.046117,-0.009127,0.030373,0.393726,-0.124288,-0.910787,-0.005741,0.012289,0.002629,0.977442,0.063334,0.201483,0.001185,7.0,1.0,14.0,PREC,29,Idle
0.34,-0.055497,-0.009876,0.029753,0.393473,-0.124114,-0.91092,-0.003779,0.00122,0.007508,0.977475,0.063198,0.201361,0.001403,7.0,1.0,14.0,PREC,29,Idle
0.35,-0.06657,-0.011517,0.022118,0.393321,-0.124199,-0.910974,-0.001185,-0.001473,0.011087,0.977489,0.063191,0.201296,0.001642,7.0,1.0,14.0,PREC,29,Idle
