secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.01,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.02,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.03,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.04,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.05,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.06,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.07,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.08,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.09,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.1,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.11,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.12,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.13,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.14,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.15,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.16,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.17,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.18,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.19,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.2,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.21,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.22,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.23,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.24,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.25,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.26,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.27,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
0.28,,,,,,,,,,,,,,9.0,2.0,8.0,MSP,18,Idle
