secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
5.0,0.033703,0.040951,0.094504,-0.773149,-0.490225,-0.402392,0.001238,0.015845,-0.008253,0.810998,0.168539,-0.519999,-0.208515,13.0,1.0,12.0,MTE,22,TricepExt
5.01,0.089455,0.062817,0.101233,-0.773396,-0.489908,-0.402305,0.010792,0.01771,-0.00802,0.811117,0.168687,-0.519993,-0.207943,13.0,1.0,12.0,MTE,22,TricepExt
5.02,0.090547,0.072228,0.1038,-0.77364,-0.489638,-0.402164,0.014667,0.009811,-0.013028,0.811257,0.168954,-0.519974,-0.207231,13.0,1.0,12.0,MTE,22,TricepExt
5.03,0.035221,0.083959,0.106375,-0.773872,-0.489086,-0.40239,0.017555,0.001522,0.001023,0.811495,0.169021,-0.519843,-0.206569,13.0,1.0,12.0,MTE,22,TricepExt
5.04,0.007713,0.089555,0.105924,-0.774045,-0.488304,-0.403005,0.016477,-0.014,0.011296,0.811832,0.168906,-0.519585,-0.205989,13.0,1.0,12.0,MTE,22,TricepExt
5.05,0.001147,0.084168,0.105494,-0.77415,-0.487541,-0.403726,0.016109,-0.027656,0.00744,0.812174,0.168744,-0.51929,-0.205513,13.0,1.0,12.0,MTE,22,TricepExt
5.06,0.099046,0.077082,0.142344,-0.774416,-0.486874,-0.404022,0.020021,-0.021534,-0.000901,0.812436,0.168748,-0.519147,-0.204836,13.0,1.0,12.0,MTE,22,TricepExt
5.07,0.183782,0.052836,0.176974,-0.774962,-0.486182,-0.403806,0.022323,0.007224,-0.014117,0.812645,0.168969,-0.519178,-0.203744,13.0,1.0,12.0,MTE,22,TricepExt
5.08,0.187715,0.034338,0.189004,-0.77569,-0.485443,-0.403299,0.01536,0.029373,0.002984,0.812812,0.169271,-0.519325,-0.202448,13.0,1.0,12.0,MTE,22,TricepExt
5.09,0.12576,0.013614,0.194999,-0.77649,-0.484537,-0.402849,-0.001327,0.019236,0.044054,0.812973,0.169406,-0.519497,-0.201245,13.0,1.0,12.0,MTE,22,TricepExt
5.1,0.091264,-0.012589,0.219973,-0.777389,-0.483389,-0.402495,-0.014237,-0.01597,0.055495,0.813134,0.169316,-0.519697,-0.200151,13.0,1.0,12.0,MTE,22,TricepExt
5.11,0.03152,-0.061526,0.231913,-0.778539,-0.48199,-0.401947,-0.01182,-0.039784,0.026261,0.813215,0.168997,-0.520064,-0.199137,13.0,1.0,12.0,MTE,22,TricepExt
5.12,-0.006837,-0.117497,0.242626,-0.779927,-0.480415,-0.401142,-0.001918,-0.026116,0.005878,0.813175,0.168442,-0.520631,-0.198287,13.0,1.0,12.0,MTE,22,TricepExt
5.13,-0.031982,-0.141016,0.262773,-0.781482,-0.478698,-0.400167,-0.006909,-0.013673,0.008779,0.813063,0.167735,-0.521327,-0.197514,13.0,1.0,12.0,MTE,22,TricepExt
5.14,-0.043415,-0.156402,0.276266,-0.783155,-0.476724,-0.399252,-0.019015,-0.007239,0.00643,0.81297,0.166865,-0.522044,-0.196738,13.0,1.0,12.0,MTE,22,TricepExt
5.15,-0.076655,-0.170098,0.285342,-0.784981,-0.474373,-0.398465,-0.021262,-0.003822,-0.013797,0.812922,0.165769,-0.522769,-0.195935,13.0,1.0,12.0,MTE,22,TricepExt
5.16,-0.114401,-0.158917,0.287907,-0.786972,-0.471681,-0.397733,-0.019623,-0.00804,-0.016254,0.812883,0.164434,-0.523541,-0.195162,13.0,1.0,12.0,MTE,22,TricepExt
5.17,-0.091451,-0.127644,0.322512,-0.789074,-0.468921,-0.396832,-0.02248,-0.029996,-0.008564,0.81281,0.163099,-0.524388,-0.194306,13.0,1.0,12.0,MTE,22,TricepExt
5.18,-0.060116,-0.049965,0.366992,-0.791106,-0.466133,-0.396068,-0.016831,-0.055229,0.023067,0.812846,0.161936,-0.525112,-0.193174,13.0,1.0,12.0,MTE,22,TricepExt
5.19,-0.107822,0.007282,0.360618,-0.792772,-0.463257,-0.396113,0.011675,-0.013305,0.001215,0.813135,0.160784,-0.525445,-0.192008,13.0,1.0,12.0,MTE,22,TricepExt
5.2,-0.011885,0.094701,0.378665,-0.794262,-0.460075,-0.396836,0.04324,0.026619,0.018402,0.813678,0.159595,-0.525463,-0.190647,13.0,1.0,12.0,MTE,22,TricepExt
5.21,0.017482,0.156275,0.392946,-0.795535,-0.457032,-0.397801,0.04993,-0.026428,0.005344,0.814374,0.158743,-0.525262,-0.188933,13.0,1.0,12.0,MTE,22,TricepExt
5.22,-0.042111,0.176366,0.354828,-0.796576,-0.453988,-0.3992,0.04975,-0.05004,-0.016815,0.81518,0.157863,-0.524861,-0.187301,13.0,1.0,12.0,MTE,22,TricepExt
5.23,-0.080322,0.156047,0.321756,-0.797433,-0.451037,-0.400831,0.045267,-0.023832,-0.025897,0.815985,0.156868,-0.524383,-0.185965,13.0,1.0,12.0,MTE,22,TricepExt
5.24,0.016277,0.110578,0.350335,-0.798383,-0.448242,-0.402074,0.036802,-0.001771,-0.001719,0.816674,0.155969,-0.524058,-0.184607,13.0,1.0,12.0,MTE,22,TricepExt
5.25,0.038566,0.052188,0.380434,-0.799703,-0.445447,-0.402556,0.033697,-0.011783,0.017943,0.817195,0.155224,-0.524049,-0.18295,13.0,1.0,12.0,MTE,22,TricepExt
5.26,-0.023178,0.019024,0.385379,-0.801275,-0.442389,-0.402802,0.016653,0.000418,0.050492,0.817629,0.154269,-0.524214,-0.181338,13.0,1.0,12.0,MTE,22,TricepExt
