secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
30.5,-0.035594,-0.145302,-0.003627,-0.983781,0.045073,-0.173618,-0.016142,0.00696,-0.02026,0.650304,0.314399,-0.560664,0.404862,17.0,2.0,,30DBP,11,InclinePress
30.51,0.052615,-0.137856,-0.024728,-0.983999,0.044907,-0.172422,-0.018946,0.053909,-0.031435,0.64995,0.314758,-0.560996,0.404692,17.0,2.0,,30DBP,11,InclinePress
30.52,0.083155,-0.010402,0.023272,-0.984117,0.044825,-0.171768,-0.001799,0.062246,0.012603,0.649673,0.315065,-0.561115,0.404732,17.0,2.0,,30DBP,11,InclinePress
30.53,0.220629,-0.063993,0.017842,-0.984155,0.04489,-0.171536,-0.020743,0.034761,-0.019153,0.649279,0.31553,-0.560957,0.405222,17.0,2.0,,30DBP,11,InclinePress
30.54,0.157599,-0.064576,-0.041769,-0.984272,0.044361,-0.171,-0.035534,0.011838,-0.040166,0.648819,0.316367,-0.560725,0.405627,17.0,2.0,,30DBP,11,InclinePress
30.55,0.041439,-0.13085,-0.023873,-0.984448,0.043727,-0.170147,0.004223,0.015309,0.016888,0.648504,0.317004,-0.560745,0.405606,17.0,2.0,,30DBP,11,InclinePress
30.56,0.060221,-0.161626,0.014034,-0.984704,0.043458,-0.168732,0.037575,-9.2e-05,-0.000381,0.648063,0.317501,-0.561094,0.405439,17.0,2.0,,30DBP,11,InclinePress
30.57,0.097262,-0.158191,-0.002366,-0.984974,0.043268,-0.167194,0.029942,0.00553,-0.032193,0.64748,0.318126,-0.561426,0.405422,17.0,2.0,,30DBP,11,InclinePress
30.58,0.106053,-0.140504,-0.024507,-0.985227,0.043001,-0.16577,0.025845,0.047834,-0.00348,0.646924,0.318779,-0.56169,0.405431,17.0,2.0,,30DBP,11,InclinePress
30.59,0.207372,-0.090771,-0.0296,-0.985406,0.04258,-0.16481,0.014153,0.058891,0.020447,0.646419,0.319537,-0.561686,0.405644,17.0,2.0,,30DBP,11,InclinePress
30.6,0.168165,-0.099482,-0.060722,-0.985576,0.041932,-0.163959,-0.002797,0.036712,-0.017071,0.645886,0.320483,-0.561526,0.405968,17.0,2.0,,30DBP,11,InclinePress
30.61,0.027228,-0.123968,-0.077555,-0.985777,0.041148,-0.162942,0.005797,0.016851,0.012414,0.64557,0.321177,-0.561582,0.405846,17.0,2.0,,30DBP,11,InclinePress
30.62,-0.018446,-0.073037,-0.059645,-0.985953,0.040495,-0.162041,0.005713,-0.027037,0.07325,0.64546,0.321531,-0.561781,0.405466,17.0,2.0,,30DBP,11,InclinePress
30.63,0.069248,-0.05651,-0.077147,-0.986091,0.039814,-0.161365,-0.015251,-0.036121,0.032322,0.64535,0.321944,-0.561845,0.405224,17.0,2.0,,30DBP,11,InclinePress
30.64,0.025345,-0.03505,-0.080171,-0.98619,0.038925,-0.160976,0.006469,0.022004,-0.015736,0.645315,0.322425,-0.561743,0.405039,17.0,2.0,,30DBP,11,InclinePress
30.65,0.113793,-0.022791,-0.045337,-0.986226,0.038285,-0.160914,0.044041,0.074036,0.010768,0.645325,0.322764,-0.561575,0.404986,17.0,2.0,,30DBP,11,InclinePress
30.66,0.315728,-0.049149,-0.053011,-0.986292,0.037639,-0.160658,0.051234,0.055501,-0.031694,0.644924,0.323639,-0.561185,0.405466,17.0,2.0,,30DBP,11,InclinePress
30.67,0.246549,-0.040637,-0.066384,-0.986384,0.036811,-0.160285,0.040782,0.035317,-0.02218,0.644398,0.324766,-0.5607,0.406071,17.0,2.0,,30DBP,11,InclinePress
30.68,0.217117,-0.037244,-0.063074,-0.98646,0.035955,-0.160013,0.004603,0.02943,0.0393,0.644036,0.325701,-0.560279,0.406477,17.0,2.0,,30DBP,11,InclinePress
30.69,0.10343,0.007393,-0.056247,-0.986502,0.035159,-0.159927,-0.01629,-0.014544,0.059296,0.643819,0.326436,-0.559889,0.406769,17.0,2.0,,30DBP,11,InclinePress
30.7,-0.032745,-0.074944,-0.067587,-0.986606,0.03446,-0.15944,-0.018689,-0.018316,0.051897,0.643784,0.326792,-0.559899,0.406526,17.0,2.0,,30DBP,11,InclinePress
