secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.01,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.02,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.03,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.04,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.05,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.06,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.07,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.08,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.09,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.1,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.11,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.12,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.13,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.14,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.15,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.16,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.17,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.18,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.19,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.2,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.21,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.22,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.23,,,,,,,,,,,,,,17.0,2.0,,30DBP,11,Idle
0.24,-0.030793,-0.007394,-0.011134,0.126118,0.051774,-0.990663,-0.005726,-0.004929,0.013048,0.997663,-0.025947,0.063206,-0.0,17.0,2.0,,30DBP,11,Idle
0.25,-0.024694,-0.003741,-0.000876,0.12606,0.052063,-0.990656,-0.006462,-0.007767,0.012338,0.997661,-0.026091,0.063178,-2.1e-05,17.0,2.0,,30DBP,11,Idle
0.26,-0.025116,-0.002829,0.017298,0.126038,0.052296,-0.990646,-0.002655,-0.001621,0.010071,0.997659,-0.026211,0.063166,3.6e-05,17.0,2.0,,30DBP,11,Idle
0.27,-0.018487,-0.002793,0.032984,0.126022,0.052476,-0.990638,-0.000183,0.004302,0.010551,0.997657,-0.026311,0.063155,0.000175,17.0,2.0,,30DBP,11,Idle
