secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.01,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.02,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.03,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.04,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.05,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.06,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.07,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.08,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.09,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.1,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.11,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.12,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.13,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.14,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.15,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.16,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.17,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.18,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.19,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.2,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.21,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.22,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.23,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.24,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.25,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.26,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.27,,,,,,,,,,,,,,18.0,1.0,12.0,CGOCTE,38,Idle
0.28,-2.268395,0.971742,2.024002,0.708753,0.671336,-0.216743,-0.054608,0.199178,-0.03637,0.779908,-0.436574,0.448366,0.010748,18.0,1.0,12.0,CGOCTE,38,Idle
0.29,-2.46584,0.990533,2.00192,0.724232,0.66173,-0.193911,-0.065434,0.19003,-0.025572,0.772322,-0.441272,0.456425,0.021776,18.0,1.0,12.0,CGOCTE,38,Idle
0.3,-2.652584,0.964545,1.935716,0.738991,0.651945,-0.169881,-0.081246,0.161287,-0.023417,0.764098,-0.446714,0.464226,0.033089,18.0,1.0,12.0,CGOCTE,38,Idle
0.31,-2.698469,0.83815,1.849063,0.752689,0.642057,-0.145679,-0.086475,0.13579,-0.043317,0.755549,-0.45269,0.471415,0.044549,18.0,1.0,12.0,CGOCTE,38,Idle
0.32,-2.53661,0.680355,1.774782,0.765254,0.631848,-0.123105,-0.071559,0.139072,-0.08034,0.747283,-0.458478,0.47775,0.055863,18.0,1.0,12.0,CGOCTE,38,Idle
0.33,-2.230257,0.543617,1.744224,0.776967,0.620987,-0.103428,-0.041814,0.187988,-0.105938,0.739769,-0.46333,0.483334,0.066752,18.0,1.0,12.0,CGOCTE,38,Idle
0.34,-1.870374,0.477292,1.743777,0.788192,0.609279,-0.086788,-0.026519,0.261281,-0.116932,0.73312,-0.466847,0.488528,0.076998,18.0,1.0,12.0,CGOCTE,38,Idle
0.35,-1.499038,0.476324,1.743596,0.799116,0.596745,-0.072868,-0.038953,0.325084,-0.109764,0.727302,-0.468897,0.493661,0.08641,18.0,1.0,12.0,CGOCTE,38,Idle
0.36,-1.197437,0.523192,1.722693,0.809702,0.58367,-0.06093,-0.061868,0.358194,-0.106093,0.722125,-0.469681,0.498934,0.094869,18.0,1.0,12.0,CGOCTE,38,Idle
0.37,-1.025567,0.601568,1.684548,0.819869,0.570367,-0.049973,-0.091399,0.355186,-0.091903,0.717279,-0.469644,0.504428,0.102458,18.0,1.0,12.0,CGOCTE,38,Idle
0.38,-1.005962,0.66321,1.637373,0.829536,0.557088,-0.039032,-0.108848,0.319148,-0.072448,0.712413,-0.469369,0.510075,0.109474,18.0,1.0,12.0,CGOCTE,38,Idle
0.39,-1.055179,0.626821,1.581553,0.838639,0.543975,-0.027846,-0.106385,0.269623,-0.061967,0.707386,-0.469277,0.515612,0.116312,18.0,1.0,12.0,CGOCTE,38,Idle
0.4,-0.97139,0.463761,1.517288,0.847113,0.531118,-0.017683,-0.077841,0.235972,-0.074419,0.702619,-0.469206,0.52058,0.123159,18.0,1.0,12.0,CGOCTE,38,Idle
0.41,-0.79725,0.287211,1.467159,0.855002,0.518532,-0.009835,-0.015433,0.256034,-0.104423,0.698615,-0.468644,0.524839,0.129823,18.0,1.0,12.0,CGOCTE,38,Idle
0.42,-0.645728,0.180589,1.438743,0.862468,0.506094,-0.004177,0.036686,0.321833,-0.080326,0.695359,-0.467475,0.528563,0.136249,18.0,1.0,12.0,CGOCTE,38,Idle
0.43,-0.507135,0.135718,1.399714,0.869588,0.493778,6.5e-05,0.052516,0.384183,-0.059986,0.692606,-0.465813,0.532025,0.142355,18.0,1.0,12.0,CGOCTE,38,Idle
0.44,-0.383834,0.125469,1.317143,0.876245,0.481853,0.003377,0.037893,0.399372,-0.059651,0.690232,-0.463803,0.535327,0.147956,18.0,1.0,12.0,CGOCTE,38,Idle
0.45,-0.314337,0.158073,1.183758,0.882215,0.470805,0.006253,0.0058,0.371999,-0.066129,0.688114,-0.461729,0.538455,0.152881,18.0,1.0,12.0,CGOCTE,38,Idle
0.46,-0.309447,0.203049,1.038768,0.887386,0.460933,0.009303,-0.02586,0.32703,-0.069377,0.686049,-0.459926,0.541405,0.157118,18.0,1.0,12.0,CGOCTE,38,Idle
0.47,-0.402051,0.25059,0.899633,0.891792,0.45226,0.012939,-0.046852,0.276973,-0.056472,0.683851,-0.458672,0.544141,0.160866,18.0,1.0,12.0,CGOCTE,38,Idle
0.48,-0.595159,0.26443,0.761025,0.895487,0.444745,0.01748,-0.050638,0.237979,-0.039559,0.681332,-0.458301,0.546534,0.164459,18.0,1.0,12.0,CGOCTE,38,Idle
0.49,-0.865762,0.238643,0.614897,0.898483,0.438405,0.023011,-0.04039,0.200649,-0.01738,0.678379,-0.459107,0.548385,0.168215,18.0,1.0,12.0,CGOCTE,38,Idle
0.5,-1.04907,0.111834,0.460653,0.900776,0.433321,0.028894,-0.028721,0.169889,0.002448,0.675182,-0.461083,0.549408,0.172285,18.0,1.0,12.0,CGOCTE,38,Idle
0.51,-1.060228,-0.024899,0.309564,0.90241,0.429542,0.033903,-0.006109,0.168496,-0.030317,0.672263,-0.463656,0.549522,0.176385,18.0,1.0,12.0,CGOCTE,38,Idle
0.52,-0.988917,-0.144344,0.220048,0.903565,0.426807,0.037498,0.024536,0.220257,-0.038749,0.669883,-0.466309,0.548913,0.1803,18.0,1.0,12.0,CGOCTE,38,Idle
0.53,-0.850192,-0.163863,0.171224,0.904449,0.424702,0.040002,0.032502,0.290432,-0.035699,0.66798,-0.468727,0.547993,0.183851,18.0,1.0,12.0,CGOCTE,38,Idle
0.54,-0.644943,-0.129832,0.119197,0.905133,0.423066,0.041821,0.019916,0.330596,-0.032224,0.666494,-0.470689,0.54714,0.186749,18.0,1.0,12.0,CGOCTE,38,Idle
0.55,-0.435324,-0.085238,0.034519,0.905511,0.422127,0.043117,-0.004174,0.323387,-0.035228,0.665446,-0.472167,0.546458,0.18874,18.0,1.0,12.0,CGOCTE,38,Idle
0.56,-0.299092,-0.046967,-0.072084,0.905456,0.422148,0.044049,-0.02005,0.295519,-0.046704,0.664788,-0.473364,0.545849,0.18982,18.0,1.0,12.0,CGOCTE,38,Idle
0.57,-0.236462,-0.002493,-0.171796,0.904942,0.423151,0.044968,-0.022466,0.264059,-0.050461,0.664339,-0.474561,0.54523,0.190183,18.0,1.0,12.0,CGOCTE,38,Idle
0.58,-0.241266,0.021211,-0.245025,0.904047,0.424945,0.046057,-0.008249,0.219296,-0.019049,0.663951,-0.475927,0.544538,0.190106,18.0,1.0,12.0,CGOCTE,38,Idle
