secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
7.0,0.04933,0.4791,-0.282057,0.875352,0.479195,-0.064281,0.080016,-0.052498,-0.003331,0.236661,-0.674089,-0.116035,0.690023,4.0,2.0,15.0,SACLR,14,LateralRaise
7.01,0.088443,0.463901,-0.26057,0.874328,0.481547,-0.060517,0.068344,-0.077708,0.011353,0.238159,-0.675469,-0.116116,0.688141,4.0,2.0,15.0,SACLR,14,LateralRaise
7.02,0.013849,0.466006,-0.228143,0.873402,0.483689,-0.056695,0.040157,-0.094254,0.061517,0.239481,-0.676868,-0.116201,0.686292,4.0,2.0,15.0,SACLR,14,LateralRaise
7.03,-0.02633,0.484022,-0.171658,0.872682,0.48547,-0.052382,0.01956,-0.094601,0.082442,0.240373,-0.678426,-0.116393,0.684406,4.0,2.0,15.0,SACLR,14,LateralRaise
7.04,-0.049594,0.468742,-0.103195,0.872233,0.48673,-0.047998,0.011511,-0.117757,0.104685,0.241022,-0.680036,-0.116414,0.682574,4.0,2.0,15.0,SACLR,14,LateralRaise
7.05,-0.120568,0.415102,-0.02471,0.872104,0.487369,-0.043656,0.018735,-0.102894,0.12938,0.241204,-0.681629,-0.116421,0.680917,4.0,2.0,15.0,SACLR,14,LateralRaise
7.06,-0.178856,0.366937,0.07208,0.872373,0.487237,-0.039563,0.040133,-0.075967,0.126584,0.240887,-0.683142,-0.116343,0.679525,4.0,2.0,15.0,SACLR,14,LateralRaise
7.07,-0.249312,0.323933,0.212356,0.873193,0.48609,-0.035372,0.045005,-0.043096,0.134722,0.239814,-0.684693,-0.11623,0.678362,4.0,2.0,15.0,SACLR,14,LateralRaise
7.08,-0.264433,0.29127,0.294198,0.874545,0.483922,-0.031467,0.036618,-0.030461,0.151188,0.238276,-0.686188,-0.115812,0.677465,4.0,2.0,15.0,SACLR,14,LateralRaise
7.09,-0.438959,0.265527,0.297959,0.87606,0.481427,-0.027339,0.01336,0.011005,0.146862,0.236224,-0.687717,-0.115654,0.67666,4.0,2.0,15.0,SACLR,14,LateralRaise
7.1,-0.578463,0.269721,0.288156,0.877531,0.478991,-0.022538,0.004763,0.080458,0.140504,0.233614,-0.689389,-0.116078,0.675791,4.0,2.0,15.0,SACLR,14,LateralRaise
7.11,-0.618386,0.361171,0.248722,0.878901,0.476705,-0.016875,0.011571,0.128611,0.123946,0.230808,-0.69132,-0.116785,0.674659,4.0,2.0,15.0,SACLR,14,LateralRaise
