secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
14.0,-0.024964,0.092277,-0.045339,0.337968,-0.932059,-0.13055,0.009978,0.068,0.176449,0.745342,0.584978,0.30418,0.098694,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.01,-0.126125,0.12294,-0.065882,0.338633,-0.931772,-0.130878,0.018438,0.059213,0.182865,0.745422,0.584561,0.304712,0.098917,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.02,-0.198063,0.139813,-0.05524,0.339434,-0.931342,-0.131861,0.019514,0.059683,0.15008,0.7457,0.583812,0.305341,0.099305,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.03,-0.18665,0.155291,-0.030864,0.340083,-0.930945,-0.132981,0.024205,0.056602,0.128251,0.746002,0.583001,0.305973,0.099854,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.04,-0.174791,0.175778,-0.024377,0.340597,-0.930641,-0.133798,0.031611,0.052314,0.103021,0.746191,0.582299,0.30664,0.100488,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.05,-0.240347,0.190327,-0.049601,0.341278,-0.930258,-0.134723,0.038925,0.047079,0.069354,0.746411,0.581492,0.307417,0.101154,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.06,-0.284913,0.18358,-0.055917,0.34213,-0.929756,-0.13602,0.046603,0.021064,0.046024,0.74675,0.58049,0.308256,0.101854,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.07,-0.366361,0.140835,-0.045675,0.342941,-0.929164,-0.138006,0.048173,-0.02364,0.006689,0.747314,0.579255,0.308968,0.102589,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.08,-0.428349,0.087927,-0.016856,0.343503,-0.928509,-0.140982,0.035754,-0.042987,-0.036859,0.748199,0.577746,0.309385,0.103385,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.09,-0.40453,0.055207,0.001408,0.343748,-0.927902,-0.144347,0.013934,-0.065003,-0.079729,0.749213,0.57621,0.309531,0.104182,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.1,-0.368808,0.043501,0.016995,0.343796,-0.927372,-0.147597,-0.015458,-0.080532,-0.086671,0.750192,0.574794,0.309538,0.104932,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.11,-0.32605,0.020614,0.04287,0.343568,-0.926955,-0.150714,-0.031648,-0.071519,-0.090115,0.751126,0.573516,0.309391,0.105676,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.12,-0.239893,-0.026985,0.061907,0.34306,-0.926705,-0.153383,-0.013089,-0.049674,-0.098204,0.751923,0.572523,0.309073,0.106317,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.13,-0.128341,-0.096312,0.071648,0.342334,-0.926657,-0.155291,0.020428,-0.033976,-0.082975,0.752506,0.571974,0.308545,0.106674,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.14,0.007836,-0.161951,0.069654,0.341471,-0.926808,-0.156282,0.045507,-0.011333,-0.062071,0.752837,0.57193,0.307823,0.106665,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.15,0.130753,-0.204419,0.05133,0.340604,-0.927141,-0.156203,0.047595,-0.002928,-0.071764,0.752869,0.572413,0.306989,0.106253,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.16,0.166308,-0.209205,0.051234,0.339802,-0.927557,-0.155478,0.026455,0.01148,-0.062112,0.752719,0.573186,0.306136,0.105609,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.17,0.149898,-0.191077,0.058109,0.338972,-0.927993,-0.154681,-0.004637,0.034973,-0.034086,0.752539,0.573975,0.305307,0.105003,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.18,0.130068,-0.156511,0.041331,0.338241,-0.928376,-0.153981,-0.021301,0.048967,-0.001124,0.752379,0.574663,0.304584,0.104483,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.19,0.111346,-0.125796,0.01917,0.337752,-0.928661,-0.153338,-0.025847,0.05775,0.044466,0.752231,0.575234,0.304035,0.104008,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.2,0.134045,-0.118515,0.000706,0.337451,-0.928886,-0.152634,-0.020922,0.061775,0.051544,0.752065,0.57577,0.303599,0.103514,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.21,0.145473,-0.091371,-0.002914,0.337316,-0.929097,-0.151648,-0.021414,0.054112,0.028906,0.751811,0.576364,0.303283,0.102978,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.22,0.084666,-0.050476,-0.001558,0.337243,-0.929266,-0.15077,-0.030465,0.05271,0.056409,0.751574,0.576848,0.303086,0.102575,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.23,0.051219,-0.040081,-0.016387,0.337216,-0.929345,-0.150343,-0.039349,0.046777,0.083113,0.751464,0.577097,0.302966,0.10234,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.24,0.009315,-0.034371,-0.086913,0.337688,-0.929177,-0.150323,-0.045116,0.011346,0.036065,0.751507,0.577098,0.302979,0.101971,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.25,-0.06218,-0.012544,-0.123465,0.338695,-0.928735,-0.150786,-0.045848,-0.022116,0.044875,0.751721,0.576791,0.303182,0.101529,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.26,-0.083208,-0.016846,-0.112157,0.339772,-0.928215,-0.151564,-0.03983,-0.038719,0.070738,0.75203,0.576324,0.303428,0.10116,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.27,-0.018002,-0.019516,-0.127008,0.340814,-0.927753,-0.15205,-0.033365,-0.039944,0.037609,0.752247,0.575985,0.303671,0.100747,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.28,0.079988,0.018825,-0.169425,0.342177,-0.927323,-0.151615,-0.029296,-0.03186,0.015812,0.752184,0.575934,0.304125,0.100133,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.29,0.105794,0.057767,-0.203055,0.34397,-0.926848,-0.150456,-0.017615,-0.021852,0.03307,0.751897,0.576038,0.304881,0.099393,11.0,2.0,15.0,SAOCTE,32,TricepExt
14.3,0.121492,0.037357,-0.222287,0.345932,-0.926359,-0.148962,0.005753,-0.008837,0.032995,0.751507,0.576226,0.305749,0.098583,11.0,2.0,15.0,SAOCTE,32,TricepExt
