secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
8.0,-0.298383,-0.344264,0.230831,-0.977031,-0.193651,0.088936,0.014125,0.064058,0.072318,0.540352,0.548551,-0.493517,0.404415,7.0,1.0,16.0,SAODTE,34,TricepExt
8.01,-0.317091,-0.322627,0.231274,-0.977202,-0.191523,0.091628,-0.002779,0.042277,0.076814,0.539858,0.547802,-0.495708,0.40341,7.0,1.0,16.0,SAODTE,34,TricepExt
8.02,-0.35489,-0.283555,0.256357,-0.977378,-0.189482,0.09396,-0.01159,0.033171,0.072864,0.539534,0.546914,-0.49786,0.402397,7.0,1.0,16.0,SAODTE,34,TricepExt
8.03,-0.372681,-0.251081,0.241414,-0.977612,-0.187316,0.095852,-0.015781,0.034209,0.058368,0.539359,0.545815,-0.500012,0.401455,7.0,1.0,16.0,SAODTE,34,TricepExt
8.04,-0.461299,-0.19627,0.211137,-0.977817,-0.185513,0.097253,-0.01939,0.038449,0.062308,0.539478,0.544581,-0.502054,0.400421,7.0,1.0,16.0,SAODTE,34,TricepExt
8.05,-0.478265,-0.157409,0.225544,-0.97805,-0.183836,0.098092,-0.026421,0.014631,0.059927,0.539899,0.543089,-0.504084,0.399328,7.0,1.0,16.0,SAODTE,34,TricepExt
8.06,-0.485389,-0.114409,0.203176,-0.978313,-0.182194,0.098531,-0.050831,0.01627,0.040812,0.540438,0.541504,-0.506003,0.398322,7.0,1.0,16.0,SAODTE,34,TricepExt
8.07,-0.454935,-0.043838,0.194399,-0.978593,-0.180729,0.09845,-0.051985,0.016026,0.027863,0.541118,0.539889,-0.507686,0.397449,7.0,1.0,16.0,SAODTE,34,TricepExt
8.08,-0.400956,-0.033227,0.177392,-0.978897,-0.179314,0.098016,-0.021179,0.008935,-0.004084,0.541817,0.538316,-0.509141,0.39677,7.0,1.0,16.0,SAODTE,34,TricepExt
8.09,-0.35956,-0.066287,0.154709,-0.979147,-0.178073,0.097782,0.010473,-0.003431,-0.017979,0.542397,0.536955,-0.510461,0.396125,7.0,1.0,16.0,SAODTE,34,TricepExt
8.1,-0.360949,-0.099895,0.140773,-0.979324,-0.176978,0.097998,-0.002015,-0.005288,-0.009787,0.542836,0.535788,-0.511791,0.395387,7.0,1.0,16.0,SAODTE,34,TricepExt
8.11,-0.38003,-0.100616,0.125302,-0.979466,-0.176019,0.098308,-0.03175,-0.00614,-0.000682,0.543315,0.534621,-0.513161,0.394532,7.0,1.0,16.0,SAODTE,34,TricepExt
8.12,-0.342696,-0.111833,0.104396,-0.979561,-0.175273,0.098691,-0.030006,-0.017522,-0.018827,0.543785,0.533563,-0.514448,0.39364,7.0,1.0,16.0,SAODTE,34,TricepExt
8.13,-0.340494,-0.126108,0.121818,-0.979643,-0.174488,0.099269,-0.008791,-0.006176,-0.03059,0.544162,0.532573,-0.515753,0.39275,7.0,1.0,16.0,SAODTE,34,TricepExt
8.14,-0.330787,-0.178285,0.139035,-0.979727,-0.173513,0.100139,0.002295,0.011907,-0.031261,0.544412,0.531602,-0.517174,0.39185,7.0,1.0,16.0,SAODTE,34,TricepExt
8.15,-0.289009,-0.214257,0.151918,-0.979775,-0.172385,0.101607,-0.028739,0.014426,-0.018965,0.544422,0.530772,-0.518733,0.390898,7.0,1.0,16.0,SAODTE,34,TricepExt
8.16,-0.232086,-0.176073,0.160764,-0.979846,-0.171105,0.103073,-0.057232,0.011407,-0.023788,0.544306,0.530023,-0.520204,0.390121,7.0,1.0,16.0,SAODTE,34,TricepExt
8.17,-0.132086,-0.179725,0.154852,-0.979937,-0.169734,0.104469,-0.041547,0.010645,-0.045661,0.544026,0.529451,-0.521456,0.389617,7.0,1.0,16.0,SAODTE,34,TricepExt
8.18,-0.094841,-0.142221,0.155097,-0.980013,-0.168335,0.106006,-0.035123,0.023254,-0.024921,0.543555,0.529093,-0.522555,0.389287,7.0,1.0,16.0,SAODTE,34,TricepExt
8.19,0.002943,-0.08874,0.199134,-0.980215,-0.166588,0.106896,-0.063806,0.031502,-0.023476,0.543084,0.528652,-0.523426,0.389374,7.0,1.0,16.0,SAODTE,34,TricepExt
