secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.01,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.02,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.03,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.04,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.05,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.06,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.07,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.08,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.09,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.1,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.11,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.12,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.13,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.14,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.15,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.16,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.17,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.18,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.19,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.2,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.21,,,,,,,,,,,,,,7.0,2.0,16.0,SAODTE,34,Idle
0.22,-0.075873,-0.021269,0.029189,0.077784,-0.109721,-0.990914,0.005743,-0.015645,0.002694,0.997726,0.054986,0.038981,-0.0,7.0,2.0,16.0,SAODTE,34,Idle
0.23,-0.095342,-0.033641,0.034375,0.077514,-0.109169,-0.990996,0.00702,-0.013497,0.001479,0.997747,0.054701,0.038853,0.000164,7.0,2.0,16.0,SAODTE,34,Idle
0.24,-0.111085,-0.044925,0.051762,0.07703,-0.108354,-0.991123,0.006512,-0.013609,0.003971,0.997778,0.054283,0.038622,0.000392,7.0,2.0,16.0,SAODTE,34,Idle
0.25,-0.1278,-0.053776,0.078433,0.076335,-0.107287,-0.991293,0.003896,-0.011747,0.002905,0.997821,0.053732,0.038291,0.000736,7.0,2.0,16.0,SAODTE,34,Idle
0.26,-0.130928,-0.053061,0.099647,0.075548,-0.106067,-0.991485,0.000547,-0.008084,0.005538,0.997868,0.053101,0.037919,0.001202,7.0,2.0,16.0,SAODTE,34,Idle
0.27,-0.106984,-0.054275,0.101494,0.074602,-0.104887,-0.991682,0.001142,-0.007006,0.004484,0.997917,0.052488,0.03747,0.001734,7.0,2.0,16.0,SAODTE,34,Idle
