secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
14.0,0.141591,0.042048,0.090976,0.818365,-0.022538,-0.574257,0.048441,0.048523,-0.026649,0.485687,-0.379005,0.26311,0.742453,15.0,1.0,10.0,MGTBR,5,CableRow
14.01,0.106108,0.039032,0.082002,0.81866,-0.024073,-0.573774,0.034917,-0.015676,0.003569,0.485538,-0.378755,0.263927,0.742388,15.0,1.0,10.0,MGTBR,5,CableRow
14.02,-0.006663,0.004434,0.064336,0.81886,-0.024969,-0.57345,0.035236,-0.030527,0.007502,0.485299,-0.378679,0.264343,0.742435,15.0,1.0,10.0,MGTBR,5,CableRow
14.03,-0.052916,0.006524,0.044623,0.818937,-0.025422,-0.573321,0.022891,-0.053939,0.007998,0.48497,-0.378702,0.264433,0.742607,15.0,1.0,10.0,MGTBR,5,CableRow
14.04,-0.165427,0.007578,-0.01145,0.81903,-0.025062,-0.573203,0.007066,-0.063546,0.009238,0.484655,-0.378976,0.26415,0.742773,15.0,1.0,10.0,MGTBR,5,CableRow
14.05,-0.170395,0.002556,-0.023368,0.819022,-0.023968,-0.573261,0.009607,-0.062411,0.011585,0.484388,-0.3794,0.263486,0.742966,15.0,1.0,10.0,MGTBR,5,CableRow
14.06,-0.173261,-0.008348,-0.017706,0.818901,-0.022753,-0.573484,0.030098,-0.033658,0.019437,0.484178,-0.379777,0.262731,0.743178,15.0,1.0,10.0,MGTBR,5,CableRow
14.07,-0.084758,-0.004612,0.004415,0.818778,-0.021599,-0.573703,0.052819,0.051613,0.003589,0.484019,-0.380116,0.262031,0.743356,15.0,1.0,10.0,MGTBR,5,CableRow
14.08,-0.014913,0.017815,0.038201,0.818816,-0.021387,-0.573657,0.044603,0.043269,0.001468,0.483876,-0.380252,0.261878,0.743433,15.0,1.0,10.0,MGTBR,5,CableRow
14.09,-0.060712,0.001931,0.016773,0.818913,-0.021435,-0.573517,0.018367,0.025768,-0.002197,0.483674,-0.380364,0.261849,0.743517,15.0,1.0,10.0,MGTBR,5,CableRow
14.1,-0.127873,-0.014609,-0.014198,0.818923,-0.020998,-0.573519,0.014711,-0.003187,-0.011533,0.48348,-0.38057,0.261546,0.743644,15.0,1.0,10.0,MGTBR,5,CableRow
14.11,-0.212109,-0.007138,-0.02268,0.81888,-0.020106,-0.573612,0.002058,-0.033147,-0.020214,0.483184,-0.380922,0.260945,0.743868,15.0,1.0,10.0,MGTBR,5,CableRow
14.12,-0.234973,-0.004246,-0.036983,0.818859,-0.018773,-0.573688,-0.016475,-0.03413,-0.009258,0.482827,-0.381441,0.260112,0.744125,15.0,1.0,10.0,MGTBR,5,CableRow
14.13,-0.268986,0.008763,-0.032843,0.818928,-0.017325,-0.573635,-0.002445,-0.024759,-0.001194,0.48243,-0.38206,0.259254,0.744364,15.0,1.0,10.0,MGTBR,5,CableRow
14.14,-0.249679,-0.017002,-0.035707,0.81897,-0.015631,-0.573623,0.021163,-0.009469,0.015106,0.482007,-0.382747,0.258251,0.744635,15.0,1.0,10.0,MGTBR,5,CableRow
14.15,-0.200542,-0.052434,-0.020144,0.818865,-0.013914,-0.573817,0.066404,0.000715,0.006495,0.481774,-0.38329,0.257255,0.744851,15.0,1.0,10.0,MGTBR,5,CableRow
14.16,-0.176897,-0.052693,0.019271,0.818617,-0.012625,-0.574201,0.077013,0.062475,-0.000552,0.481494,-0.383638,0.256363,0.74516,15.0,1.0,10.0,MGTBR,5,CableRow
14.17,-0.10743,-0.049422,-0.002614,0.81833,-0.011856,-0.574626,0.032439,0.033126,0.015956,0.481252,-0.38379,0.255719,0.745459,15.0,1.0,10.0,MGTBR,5,CableRow
14.18,-0.156662,-0.039326,-0.060713,0.818081,-0.010975,-0.574998,0.010715,-0.032054,-0.026824,0.481176,-0.383942,0.255127,0.745633,15.0,1.0,10.0,MGTBR,5,CableRow
14.19,-0.310724,-0.021631,-0.113823,0.817878,-0.009083,-0.57532,0.032143,-0.038036,-0.025022,0.48107,-0.384437,0.254063,0.745809,15.0,1.0,10.0,MGTBR,5,CableRow
14.2,-0.352446,-0.047503,-0.144702,0.81764,-0.006236,-0.575695,0.064775,-0.04067,0.030774,0.480913,-0.385221,0.252502,0.746036,15.0,1.0,10.0,MGTBR,5,CableRow
