secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.01,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.02,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.03,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.04,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.05,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.06,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.07,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.08,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.09,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.1,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.11,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.12,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.13,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.14,,,,,,,,,,,,,,15.0,1.0,10.0,MGTBR,5,Idle
0.15,-0.069496,-0.058952,0.042838,0.307663,-0.097196,-0.946518,0.020782,0.002897,0.033478,0.986539,0.049233,0.15594,0.00018,15.0,1.0,10.0,MGTBR,5,Idle
0.16,-0.127475,-0.06887,0.073607,0.307109,-0.096547,-0.946764,0.019032,-0.002391,0.037646,0.986601,0.048845,0.155666,0.000533,15.0,1.0,10.0,MGTBR,5,Idle
0.17,-0.183802,-0.072395,0.093186,0.306498,-0.095298,-0.947089,0.021658,-0.015649,0.033896,0.986683,0.048128,0.155368,0.001038,15.0,1.0,10.0,MGTBR,5,Idle
0.18,-0.212272,-0.076437,0.102291,0.305876,-0.093734,-0.947446,0.024828,-0.016892,0.028836,0.986773,0.047235,0.155067,0.001658,15.0,1.0,10.0,MGTBR,5,Idle
0.19,-0.234101,-0.08466,0.100878,0.305206,-0.091955,-0.947836,0.024842,-0.001124,0.031622,0.98687,0.046225,0.154742,0.002319,15.0,1.0,10.0,MGTBR,5,Idle
0.2,-0.209166,-0.077902,0.09125,0.304524,-0.090111,-0.948233,0.025585,0.000725,0.031363,0.986969,0.04519,0.154407,0.002942,15.0,1.0,10.0,MGTBR,5,Idle
0.21,-0.168106,-0.072188,0.082171,0.30392,-0.088565,-0.948572,0.026784,0.007892,0.025339,0.987053,0.044318,0.15411,0.003493,15.0,1.0,10.0,MGTBR,5,Idle
0.22,-0.155464,-0.070117,0.07383,0.303358,-0.087295,-0.94887,0.02083,0.022064,0.031603,0.987127,0.043596,0.153833,0.003985,15.0,1.0,10.0,MGTBR,5,Idle
0.23,-0.139302,-0.057808,0.073183,0.302857,-0.086173,-0.949132,0.020172,0.012107,0.036641,0.987191,0.042954,0.153587,0.004447,15.0,1.0,10.0,MGTBR,5,Idle
0.24,-0.140867,-0.049786,0.085486,0.302425,-0.085156,-0.949362,0.020359,0.008512,0.038107,0.987247,0.042361,0.153378,0.004935,15.0,1.0,10.0,MGTBR,5,Idle
0.25,-0.161378,-0.040544,0.091021,0.302063,-0.08412,-0.949569,0.014206,-0.000917,0.039413,0.987297,0.04175,0.153207,0.005487,15.0,1.0,10.0,MGTBR,5,Idle
0.26,-0.200504,-0.035812,0.100817,0.301728,-0.082807,-0.949791,0.011977,-0.017092,0.037239,0.987349,0.040988,0.153051,0.006105,15.0,1.0,10.0,MGTBR,5,Idle
0.27,-0.243709,-0.032428,0.106164,0.301451,-0.08105,-0.950031,0.012926,-0.028707,0.032764,0.987405,0.03999,0.152923,0.006789,15.0,1.0,10.0,MGTBR,5,Idle
0.28,-0.291082,-0.033966,0.107654,0.301182,-0.078878,-0.950299,0.013149,-0.033229,0.028408,0.987468,0.038776,0.152797,0.007518,15.0,1.0,10.0,MGTBR,5,Idle
0.29,-0.337217,-0.037543,0.101642,0.300891,-0.076216,-0.950608,0.014599,-0.040163,0.024628,0.98754,0.03731,0.152656,0.008269,15.0,1.0,10.0,MGTBR,5,Idle
0.3,-0.360737,-0.044878,0.09978,0.300547,-0.073131,-0.950959,0.01264,-0.048878,0.017442,0.987623,0.035632,0.152482,0.009016,15.0,1.0,10.0,MGTBR,5,Idle
0.31,-0.362066,-0.050722,0.102025,0.300167,-0.069996,-0.951315,0.016926,-0.046978,0.013464,0.987705,0.033926,0.152287,0.009775,15.0,1.0,10.0,MGTBR,5,Idle
0.32,-0.369465,-0.057709,0.120264,0.299718,-0.066886,-0.95168,0.020304,-0.042427,0.017018,0.987789,0.032226,0.152057,0.010594,15.0,1.0,10.0,MGTBR,5,Idle
0.33,-0.370858,-0.063308,0.142136,0.2992,-0.063842,-0.952052,0.03332,-0.062043,0.018321,0.987873,0.030543,0.151792,0.011519,15.0,1.0,10.0,MGTBR,5,Idle
