secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
8.0,0.14068,0.000129,-0.007258,0.183822,0.960915,-0.207009,0.080063,0.019722,0.00892,0.4443,-0.450765,-0.439667,0.637262,45.0,2.0,12.0,NGCR,3,CableRow
8.01,0.17216,0.010049,-0.01128,0.183845,0.960595,-0.208469,0.052148,0.045341,0.009953,0.444674,-0.450459,-0.439149,0.637574,45.0,2.0,12.0,NGCR,3,CableRow
8.02,0.145672,-0.009788,0.015448,0.183934,0.96025,-0.209975,0.045833,0.017702,0.005432,0.445012,-0.45014,-0.438618,0.637928,45.0,2.0,12.0,NGCR,3,CableRow
8.03,0.152747,-0.006044,0.001085,0.18398,0.959942,-0.211336,0.061626,0.022495,-0.001463,0.445276,-0.449808,-0.438183,0.638277,45.0,2.0,12.0,NGCR,3,CableRow
8.04,0.186012,0.004954,-0.00219,0.183958,0.95961,-0.212855,0.056459,0.024398,-0.001714,0.445653,-0.44946,-0.437673,0.638609,45.0,2.0,12.0,NGCR,3,CableRow
8.05,0.162099,-0.001212,-0.009596,0.184114,0.959221,-0.214468,0.065978,0.018409,-0.029306,0.446007,-0.44914,-0.43708,0.638993,45.0,2.0,12.0,NGCR,3,CableRow
8.06,0.122842,-0.011652,0.004118,0.184266,0.958914,-0.215711,0.077697,0.003916,-0.029085,0.446252,-0.448889,-0.436627,0.639308,45.0,2.0,12.0,NGCR,3,CableRow
8.07,0.11738,-0.029311,0.030204,0.184616,0.958602,-0.216795,0.074875,-0.026991,-0.044542,0.446332,-0.448678,-0.436223,0.639676,45.0,2.0,12.0,NGCR,3,CableRow
8.08,0.108757,-0.040053,0.028538,0.185044,0.958268,-0.217901,0.064803,-0.029557,-0.062067,0.446343,-0.448446,-0.435827,0.640101,45.0,2.0,12.0,NGCR,3,CableRow
8.09,0.13023,-0.028511,0.035793,0.185375,0.957953,-0.219005,0.038319,-0.009085,-0.047276,0.446398,-0.448201,-0.435446,0.640493,45.0,2.0,12.0,NGCR,3,CableRow
