secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
12.0,0.108136,-0.098266,0.194122,0.182598,0.943682,-0.275904,0.068134,0.014738,-0.06043,0.520533,-0.471693,-0.373568,0.605804,52.0,1.0,15.0,CGCR,2,CableRow
12.01,0.034775,-0.101528,0.174712,0.18369,0.943312,-0.276443,0.020945,0.028612,-0.076463,0.519955,-0.471539,-0.373403,0.606521,52.0,1.0,15.0,CGCR,2,CableRow
12.02,-0.050155,-0.059368,0.06636,0.18457,0.943173,-0.276333,-0.033492,0.071827,-0.06371,0.51939,-0.471586,-0.373417,0.60696,52.0,1.0,15.0,CGCR,2,CableRow
12.03,-0.037182,-0.021577,-0.024776,0.18451,0.943338,-0.275806,-0.044893,0.086462,-0.054059,0.519151,-0.471641,-0.3737,0.606948,52.0,1.0,15.0,CGCR,2,CableRow
12.04,0.026314,0.030968,-0.043552,0.183815,0.943499,-0.275722,-0.018486,0.066313,-0.047139,0.51934,-0.471519,-0.373911,0.606751,52.0,1.0,15.0,CGCR,2,CableRow
12.05,0.008911,0.016779,-0.019683,0.183304,0.943538,-0.275927,0.020141,0.048298,-0.025526,0.519609,-0.471394,-0.373931,0.606605,52.0,1.0,15.0,CGCR,2,CableRow
12.06,0.010224,-0.0089,0.011524,0.183484,0.943404,-0.276267,0.0423,0.018373,-0.014688,0.51965,-0.471344,-0.373766,0.60671,52.0,1.0,15.0,CGCR,2,CableRow
12.07,0.047133,0.011423,0.064793,0.184468,0.943023,-0.276909,0.037562,0.009613,-0.010445,0.519533,-0.471386,-0.373283,0.607075,52.0,1.0,15.0,CGCR,2,CableRow
12.08,0.106444,-0.000863,0.067829,0.18584,0.942361,-0.278243,0.02496,0.023841,-0.009615,0.519481,-0.471325,-0.372467,0.607669,52.0,1.0,15.0,CGCR,2,CableRow
12.09,0.103725,-0.013328,0.053569,0.186507,0.941672,-0.280122,0.00966,0.0066,0.002442,0.519669,-0.470898,-0.371745,0.608281,52.0,1.0,15.0,CGCR,2,CableRow
12.1,0.070512,0.002223,0.062791,0.18639,0.941298,-0.281456,0.000256,-0.01924,-0.004463,0.519933,-0.470441,-0.371427,0.608603,52.0,1.0,15.0,CGCR,2,CableRow
12.11,-0.00136,-0.011386,0.028084,0.186092,0.941167,-0.282089,-0.005642,-0.008001,-0.002335,0.520091,-0.470149,-0.37137,0.608728,52.0,1.0,15.0,CGCR,2,CableRow
12.12,-0.048061,-0.021309,-0.015527,0.185674,0.94124,-0.282121,-0.001607,-0.001207,0.003923,0.520129,-0.469993,-0.371546,0.608709,52.0,1.0,15.0,CGCR,2,CableRow
12.13,-0.036042,-0.019633,0.008814,0.18567,0.941345,-0.281773,0.010451,-0.009399,0.001041,0.519993,-0.470057,-0.371698,0.608682,52.0,1.0,15.0,CGCR,2,CableRow
12.14,-0.036782,-0.033533,0.024714,0.186207,0.941317,-0.281514,0.012615,-0.02289,0.015324,0.519701,-0.470202,-0.371689,0.608825,52.0,1.0,15.0,CGCR,2,CableRow
12.15,-0.028576,-0.018801,0.024832,0.186837,0.941265,-0.281268,0.001655,-0.039318,0.027285,0.519385,-0.470363,-0.371651,0.608993,52.0,1.0,15.0,CGCR,2,CableRow
12.16,0.015441,-0.007953,0.052233,0.18741,0.941175,-0.281189,-0.002611,-0.043348,0.021134,0.519162,-0.470487,-0.371547,0.609151,52.0,1.0,15.0,CGCR,2,CableRow
12.17,0.067096,-0.016029,0.07709,0.18807,0.940948,-0.281507,-0.00556,-0.042953,0.02519,0.519005,-0.470516,-0.371297,0.609416,52.0,1.0,15.0,CGCR,2,CableRow
12.18,0.122369,0.010085,0.09606,0.188902,0.940463,-0.282569,-0.01222,-0.039966,0.019248,0.518963,-0.470364,-0.370774,0.609887,52.0,1.0,15.0,CGCR,2,CableRow
12.19,0.136921,0.049775,0.084787,0.189732,0.939926,-0.283796,-0.019719,-0.022675,0.020261,0.519095,-0.470247,-0.370095,0.610277,52.0,1.0,15.0,CGCR,2,CableRow
12.2,0.133946,-0.002162,0.065936,0.19036,0.939475,-0.284869,-0.003745,-0.026435,0.023165,0.519253,-0.47013,-0.369518,0.610583,52.0,1.0,15.0,CGCR,2,CableRow
12.21,0.141395,-0.062745,0.091168,0.191204,0.9389,-0.286194,0.017154,-0.04031,0.004318,0.519213,-0.469871,-0.36895,0.611158,52.0,1.0,15.0,CGCR,2,CableRow
12.22,0.049884,-0.062388,0.070965,0.192068,0.93849,-0.286961,0.010157,-0.034071,0.014195,0.518953,-0.469725,-0.368616,0.611694,52.0,1.0,15.0,CGCR,2,CableRow
12.23,-0.026595,-0.051042,0.027407,0.192426,0.938468,-0.286794,-0.010571,-0.047995,0.01592,0.518635,-0.469746,-0.368703,0.611894,52.0,1.0,15.0,CGCR,2,CableRow
12.24,-0.024383,-0.037756,0.04631,0.192616,0.938541,-0.286428,-0.002522,-0.064471,0.006948,0.518344,-0.469802,-0.36888,0.611992,52.0,1.0,15.0,CGCR,2,CableRow
12.25,0.022764,-0.006541,0.082344,0.193196,0.938476,-0.286247,0.012218,-0.030792,0.005348,0.518048,-0.469929,-0.368841,0.612168,52.0,1.0,15.0,CGCR,2,CableRow
12.26,0.073622,-0.003643,0.083797,0.193869,0.938232,-0.286594,0.015176,-0.001861,0.009708,0.517905,-0.469959,-0.368567,0.612431,52.0,1.0,15.0,CGCR,2,CableRow
12.27,0.123326,0.033164,0.090567,0.194535,0.93785,-0.287392,0.013564,-0.007125,0.009682,0.517913,-0.469885,-0.36812,0.61275,52.0,1.0,15.0,CGCR,2,CableRow
12.28,0.102931,0.080857,0.081354,0.195493,0.937411,-0.288173,0.015536,-0.012484,0.012706,0.518006,-0.469983,-0.367464,0.61299,52.0,1.0,15.0,CGCR,2,CableRow
