secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,-0.000149,-0.039282,0.048567,0.184053,-0.081516,-0.97953,0.011321,-0.011105,0.010857,0.994869,0.04094,0.092513,0.000301,7.0,1.0,11.0,IDBC,36,Idle
0.01,-0.074713,-0.056091,0.058156,0.183545,-0.081239,-0.979649,0.011218,-0.020507,0.011921,0.994899,0.040774,0.092267,0.000575,7.0,1.0,11.0,IDBC,36,Idle
0.02,-0.109207,-0.058646,0.064671,0.18292,-0.080422,-0.979833,0.012636,-0.020515,0.015401,0.994945,0.040331,0.091962,0.000914,7.0,1.0,11.0,IDBC,36,Idle
0.03,-0.106163,-0.061258,0.072537,0.182258,-0.079468,-0.980034,0.005013,-0.00743,0.017815,0.994995,0.039814,0.091639,0.001298,7.0,1.0,11.0,IDBC,36,Idle
0.04,-0.093331,-0.044773,0.087434,0.181676,-0.078631,-0.98021,0.002757,0.00194,0.023056,0.995039,0.039352,0.09136,0.00174,7.0,1.0,11.0,IDBC,36,Idle
0.05,-0.087171,-0.036282,0.087577,0.181211,-0.077905,-0.980354,0.002169,0.007562,0.030845,0.995074,0.038942,0.091141,0.002218,7.0,1.0,11.0,IDBC,36,Idle
0.06,-0.070102,-0.036288,0.068342,0.180793,-0.07726,-0.980482,0.002359,0.006734,0.031095,0.995105,0.038579,0.090943,0.002639,7.0,1.0,11.0,IDBC,36,Idle
0.07,-0.021063,-0.010705,0.044714,0.180497,-0.076902,-0.980565,-0.004655,0.017591,0.031102,0.995125,0.038371,0.090804,0.002936,7.0,1.0,11.0,IDBC,36,Idle
0.08,0.029794,0.019996,0.041399,0.180517,-0.077042,-0.98055,-0.013342,0.028199,0.033162,0.995121,0.038423,0.090823,0.003143,7.0,1.0,11.0,IDBC,36,Idle
0.09,0.03253,0.024616,0.057424,0.180701,-0.077496,-0.98048,-0.010367,0.016797,0.025692,0.995102,0.03863,0.090926,0.003378,7.0,1.0,11.0,IDBC,36,Idle
0.1,-0.023798,0.009978,0.062509,0.180841,-0.077676,-0.98044,0.002203,-0.004203,0.016939,0.995091,0.038692,0.09101,0.003689,7.0,1.0,11.0,IDBC,36,Idle
0.11,-0.096096,-0.006153,0.043344,0.180807,-0.077168,-0.980487,0.00567,-0.019466,0.014895,0.995102,0.038409,0.091002,0.003986,7.0,1.0,11.0,IDBC,36,Idle
0.12,-0.117216,-0.015904,0.025098,0.180658,-0.076144,-0.980594,-0.000513,-0.01637,0.012561,0.995128,0.037875,0.090931,0.004193,7.0,1.0,11.0,IDBC,36,Idle
0.13,-0.093589,-0.001741,0.025303,0.180548,-0.075135,-0.980692,-0.006385,-0.00038,0.013529,0.995152,0.037353,0.090878,0.004359,7.0,1.0,11.0,IDBC,36,Idle
0.14,-0.071174,0.0055,0.032818,0.188383,-0.072526,-0.979414,-0.012907,0.006989,0.012343,0.994831,0.03604,0.094837,0.004311,7.0,1.0,11.0,IDBC,36,Idle
0.15,-0.0695,-0.002724,0.04593,0.185094,-0.066603,-0.980461,-0.001608,-0.002855,0.008461,0.995094,0.033058,0.093148,0.004351,7.0,1.0,11.0,IDBC,36,Idle
0.16,-0.070566,-0.010444,0.059079,0.181182,-0.060862,-0.981565,0.006852,-0.009984,0.007794,0.99537,0.030163,0.091148,0.004472,7.0,1.0,11.0,IDBC,36,Idle
0.17,-0.073545,-0.021235,0.058184,0.1795,-0.060743,-0.981881,0.010289,-0.015932,0.006478,0.995448,0.030071,0.090307,0.004838,7.0,1.0,11.0,IDBC,36,Idle
0.18,-0.060892,-0.028914,0.059725,0.180607,-0.064939,-0.981409,0.007564,-0.005693,0.002985,0.995327,0.032134,0.0909,0.005347,7.0,1.0,11.0,IDBC,36,Idle
0.19,-0.057358,-0.038859,0.069784,0.181769,-0.070505,-0.98081,0.005594,-0.004812,0.004065,0.995173,0.034877,0.091533,0.005942,7.0,1.0,11.0,IDBC,36,Idle
0.2,-0.057609,-0.041897,0.065999,0.181429,-0.073791,-0.980632,0.00305,-0.00293,0.013026,0.995125,0.036483,0.091396,0.006462,7.0,1.0,11.0,IDBC,36,Idle
0.21,-0.049378,-0.04155,0.059895,0.180281,-0.073844,-0.980839,0.003175,-0.006401,0.014775,0.995175,0.036479,0.090828,0.006823,7.0,1.0,11.0,IDBC,36,Idle
0.22,-0.04621,-0.040946,0.074693,0.179556,-0.072518,-0.981071,-0.001166,-0.01078,0.01757,0.995231,0.035785,0.090465,0.007129,7.0,1.0,11.0,IDBC,36,Idle
0.23,-0.06585,-0.043173,0.095654,0.179849,-0.071843,-0.981067,-0.003778,-0.022242,0.017643,0.995227,0.035407,0.090624,0.007541,7.0,1.0,11.0,IDBC,36,Idle
0.24,-0.115741,-0.060824,0.101378,0.180556,-0.071107,-0.980991,0.005067,-0.0316,0.013126,0.995204,0.03499,0.090996,0.00804,7.0,1.0,11.0,IDBC,36,Idle
0.25,-0.177091,-0.09333,0.096421,0.181136,-0.070724,-0.980912,0.011582,-0.043106,0.008301,0.995179,0.034744,0.091307,0.008608,7.0,1.0,11.0,IDBC,36,Idle
0.26,-0.216558,-0.128062,0.083138,0.180913,-0.06902,-0.981074,0.024501,-0.051921,0.004435,0.995216,0.033841,0.091201,0.009115,7.0,1.0,11.0,IDBC,36,Idle
0.27,-0.232789,-0.143131,0.0691,0.18035,-0.06774,-0.981267,0.033684,-0.045312,0.013234,0.99526,0.033155,0.090924,0.009594,7.0,1.0,11.0,IDBC,36,Idle
0.28,-0.243218,-0.166713,0.057841,0.179494,-0.066589,-0.981503,0.043116,-0.053407,0.031063,0.995314,0.03254,0.090497,0.010025,7.0,1.0,11.0,IDBC,36,Idle
0.29,-0.28186,-0.199017,0.032979,0.178204,-0.065278,-0.981826,0.067554,-0.076308,0.041427,0.995392,0.031853,0.089847,0.010389,7.0,1.0,11.0,IDBC,36,Idle
0.3,-0.35792,-0.224894,0.013903,0.17624,-0.063251,-0.982313,0.087951,-0.090756,0.061552,0.995512,0.030819,0.088846,0.010638,7.0,1.0,11.0,IDBC,36,Idle
