secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
10.0,-0.446762,-0.056924,0.053337,-0.994989,0.06787,0.07342,-0.038657,-0.111205,0.046117,0.575203,-0.432912,-0.591014,-0.363912,7.0,2.0,11.0,PREC,29,BicepCurl
10.01,-0.405991,-0.056575,0.100895,-0.994903,0.068193,0.074284,-0.073319,-0.145204,0.015392,0.574201,-0.434469,-0.590236,-0.364898,7.0,2.0,11.0,PREC,29,BicepCurl
10.02,-0.293614,-0.127965,0.212398,-0.994733,0.069512,0.075326,-0.100482,-0.167321,-0.083291,0.573495,-0.436085,-0.589485,-0.365296,7.0,2.0,11.0,PREC,29,BicepCurl
10.03,-0.23327,-0.201911,0.217464,-0.99445,0.071502,0.077187,-0.060406,-0.097503,-0.159218,0.572823,-0.437799,-0.589003,-0.365076,7.0,2.0,11.0,PREC,29,BicepCurl
10.04,-0.148479,-0.196036,0.207931,-0.994145,0.07342,0.079278,-0.037685,-0.016429,-0.136498,0.572198,-0.439328,-0.588752,-0.364623,7.0,2.0,11.0,PREC,29,BicepCurl
10.05,-0.013813,-0.2412,0.221043,-0.993815,0.07546,0.081468,-0.032796,-0.026876,-0.205065,0.571773,-0.440577,-0.588749,-0.363788,7.0,2.0,11.0,PREC,29,BicepCurl
10.06,0.086633,-0.316855,0.236102,-0.993411,0.077766,0.084185,-0.003247,-0.077034,-0.250796,0.571471,-0.441625,-0.589118,-0.362393,7.0,2.0,11.0,PREC,29,BicepCurl
10.07,0.086087,-0.445248,0.264607,-0.992893,0.080301,0.087837,0.026523,-0.123102,-0.282097,0.571005,-0.442786,-0.589796,-0.360604,7.0,2.0,11.0,PREC,29,BicepCurl
10.08,0.06316,-0.63243,0.30999,-0.992173,0.083178,0.093132,0.055818,-0.168643,-0.307365,0.570097,-0.444361,-0.590855,-0.358362,7.0,2.0,11.0,PREC,29,BicepCurl
10.09,-0.021695,-0.783681,0.391434,-0.991189,0.08663,0.100202,0.095635,-0.19271,-0.225537,0.568659,-0.446582,-0.59217,-0.355705,7.0,2.0,11.0,PREC,29,BicepCurl
10.1,-0.286145,-0.799833,0.511288,-0.989963,0.090888,0.108228,0.116672,-0.17356,-0.15373,0.566755,-0.449734,-0.593172,-0.353093,7.0,2.0,11.0,PREC,29,BicepCurl
10.11,-0.308347,-0.92064,0.599937,-0.988483,0.096055,0.116938,0.129963,-0.138215,-0.192927,0.564491,-0.453794,-0.593751,-0.350543,7.0,2.0,11.0,PREC,29,BicepCurl
10.12,-0.122396,-1.078741,0.636866,-0.986655,0.101915,0.126987,0.182608,-0.140596,-0.282383,0.562124,-0.457977,-0.594769,-0.347164,7.0,2.0,11.0,PREC,29,BicepCurl
10.13,-0.102884,-1.284251,0.589684,-0.984437,0.107895,0.138714,0.234849,-0.107712,-0.306988,0.559454,-0.462137,-0.596478,-0.343008,7.0,2.0,11.0,PREC,29,BicepCurl
10.14,-0.107271,-1.393796,0.526103,-0.981859,0.113176,0.15213,0.229326,-0.054414,-0.283126,0.556097,-0.466409,-0.598772,-0.338661,7.0,2.0,11.0,PREC,29,BicepCurl
10.15,-0.078391,-1.257245,0.659238,-0.979066,0.118715,0.165339,0.176621,-0.088045,-0.141093,0.552849,-0.47065,-0.600964,-0.334198,7.0,2.0,11.0,PREC,29,BicepCurl
