secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.01,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.02,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.03,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.04,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.05,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.06,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.07,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.08,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.09,,,,,,,,,,,,,,45.0,1.0,10.0,SBLP,1,Idle
0.1,-0.018774,0.024122,-0.028907,0.182456,0.007687,-0.983184,-0.013709,-0.015072,0.017104,0.995787,-0.00386,0.091614,-0.0,45.0,1.0,10.0,SBLP,1,Idle
0.11,-0.013669,0.024424,-0.029109,0.18269,0.00792,-0.983139,-0.013455,-0.021821,0.015197,0.995776,-0.003965,0.091733,-0.000133,45.0,1.0,10.0,SBLP,1,Idle
0.12,0.01057,0.025536,-0.024598,0.182944,0.007971,-0.983091,-0.00666,-0.016135,0.008192,0.995764,-0.003978,0.091862,-0.00027,45.0,1.0,10.0,SBLP,1,Idle
0.13,0.030772,0.022664,-0.011033,0.183169,0.007821,-0.98305,-0.004138,-0.005441,0.001986,0.995754,-0.003893,0.091977,-0.000375,45.0,1.0,10.0,SBLP,1,Idle
0.14,0.042796,0.022772,0.014097,0.183415,0.00744,-0.983007,-0.003681,-0.002588,-0.00149,0.995743,-0.0037,0.092101,-0.000385,45.0,1.0,10.0,SBLP,1,Idle
0.15,0.041024,0.011635,0.027228,0.183581,0.006986,-0.98298,-0.006869,-0.002409,-0.006614,0.995736,-0.003481,0.092185,-0.000292,45.0,1.0,10.0,SBLP,1,Idle
0.16,0.037124,0.001784,0.028677,0.183644,0.006533,-0.982971,-0.004246,-0.001757,-0.008789,0.995734,-0.003264,0.092216,-0.000175,45.0,1.0,10.0,SBLP,1,Idle
0.17,0.011091,-0.014633,0.030845,0.183575,0.006219,-0.982986,-0.002148,-0.006265,-0.009537,0.995737,-0.00312,0.092181,-3.8e-05,45.0,1.0,10.0,SBLP,1,Idle
0.18,-0.013878,-0.011721,0.016868,0.183429,0.006178,-0.983014,0.000958,-0.00923,-0.006183,0.995744,-0.00311,0.092106,8.4e-05,45.0,1.0,10.0,SBLP,1,Idle
0.19,-0.040746,-0.004736,0.001701,0.183351,0.0064,-0.983027,-0.000581,-0.013388,-0.003133,0.995748,-0.003226,0.092066,0.000138,45.0,1.0,10.0,SBLP,1,Idle
0.2,-0.071233,-0.02015,0.006442,0.183209,0.006964,-0.983049,0.000614,-0.018392,-0.001738,0.995753,-0.003514,0.091994,0.000184,45.0,1.0,10.0,SBLP,1,Idle
0.21,-0.080039,-0.033158,-0.006389,0.182933,0.007722,-0.983095,0.00298,-0.021852,-0.001021,0.995765,-0.003898,0.091855,0.000221,45.0,1.0,10.0,SBLP,1,Idle
0.22,-0.069468,-0.032105,-0.018836,0.182602,0.008501,-0.98315,0.002792,-0.01195,-0.000202,0.995779,-0.004286,0.091687,0.00019,45.0,1.0,10.0,SBLP,1,Idle
0.23,-0.043726,-0.023214,-0.01319,0.182325,0.009089,-0.983196,-0.004545,0.001088,0.008205,0.99579,-0.004576,0.091547,0.000131,45.0,1.0,10.0,SBLP,1,Idle
0.24,-0.027945,-0.013487,0.007228,0.182148,0.009446,-0.983226,-0.009938,0.005858,0.0106,0.995798,-0.004755,0.091458,0.000132,45.0,1.0,10.0,SBLP,1,Idle
0.25,-0.020185,-0.016665,0.015426,0.182003,0.00965,-0.983251,-0.009212,0.002481,0.010976,0.995804,-0.004864,0.091384,0.0002,45.0,1.0,10.0,SBLP,1,Idle
0.26,-0.021451,-0.017672,0.014483,0.183031,-0.002397,-0.983104,-0.004336,0.007035,0.007396,0.995767,0.001125,0.091906,0.000847,45.0,1.0,10.0,SBLP,1,Idle
0.27,-0.024479,-0.009267,0.022613,0.182497,-0.004449,-0.983196,-0.00162,0.006632,0.004467,0.99579,0.002137,0.091637,0.001051,45.0,1.0,10.0,SBLP,1,Idle
0.28,-0.026581,-0.010438,0.034839,0.182719,-0.006536,-0.983144,-0.001475,0.001836,0.004552,0.995776,0.00316,0.091751,0.001316,45.0,1.0,10.0,SBLP,1,Idle
0.29,-0.013135,-0.014148,0.018393,0.183315,-0.00828,-0.983019,-0.001247,-0.002828,0.002047,0.995745,0.004015,0.092055,0.001546,45.0,1.0,10.0,SBLP,1,Idle
0.3,0.005809,-0.004185,0.008377,0.183627,-0.007328,-0.982969,-0.002306,0.013156,0.009458,0.995732,0.003535,0.092212,0.001565,45.0,1.0,10.0,SBLP,1,Idle
0.31,0.025805,-0.001372,0.001638,0.182908,-0.004572,-0.983119,0.000625,0.014719,-0.015095,0.99577,0.002164,0.091845,0.001432,45.0,1.0,10.0,SBLP,1,Idle
0.32,0.032014,0.006032,-0.004408,0.181703,-0.001991,-0.983351,-0.003526,0.012657,0.011855,0.995828,0.000882,0.091233,0.001279,45.0,1.0,10.0,SBLP,1,Idle
0.33,0.040266,0.017367,-0.008298,0.180959,-0.000576,-0.98349,-0.003225,0.00906,0.015778,0.995863,0.000185,0.090856,0.001146,45.0,1.0,10.0,SBLP,1,Idle
0.34,0.03787,0.016493,0.008556,0.181053,-0.000375,-0.983473,-0.007255,0.008416,0.014144,0.995859,8.8e-05,0.090903,0.001098,45.0,1.0,10.0,SBLP,1,Idle
0.35,0.022627,0.009477,-0.001341,0.181258,-0.00042,-0.983435,-0.006164,0.000832,0.009177,0.99585,0.000112,0.091007,0.001083,45.0,1.0,10.0,SBLP,1,Idle
0.36,0.002196,0.008747,-0.008635,0.181414,-0.000919,-0.983406,-0.002764,0.000873,0.006447,0.995842,0.000364,0.091086,0.001063,45.0,1.0,10.0,SBLP,1,Idle
0.37,-0.018711,0.011819,-0.006145,0.181571,-0.001688,-0.983376,-0.003425,0.001123,0.004922,0.995835,0.000749,0.091166,0.001072,45.0,1.0,10.0,SBLP,1,Idle
0.38,-0.027056,0.007809,0.009833,0.181793,-0.000873,-0.983336,-0.004226,0.004397,0.004363,0.995825,0.000341,0.091278,0.001056,45.0,1.0,10.0,SBLP,1,Idle
0.39,-0.03983,0.005982,0.010156,0.181788,0.000219,-0.983338,-0.000864,0.003931,0.005158,0.995825,-0.00021,0.091275,0.001085,45.0,1.0,10.0,SBLP,1,Idle
0.4,-0.055761,0.004395,0.001067,0.181772,0.001412,-0.98334,-0.001062,0.00637,0.004534,0.995826,-0.000809,0.091266,0.001088,45.0,1.0,10.0,SBLP,1,Idle
0.41,-0.05109,-0.011986,-0.006821,0.181677,0.00245,-0.983355,-0.001563,0.000357,0.00632,0.99583,-0.00133,0.091218,0.001087,45.0,1.0,10.0,SBLP,1,Idle
0.42,-0.031553,-0.022142,-0.008652,0.181185,0.003237,-0.983444,0.0007,-0.002901,0.003692,0.995852,-0.001723,0.090968,0.001073,45.0,1.0,10.0,SBLP,1,Idle
0.43,-0.01415,-0.018277,-0.011727,0.180687,0.003318,-0.983535,0.002556,0.008218,0.010833,0.995875,-0.00176,0.090716,0.001039,45.0,1.0,10.0,SBLP,1,Idle
0.44,0.016768,0.005022,-0.016508,0.180568,0.003092,-0.983558,-0.003582,0.010931,0.017676,0.99588,-0.001641,0.090656,0.000968,45.0,1.0,10.0,SBLP,1,Idle
0.45,0.025728,0.01009,-0.006102,0.180566,0.002686,-0.983559,-0.012536,0.010742,0.020562,0.995881,-0.001432,0.090655,0.000919,45.0,1.0,10.0,SBLP,1,Idle
0.46,0.011367,0.007939,0.009865,0.180558,0.002557,-0.983561,-0.007829,-0.004526,0.019694,0.995881,-0.001367,0.090651,0.000914,45.0,1.0,10.0,SBLP,1,Idle
0.47,0.003335,6.3e-05,0.016083,0.180664,0.002546,-0.983542,0.000671,-0.015898,0.015112,0.995876,-0.001367,0.090705,0.00097,45.0,1.0,10.0,SBLP,1,Idle
0.48,-0.02562,0.013353,0.018178,0.180781,0.002855,-0.983519,0.001927,-0.01317,0.015975,0.995871,-0.001529,0.090764,0.001044,45.0,1.0,10.0,SBLP,1,Idle
0.49,-0.079987,0.009031,0.028435,0.180924,0.003317,-0.983492,-0.00203,-0.015417,0.019838,0.995864,-0.001773,0.090835,0.001185,45.0,1.0,10.0,SBLP,1,Idle
0.5,-0.14514,0.016027,0.032571,0.181114,0.004232,-0.983453,-0.004615,-0.02564,0.024133,0.995854,-0.002252,0.090931,0.001389,45.0,1.0,10.0,SBLP,1,Idle
0.51,-0.201261,0.00408,0.024242,0.181345,0.00611,-0.983401,-0.002878,-0.032493,0.031725,0.99584,-0.003214,0.091046,0.001598,45.0,1.0,10.0,SBLP,1,Idle
0.52,-0.257944,-0.000218,0.031286,0.181366,0.008528,-0.983379,-0.000458,-0.037718,0.042339,0.995834,-0.004449,0.091054,0.001827,45.0,1.0,10.0,SBLP,1,Idle
0.53,-0.333737,-0.007231,0.031794,0.181123,0.011485,-0.983393,0.003691,-0.042536,0.055171,0.995837,-0.00596,0.090928,0.002123,45.0,1.0,10.0,SBLP,1,Idle
0.54,-0.421582,-0.004176,0.009976,0.180989,0.014916,-0.983372,0.004284,-0.051491,0.06493,0.995832,-0.007708,0.090855,0.0024,45.0,1.0,10.0,SBLP,1,Idle
0.55,-0.551644,0.005894,0.019315,0.181035,0.019236,-0.983289,0.000225,-0.054072,0.07037,0.99581,-0.009906,0.090871,0.002707,45.0,1.0,10.0,SBLP,1,Idle
0.56,-0.743101,0.006943,0.037731,0.181139,0.025221,-0.983134,0.012114,-0.078215,0.074641,0.99577,-0.012951,0.090913,0.003141,45.0,1.0,10.0,SBLP,1,Idle
0.57,-0.97558,-0.008151,0.061222,0.181153,0.033204,-0.982894,0.022735,-0.11844,0.072753,0.995707,-0.01702,0.090902,0.003798,45.0,1.0,10.0,SBLP,1,Idle
0.58,-1.25327,-0.057373,0.046323,0.180844,0.043565,-0.982546,0.043994,-0.15619,0.063769,0.995616,-0.022298,0.090717,0.004604,45.0,1.0,10.0,SBLP,1,Idle
0.59,-1.534343,-0.132401,0.029317,0.17995,0.057209,-0.982011,0.068341,-0.190678,0.054597,0.995478,-0.029228,0.090224,0.005449,45.0,1.0,10.0,SBLP,1,Idle
0.6,-1.881674,-0.200912,-0.011787,0.178222,0.073942,-0.981208,0.090103,-0.206007,0.043937,0.995271,-0.037708,0.089298,0.006251,45.0,1.0,10.0,SBLP,1,Idle
0.61,-2.180257,-0.270455,-0.030901,0.175857,0.094019,-0.979916,0.110108,-0.230875,0.050762,0.994941,-0.047876,0.088034,0.007089,45.0,1.0,10.0,SBLP,1,Idle
0.62,-2.39716,-0.270109,-0.099349,0.173232,0.116642,-0.97795,0.123491,-0.273854,0.075697,0.994441,-0.059335,0.086629,0.007898,45.0,1.0,10.0,SBLP,1,Idle
0.63,-3.063556,0.284272,0.057816,0.171847,0.14214,-0.974815,0.106641,-0.248998,0.090843,0.993647,-0.072266,0.085849,0.008579,45.0,1.0,10.0,SBLP,1,Idle
0.64,-3.210738,-0.220763,0.285885,0.173523,0.172971,-0.969521,0.10112,-0.257169,0.192406,0.992286,-0.088147,0.086427,0.011363,45.0,1.0,10.0,SBLP,1,Idle
0.65,-3.274836,-0.473653,-0.092815,0.16963,0.204402,-0.964078,0.11484,-0.314983,0.086484,0.990887,-0.104284,0.084179,0.013456,45.0,1.0,10.0,SBLP,1,Idle
0.66,-3.774158,-1.198186,1.317053,0.16544,0.237375,-0.957227,0.182201,-0.087275,0.133801,0.989067,-0.121558,0.081304,0.018961,45.0,1.0,10.0,SBLP,1,Idle
0.67,-3.644124,-2.046014,1.266478,0.153085,0.270713,-0.95041,0.627936,-0.199562,0.145738,0.987123,-0.139222,0.073568,0.028168,45.0,1.0,10.0,SBLP,1,Idle
0.68,-3.774834,-2.248706,0.743724,0.135442,0.304392,-0.942868,0.564631,-0.20376,0.106366,0.984962,-0.156813,0.063051,0.035826,45.0,1.0,10.0,SBLP,1,Idle
0.69,-3.904256,-2.281975,0.65291,0.116326,0.339668,-0.933324,0.336204,-0.09037,0.162343,0.982288,-0.175112,0.051707,0.042097,45.0,1.0,10.0,SBLP,1,Idle
0.7,-4.006361,-2.122108,0.759866,0.098401,0.375691,-0.921506,0.22182,-0.117405,0.157483,0.978983,-0.19389,0.040664,0.048436,45.0,1.0,10.0,SBLP,1,Idle
0.71,-4.101331,-1.947986,0.937811,0.083205,0.412031,-0.907363,0.141374,-0.155271,0.133101,0.974995,-0.213035,0.030571,0.055369,45.0,1.0,10.0,SBLP,1,Idle
0.72,-4.315781,-1.876873,1.089342,0.0705,0.44908,-0.890706,0.137721,-0.216307,0.121968,0.970249,-0.232803,0.021214,0.063002,45.0,1.0,10.0,SBLP,1,Idle
0.73,-4.622784,-1.973901,1.137738,0.058842,0.487815,-0.870962,0.196788,-0.289573,0.132284,0.964582,-0.253733,0.011785,0.07115,45.0,1.0,10.0,SBLP,1,Idle
0.74,-4.851749,-2.190062,1.13246,0.046727,0.528048,-0.847928,0.276927,-0.33916,0.117413,0.957933,-0.275742,0.001492,0.079547,45.0,1.0,10.0,SBLP,1,Idle
0.75,-4.983226,-2.48729,1.153972,0.033469,0.568779,-0.821809,0.348107,-0.351128,0.146119,0.950322,-0.298318,-0.0101,0.08827,45.0,1.0,10.0,SBLP,1,Idle
0.76,-5.01627,-2.79008,1.21047,0.019086,0.608961,-0.792971,0.386248,-0.322462,0.188021,0.941789,-0.320906,-0.023111,0.097564,45.0,1.0,10.0,SBLP,1,Idle
0.77,-4.972591,-3.036936,1.26984,0.004115,0.647737,-0.761853,0.390966,-0.281786,0.228283,0.932401,-0.343044,-0.037341,0.107491,45.0,1.0,10.0,SBLP,1,Idle
0.78,-4.879226,-3.23116,1.360517,-0.010512,0.68463,-0.728815,0.366621,-0.24507,0.266855,0.92221,-0.364488,-0.052358,0.118053,45.0,1.0,10.0,SBLP,1,Idle
