secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
12.0,0.116817,-0.14144,0.26857,-0.963383,0.1547,-0.218997,0.082143,-0.070136,-0.077206,0.469745,0.433198,-0.450379,0.623569,45.0,2.0,10.0,SBLP,1,LatPull
12.01,0.030765,-0.137181,0.267786,-0.963248,0.157166,-0.217836,0.078574,-0.036255,-0.059585,0.468459,0.433153,-0.451066,0.624071,45.0,2.0,10.0,SBLP,1,LatPull
12.02,0.063793,-0.191067,0.253774,-0.963162,0.159623,-0.216426,0.085964,-0.009706,-0.052693,0.467206,0.433125,-0.451873,0.624445,45.0,2.0,10.0,SBLP,1,LatPull
12.03,0.150874,-0.219303,0.224545,-0.963217,0.161687,-0.214641,0.073782,0.027354,-0.013829,0.465755,0.433482,-0.452518,0.624814,45.0,2.0,10.0,SBLP,1,LatPull
12.04,0.188186,-0.159312,0.207395,-0.963267,0.16342,-0.213099,0.041117,0.06296,0.0292,0.464275,0.433977,-0.452895,0.625298,45.0,2.0,10.0,SBLP,1,LatPull
12.05,0.209274,-0.059967,0.174936,-0.963167,0.164866,-0.212434,0.015734,0.095967,0.044999,0.463,0.434323,-0.452931,0.625977,45.0,2.0,10.0,SBLP,1,LatPull
12.06,0.29452,-0.007814,0.108159,-0.962978,0.165741,-0.212613,0.018291,0.099366,0.04144,0.461956,0.434639,-0.452529,0.62682,45.0,2.0,10.0,SBLP,1,LatPull
12.07,0.397103,0.011931,0.034693,-0.962835,0.165696,-0.21329,0.04386,0.047882,0.059543,0.460984,0.435255,-0.451562,0.627805,45.0,2.0,10.0,SBLP,1,LatPull
12.08,0.449246,0.021495,-0.015639,-0.962769,0.164887,-0.214217,0.070404,-0.005265,0.075606,0.460068,0.436144,-0.450189,0.628845,45.0,2.0,10.0,SBLP,1,LatPull
12.09,0.214594,0.090934,-0.019242,-0.962663,0.163889,-0.215452,0.105715,-0.044718,0.149045,0.459497,0.43682,-0.448846,0.629753,45.0,2.0,10.0,SBLP,1,LatPull
12.1,-0.016686,0.053901,0.001802,-0.962485,0.163716,-0.216377,0.127311,-0.056035,0.045921,0.45954,0.436721,-0.448427,0.630089,45.0,2.0,10.0,SBLP,1,LatPull
12.11,-0.061087,-0.025612,-0.009528,-0.962427,0.16375,-0.216609,0.157526,-0.048043,0.008021,0.459652,0.436587,-0.448428,0.630098,45.0,2.0,10.0,SBLP,1,LatPull
12.12,-0.125455,-0.203088,-0.038238,-0.962703,0.163773,-0.215363,0.164485,0.024261,0.02353,0.459721,0.436728,-0.448984,0.629554,45.0,2.0,10.0,SBLP,1,LatPull
12.13,0.039198,-0.211783,-0.102308,-0.963269,0.163205,-0.213251,0.143064,0.043323,0.070765,0.459548,0.437456,-0.449452,0.628841,45.0,2.0,10.0,SBLP,1,LatPull
12.14,-0.012917,-0.07013,-0.160956,-0.96378,0.161868,-0.211961,0.087971,0.033842,0.138322,0.459586,0.438257,-0.449388,0.6283,45.0,2.0,10.0,SBLP,1,LatPull
12.15,-0.075271,0.05366,-0.225211,-0.964083,0.160111,-0.211915,0.056811,0.007736,0.119004,0.460293,0.438578,-0.449101,0.627764,45.0,2.0,10.0,SBLP,1,LatPull
12.16,-0.0855,0.061538,-0.298827,-0.964352,0.157752,-0.212459,0.084027,-0.03643,0.106791,0.461438,0.43877,-0.44861,0.62714,45.0,2.0,10.0,SBLP,1,LatPull
12.17,-0.080162,0.04975,-0.337837,-0.964729,0.154842,-0.212889,0.14579,-0.049831,0.121885,0.462751,0.439115,-0.448033,0.626343,45.0,2.0,10.0,SBLP,1,LatPull
12.18,-0.132405,0.037306,-0.330584,-0.965137,0.151801,-0.213229,0.192066,-0.053581,0.164172,0.464132,0.439485,-0.44748,0.625457,45.0,2.0,10.0,SBLP,1,LatPull
12.19,-0.237214,0.000611,-0.343364,-0.965595,0.148994,-0.213138,0.181278,-0.095619,0.15137,0.465626,0.439731,-0.44729,0.624309,45.0,2.0,10.0,SBLP,1,LatPull
12.2,-0.259157,0.031291,-0.426176,-0.966127,0.145847,-0.212903,0.135881,-0.152759,0.138654,0.467381,0.439966,-0.447189,0.622902,45.0,2.0,10.0,SBLP,1,LatPull
12.21,-0.449158,0.157531,-0.539683,-0.966621,0.141922,-0.213311,0.113273,-0.144913,0.168603,0.469839,0.439952,-0.446975,0.621214,45.0,2.0,10.0,SBLP,1,LatPull
12.22,-0.607894,0.336285,-0.654128,-0.966923,0.137302,-0.214963,0.137348,-0.09293,0.149106,0.473445,0.439234,-0.446758,0.619137,45.0,2.0,10.0,SBLP,1,LatPull
12.23,-0.566168,0.485961,-0.765745,-0.966962,0.131697,-0.218264,0.213331,-0.050398,0.070589,0.477896,0.438102,-0.446021,0.617047,45.0,2.0,10.0,SBLP,1,LatPull
12.24,-0.453657,0.486635,-0.836598,-0.96689,0.125041,-0.222461,0.301118,-0.017436,-0.004834,0.482613,0.437119,-0.444631,0.615073,45.0,2.0,10.0,SBLP,1,LatPull
12.25,-0.256621,0.343667,-0.869738,-0.966973,0.117538,-0.226159,0.374505,-0.024917,-0.075736,0.486987,0.436841,-0.442821,0.613125,45.0,2.0,10.0,SBLP,1,LatPull
12.26,-0.191547,0.111153,-0.83078,-0.967414,0.109734,-0.228184,0.414131,-0.064599,-0.081722,0.490576,0.437508,-0.441015,0.611086,45.0,2.0,10.0,SBLP,1,LatPull
12.27,-0.367238,-0.099407,-0.756323,-0.968246,0.102722,-0.227922,0.40744,-0.095291,-0.10681,0.493604,0.438553,-0.440126,0.608536,45.0,2.0,10.0,SBLP,1,LatPull
12.28,-0.363747,-0.182003,-0.733258,-0.969317,0.096405,-0.226121,0.361911,-0.139709,-0.153884,0.496357,0.439694,-0.44001,0.605549,45.0,2.0,10.0,SBLP,1,LatPull
12.29,-0.341728,-0.236123,-0.743649,-0.970463,0.090035,-0.22382,0.292485,-0.145333,-0.154781,0.498909,0.441061,-0.439949,0.602494,45.0,2.0,10.0,SBLP,1,LatPull
12.3,-0.203328,-0.277145,-0.768043,-0.971686,0.083344,-0.22109,0.221655,-0.097459,-0.139002,0.501239,0.442779,-0.439775,0.59942,45.0,2.0,10.0,SBLP,1,LatPull
12.31,-0.070112,-0.20452,-0.816607,-0.972863,0.075917,-0.218574,0.17347,-0.04308,-0.083825,0.503346,0.444943,-0.43902,0.596599,45.0,2.0,10.0,SBLP,1,LatPull
12.32,0.001237,-0.044529,-0.862316,-0.973735,0.067803,-0.217353,0.148021,-0.023095,-0.110833,0.505663,0.447062,-0.43756,0.594123,45.0,2.0,10.0,SBLP,1,LatPull
12.33,0.057821,0.046585,-0.908845,-0.974263,0.059107,-0.217525,0.158025,-0.047953,-0.166631,0.508243,0.449037,-0.435435,0.59199,45.0,2.0,10.0,SBLP,1,LatPull
12.34,0.047046,-0.044455,-0.963104,-0.974746,0.049854,-0.217679,0.197143,-0.07172,-0.155399,0.510914,0.451176,-0.43313,0.589751,45.0,2.0,10.0,SBLP,1,LatPull
12.35,-0.100529,-0.156361,-0.983427,-0.975418,0.040356,-0.216636,0.220428,-0.075375,-0.073861,0.513584,0.453569,-0.431228,0.586984,45.0,2.0,10.0,SBLP,1,LatPull
12.36,-0.388933,-0.167314,-0.935315,-0.976132,0.031466,-0.214886,0.20068,-0.015765,-0.038669,0.516577,0.455531,-0.430173,0.583602,45.0,2.0,10.0,SBLP,1,LatPull
12.37,-0.585406,-0.042348,-0.94059,-0.976606,0.023487,-0.21375,0.157575,0.0601,-0.074123,0.520239,0.456491,-0.429815,0.57985,45.0,2.0,10.0,SBLP,1,LatPull
12.38,-0.366723,0.067249,-1.111508,-0.976749,0.014619,-0.213886,0.131367,0.132018,-0.101711,0.524355,0.457315,-0.428859,0.57619,45.0,2.0,10.0,SBLP,1,LatPull
12.39,-0.141481,0.129488,-1.292372,-0.976637,0.003322,-0.214869,0.13632,0.225453,-0.019765,0.528601,0.458971,-0.42651,0.572726,45.0,2.0,10.0,SBLP,1,LatPull
12.4,-0.107221,0.133825,-1.327193,-0.976295,-0.009288,-0.216242,0.127968,0.315257,-0.015387,0.532936,0.461054,-0.423448,0.569298,45.0,2.0,10.0,SBLP,1,LatPull
12.41,-0.013449,0.159358,-1.344213,-0.975767,-0.022209,-0.21768,0.109358,0.322899,-0.057467,0.53719,0.463289,-0.420146,0.565921,45.0,2.0,10.0,SBLP,1,LatPull
12.42,0.089067,0.156443,-1.32119,-0.975018,-0.035329,-0.219299,0.096432,0.237539,-0.063584,0.541237,0.465705,-0.416497,0.562771,45.0,2.0,10.0,SBLP,1,LatPull
12.43,0.243261,0.08895,-1.270176,-0.974181,-0.048402,-0.220517,0.077193,0.108628,-0.123187,0.54475,0.468511,-0.412599,0.559916,45.0,2.0,10.0,SBLP,1,LatPull
12.44,0.02534,-0.006692,-1.195214,-0.973414,-0.0608,-0.220837,0.065485,0.00361,-0.0573,0.547921,0.471368,-0.409138,0.556957,45.0,2.0,10.0,SBLP,1,LatPull
12.45,-0.288162,0.004793,-1.116794,-0.972664,-0.071701,-0.220869,0.045754,-0.047974,-0.042436,0.551464,0.47333,-0.406846,0.553463,45.0,2.0,10.0,SBLP,1,LatPull
12.46,-0.310523,0.070491,-1.077945,-0.97171,-0.081707,-0.221595,0.038223,-0.093205,-0.100717,0.555339,0.474563,-0.40496,0.549906,45.0,2.0,10.0,SBLP,1,LatPull
12.47,-0.2791,-0.000261,-1.089642,-0.970674,-0.091569,-0.222276,0.086092,-0.06993,-0.08377,0.559077,0.475822,-0.403057,0.546416,45.0,2.0,10.0,SBLP,1,LatPull
12.48,-0.305376,-0.064019,-1.06011,-0.969695,-0.10142,-0.222272,0.151809,0.016871,0.003888,0.562654,0.477265,-0.40135,0.542731,45.0,2.0,10.0,SBLP,1,LatPull
12.49,-0.192211,-0.093464,-0.972793,-0.968785,-0.110699,-0.221812,0.181646,0.061901,0.005488,0.565889,0.478762,-0.39985,0.539144,45.0,2.0,10.0,SBLP,1,LatPull
