secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
7.5,0.258032,0.133469,0.294889,0.878467,0.279554,-0.387486,0.008053,0.054033,-0.034191,0.322621,-0.551183,0.049546,0.767892,4.0,2.0,,DLR,13,LateralRaise
7.51,0.242594,0.112661,0.285397,0.879743,0.276029,-0.387118,-0.003171,0.043475,-0.031064,0.322166,-0.55117,0.051505,0.767964,4.0,2.0,,DLR,13,LateralRaise
7.52,0.273045,0.087099,0.2776,0.880897,0.272558,-0.386953,-0.013572,0.041437,-0.025568,0.321766,-0.551062,0.053424,0.768078,4.0,2.0,,DLR,13,LateralRaise
7.53,0.299684,0.082478,0.270716,0.881954,0.269029,-0.387015,-0.007152,0.060728,-0.019968,0.321481,-0.550838,0.055413,0.768217,4.0,2.0,,DLR,13,LateralRaise
7.54,0.291042,0.104444,0.262124,0.883024,0.265544,-0.386981,0.003725,0.08994,-0.010083,0.321242,-0.550647,0.057423,0.768306,4.0,2.0,,DLR,13,LateralRaise
7.55,0.282674,0.142709,0.237321,0.884179,0.262198,-0.386627,0.003776,0.078851,-0.02237,0.321029,-0.550595,0.059429,0.76828,4.0,2.0,,DLR,13,LateralRaise
7.56,0.2024,0.177836,0.206768,0.885373,0.259291,-0.385854,-0.003521,0.057222,-0.022898,0.320833,-0.550745,0.061256,0.76811,4.0,2.0,,DLR,13,LateralRaise
7.57,0.082818,0.144594,0.19608,0.886536,0.256985,-0.384725,-0.006119,0.037967,0.008794,0.320393,-0.551106,0.062607,0.767926,4.0,2.0,,DLR,13,LateralRaise
7.58,0.071796,0.067477,0.1809,0.887445,0.25501,-0.383942,-0.005899,0.016962,0.02768,0.319819,-0.551349,0.063584,0.767911,4.0,2.0,,DLR,13,LateralRaise
7.59,0.078543,0.040687,0.153866,0.888056,0.253241,-0.383699,-0.010905,0.036737,-0.005034,0.319364,-0.551364,0.064406,0.768021,4.0,2.0,,DLR,13,LateralRaise
7.6,0.132736,0.080502,0.14379,0.888647,0.251549,-0.383444,-0.01737,0.090264,-0.046548,0.319059,-0.551376,0.06529,0.768065,4.0,2.0,,DLR,13,LateralRaise
7.61,0.191703,0.153189,0.156191,0.889479,0.249595,-0.382793,-0.033873,0.114984,-0.045186,0.3189,-0.551524,0.066522,0.767919,4.0,2.0,,DLR,13,LateralRaise
7.62,0.191988,0.198759,0.147015,0.890535,0.247497,-0.381697,-0.043168,0.107132,-0.015993,0.318796,-0.551843,0.067973,0.767605,4.0,2.0,,DLR,13,LateralRaise
7.63,0.15321,0.19648,0.100487,0.891602,0.245728,-0.380348,-0.035782,0.063202,0.024162,0.318731,-0.552289,0.069302,0.767193,4.0,2.0,,DLR,13,LateralRaise
7.64,0.094553,0.146596,0.061489,0.892461,0.244573,-0.379075,-0.023076,-0.002981,0.061402,0.318725,-0.552742,0.070276,0.76678,4.0,2.0,,DLR,13,LateralRaise
7.65,-0.003729,0.058335,0.015855,0.892942,0.244047,-0.378279,0.000368,-0.027799,0.065321,0.318679,-0.553044,0.070733,0.76654,4.0,2.0,,DLR,13,LateralRaise
7.66,-0.083597,-0.004117,-0.033258,0.893004,0.244324,-0.377955,0.022874,0.008697,0.045374,0.318574,-0.553213,0.070553,0.766478,4.0,2.0,,DLR,13,LateralRaise
