secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.01,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.02,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.03,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.04,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.05,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.06,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.07,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.08,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.09,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.1,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.11,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.12,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.13,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.14,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.15,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.16,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.17,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.18,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.19,,,,,,,,,,,,,,4.0,2.0,,DLR,13,Idle
0.2,-0.069498,-0.021459,0.046027,0.447035,-0.385359,-0.807253,-0.008101,0.007383,0.002902,0.950593,0.202694,0.235135,-0.0,4.0,2.0,,DLR,13,Idle
0.21,-0.055791,-0.011595,0.045103,0.446729,-0.385056,-0.807567,-0.008894,0.005875,-0.001271,0.950675,0.202451,0.23501,0.000267,4.0,2.0,,DLR,13,Idle
