secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.01,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.02,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.03,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.04,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.05,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.06,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.07,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.08,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.09,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.1,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.11,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.12,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.13,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.14,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.15,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27,Idle
0.16,0.142552,-0.325685,0.223779,0.030029,-0.159944,-0.986669,-0.005523,-0.009932,-0.016871,0.996662,0.08024,0.015065,0.0,4.0,1.0,8.0,MIBP,27,Idle
0.17,0.146326,-0.336341,0.237848,0.026367,-0.161434,-0.986531,-0.004333,-0.016392,-0.017787,0.996627,0.080977,0.01331,0.001009,4.0,1.0,8.0,MIBP,27,Idle
0.18,0.150714,-0.345371,0.25396,0.022595,-0.162975,-0.986372,-0.011639,-0.027058,-0.018542,0.996585,0.081742,0.011508,0.00209,4.0,1.0,8.0,MIBP,27,Idle
0.19,0.147783,-0.34301,0.24815,0.018769,-0.164511,-0.986197,-0.020066,-0.022317,-0.00654,0.996538,0.08251,0.009683,0.003206,4.0,1.0,8.0,MIBP,27,Idle
0.2,0.172827,-0.328747,0.230944,0.015062,-0.166114,-0.985991,-0.024294,-0.000908,0.00772,0.996483,0.083316,0.007914,0.004258,4.0,1.0,8.0,MIBP,27,Idle
0.21,0.21043,-0.318299,0.215322,0.011484,-0.168055,-0.985711,-0.022837,0.002436,0.013924,0.996408,0.084298,0.006205,0.005226,4.0,1.0,8.0,MIBP,27,Idle
0.22,0.223012,-0.301946,0.198442,0.008077,-0.170216,-0.985374,-0.024557,0.001149,0.020057,0.996318,0.085395,0.004578,0.006122,4.0,1.0,8.0,MIBP,27,Idle
0.23,0.219457,-0.287912,0.183063,0.004837,-0.172421,-0.985011,-0.026703,-0.002857,0.021633,0.996222,0.086516,0.00303,0.006941,4.0,1.0,8.0,MIBP,27,Idle
0.24,0.195331,-0.282972,0.172557,0.0017,-0.174484,-0.984659,-0.025061,-0.022156,0.02012,0.996128,0.087569,0.00153,0.007695,4.0,1.0,8.0,MIBP,27,Idle
0.25,0.165151,-0.285018,0.166868,-0.001404,-0.17626,-0.984343,-0.016922,-0.039118,0.009611,0.996042,0.08848,4.3e-05,0.008419,4.0,1.0,8.0,MIBP,27,Idle
0.26,0.135523,-0.289651,0.173189,-0.004534,-0.177733,-0.984068,-0.013547,-0.046037,0.002776,0.995967,0.08924,-0.001457,0.00914,4.0,1.0,8.0,MIBP,27,Idle
0.27,0.125458,-0.2962,0.194659,-0.007725,-0.178995,-0.98382,-0.012341,-0.056357,-0.003851,0.995897,0.089896,-0.002983,0.009916,4.0,1.0,8.0,MIBP,27,Idle
0.28,0.14156,-0.313877,0.237636,-0.011119,-0.180286,-0.983551,-0.011266,-0.064907,-0.013504,0.99582,0.090571,-0.004595,0.010854,4.0,1.0,8.0,MIBP,27,Idle
0.29,0.152812,-0.336904,0.287853,-0.014803,-0.181691,-0.983244,-0.006911,-0.059917,-0.009081,0.99573,0.091312,-0.006331,0.012023,4.0,1.0,8.0,MIBP,27,Idle
0.3,0.164364,-0.365889,0.334525,-0.01882,-0.183214,-0.982893,-0.009394,-0.051543,-0.002169,0.995624,0.09212,-0.00821,0.013418,4.0,1.0,8.0,MIBP,27,Idle
0.31,0.148355,-0.401007,0.394192,-0.02326,-0.184702,-0.982519,-0.006235,-0.056357,0.004248,0.995506,0.092923,-0.010277,0.015056,4.0,1.0,8.0,MIBP,27,Idle
0.32,0.100957,-0.448373,0.466232,-0.028219,-0.185825,-0.982178,-0.004984,-0.069485,0.011841,0.995389,0.093557,-0.012577,0.017002,4.0,1.0,8.0,MIBP,27,Idle
0.33,0.031586,-0.510482,0.554114,-0.03387,-0.18633,-0.981903,-0.004155,-0.093837,0.01384,0.995278,0.093902,-0.015192,0.019322,4.0,1.0,8.0,MIBP,27,Idle
0.34,-0.057535,-0.575984,0.656796,-0.040326,-0.185971,-0.981727,-0.001193,-0.112246,0.006996,0.995176,0.09384,-0.018179,0.022077,4.0,1.0,8.0,MIBP,27,Idle
0.35,-0.140437,-0.667847,0.775446,-0.047753,-0.184687,-0.981637,0.011376,-0.126119,0.001534,0.995076,0.093351,-0.021617,0.025344,4.0,1.0,8.0,MIBP,27,Idle
0.36,-0.241862,-0.779368,0.898136,-0.056405,-0.182386,-0.981608,0.034082,-0.133761,-0.008047,0.994964,0.092406,-0.025637,0.029158,4.0,1.0,8.0,MIBP,27,Idle
0.37,-0.343398,-0.88786,1.012869,-0.066324,-0.178922,-0.981625,0.057902,-0.120105,-0.013202,0.994832,0.090945,-0.030272,0.033497,4.0,1.0,8.0,MIBP,27,Idle
0.38,-0.448507,-1.008206,1.131078,-0.077538,-0.174258,-0.981643,0.081459,-0.111662,-0.010499,0.994661,0.088967,-0.035547,0.038347,4.0,1.0,8.0,MIBP,27,Idle
0.39,-0.580685,-1.152038,1.249594,-0.090198,-0.168242,-0.98161,0.105213,-0.125978,-0.015491,0.994432,0.086418,-0.041554,0.043699,4.0,1.0,8.0,MIBP,27,Idle
0.4,-0.756456,-1.304477,1.368784,-0.104437,-0.160416,-0.981509,0.131994,-0.137512,-0.029096,0.994133,0.083093,-0.048385,0.049547,4.0,1.0,8.0,MIBP,27,Idle
0.41,-0.956082,-1.455876,1.47224,-0.120211,-0.150415,-0.981287,0.161699,-0.134405,-0.015615,0.993743,0.078831,-0.056054,0.055841,4.0,1.0,8.0,MIBP,27,Idle
0.42,-1.19389,-1.611485,1.5532,-0.137502,-0.137898,-0.980855,0.181981,-0.130931,-0.000819,0.99324,0.073481,-0.064598,0.06246,4.0,1.0,8.0,MIBP,27,Idle
0.43,-1.385933,-1.75266,1.629192,-0.156116,-0.122837,-0.980071,0.19414,-0.10841,0.01065,0.992587,0.067044,-0.073958,0.069334,4.0,1.0,8.0,MIBP,27,Idle
0.44,-1.477726,-1.879,1.709271,-0.175831,-0.105965,-0.978701,0.20049,-0.080482,0.018709,0.991716,0.059905,-0.08403,0.076482,4.0,1.0,8.0,MIBP,27,Idle
