secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.01,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.02,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.03,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.04,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.05,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.06,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.07,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.08,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.09,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.1,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.11,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.12,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.13,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.14,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.15,,,,,,,,,,,,,,18.0,2.0,13.0,MTE,22,Idle
0.16,-0.00422,0.003162,0.001939,0.003179,-0.217469,-0.976062,-0.008123,0.008607,0.001743,0.993997,0.109391,0.001599,-0.0,18.0,2.0,13.0,MTE,22,Idle
0.17,-0.007212,-0.015604,0.01496,0.003111,-0.217418,-0.976074,4.7e-05,-0.011814,-0.00525,0.994,0.109365,0.001569,3.8e-05,18.0,2.0,13.0,MTE,22,Idle
0.18,-0.004112,-0.032158,0.016054,0.002844,-0.217342,-0.976091,0.001398,-0.013554,-0.007704,0.994005,0.109326,0.001443,0.000112,18.0,2.0,13.0,MTE,22,Idle
0.19,0.035247,-0.021068,0.012505,0.00254,-0.217485,-0.97606,-0.00431,0.010698,-0.000365,0.993997,0.109399,0.001297,0.000178,18.0,2.0,13.0,MTE,22,Idle
0.2,0.055061,-0.011578,-0.005185,0.002378,-0.21795,-0.975957,-0.005461,0.021234,0.007131,0.993971,0.109636,0.001217,0.000188,18.0,2.0,13.0,MTE,22,Idle
0.21,0.050865,-0.009662,-0.004953,0.002294,-0.218455,-0.975844,-0.004506,0.011348,0.007247,0.993943,0.109893,0.00117,0.000151,18.0,2.0,13.0,MTE,22,Idle
0.22,0.026858,0.000451,-0.010943,0.002252,-0.218836,-0.975759,0.000373,-0.001394,0.010549,0.993921,0.110087,0.001145,0.000112,18.0,2.0,13.0,MTE,22,Idle
0.23,-0.007391,-0.006619,-0.018308,0.002265,-0.218943,-0.975735,-0.006644,0.004908,0.016491,0.993915,0.110142,0.001143,3.4e-05,18.0,2.0,13.0,MTE,22,Idle
0.24,-0.043095,-0.005067,-0.015366,0.002249,-0.218679,-0.975794,-0.002661,-0.001048,0.019709,0.99393,0.110007,0.001126,-4.9e-05,18.0,2.0,13.0,MTE,22,Idle
0.25,-0.056214,0.000691,-0.016366,0.002274,-0.21817,-0.975908,-0.004898,-0.006424,0.014635,0.993959,0.109748,0.001129,-0.000133,18.0,2.0,13.0,MTE,22,Idle
0.26,-0.074964,0.003535,-0.00892,0.002329,-0.217534,-0.97605,-0.007975,-0.004221,0.012076,0.993994,0.109425,0.001149,-0.000203,18.0,2.0,13.0,MTE,22,Idle
0.27,-0.104756,-0.001441,0.011305,0.002341,-0.216659,-0.976245,-0.006796,-0.010224,0.005892,0.994043,0.108979,0.001155,-0.000203,18.0,2.0,13.0,MTE,22,Idle
0.28,-0.143527,0.001328,0.028465,0.002296,-0.215447,-0.976513,-0.003547,-0.012398,0.007107,0.994111,0.108362,0.001144,-9.7e-05,18.0,2.0,13.0,MTE,22,Idle
0.29,-0.19079,0.010052,0.037039,0.002288,-0.213814,-0.976872,-0.014068,-0.016975,0.010105,0.994201,0.10753,0.001158,6.9e-05,18.0,2.0,13.0,MTE,22,Idle
0.3,-0.257476,0.022556,0.052887,0.002344,-0.211647,-0.977343,-0.022852,-0.018852,0.020434,0.99432,0.106428,0.00121,0.000292,18.0,2.0,13.0,MTE,22,Idle
0.31,-0.357943,0.039178,0.085646,-0.004055,-0.216192,-0.976342,-0.021076,-0.017512,0.03103,0.994068,0.108743,-0.00193,0.001004,18.0,2.0,13.0,MTE,22,Idle
0.32,-0.464671,0.065337,0.115551,-0.002046,-0.217046,-0.976159,-0.03015,-0.031428,0.03402,0.994021,0.109177,-0.000872,0.001434,18.0,2.0,13.0,MTE,22,Idle
0.33,-0.60578,0.107372,0.1366,-0.001716,-0.215829,-0.97643,-0.039483,-0.051993,0.026417,0.994088,0.108558,-0.000631,0.002127,18.0,2.0,13.0,MTE,22,Idle
0.34,-0.785343,0.222287,-0.012982,-0.001464,-0.211632,-0.977348,-0.038361,-0.069602,0.021629,0.994317,0.106422,-0.000442,0.002746,18.0,2.0,13.0,MTE,22,Idle
0.35,-1.021317,-0.019289,-0.783189,0.000182,-0.206447,-0.978458,0.059587,-0.06368,0.019443,0.9946,0.103784,0.000143,0.000498,18.0,2.0,13.0,MTE,22,Idle
