secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
6.0,-0.117211,-0.008662,0.018402,-0.640549,-0.572529,-0.51177,0.036957,0.016712,-0.007029,0.847005,0.23767,-0.433161,-0.196132,18.0,3.0,13.0,MTE,22,TricepExt
6.01,-0.076332,0.006742,0.010106,-0.640334,-0.572859,-0.511669,0.0316,0.010145,-0.007007,0.8469,0.237723,-0.43319,-0.196454,18.0,3.0,13.0,MTE,22,TricepExt
6.02,-0.051104,-0.012739,0.026933,-0.640417,-0.573371,-0.510991,0.019217,0.009879,-0.001125,0.846659,0.237938,-0.433463,-0.196632,18.0,3.0,13.0,MTE,22,TricepExt
6.03,-0.057142,-0.007234,0.034334,-0.640914,-0.573473,-0.510253,0.000243,0.013109,0.013183,0.846442,0.237966,-0.433873,-0.19663,18.0,3.0,13.0,MTE,22,TricepExt
6.04,-0.072065,0.013999,0.03232,-0.641223,-0.572918,-0.510488,-0.016919,0.017834,0.01566,0.84652,0.237624,-0.433925,-0.196591,18.0,3.0,13.0,MTE,22,TricepExt
6.05,-0.095195,0.053436,0.01123,-0.641099,-0.572233,-0.511411,-0.012831,0.02252,0.002195,0.84678,0.237188,-0.433632,-0.196643,18.0,3.0,13.0,MTE,22,TricepExt
6.06,-0.080061,0.025964,-0.012034,-0.640592,-0.571637,-0.512711,0.008955,0.010083,-0.029586,0.847117,0.236758,-0.433117,-0.196845,18.0,3.0,13.0,MTE,22,TricepExt
6.07,-0.085254,-0.028108,-0.009426,-0.640206,-0.571205,-0.513675,0.038781,-0.005028,-0.027051,0.847332,0.23637,-0.432772,-0.197145,18.0,3.0,13.0,MTE,22,TricepExt
6.08,-0.117284,-0.072567,0.001636,-0.640019,-0.570624,-0.514552,0.038305,-0.002161,-0.004033,0.847501,0.235833,-0.432558,-0.197529,18.0,3.0,13.0,MTE,22,TricepExt
6.09,-0.116227,-0.052908,-0.02026,-0.639862,-0.570134,-0.51529,0.002853,0.011891,0.019715,0.847604,0.235296,-0.432424,-0.19802,18.0,3.0,13.0,MTE,22,TricepExt
6.1,-0.065013,-0.010878,-0.034119,-0.639722,-0.569911,-0.515709,-0.036776,0.016262,0.022744,0.847635,0.234968,-0.43236,-0.198419,18.0,3.0,13.0,MTE,22,TricepExt
6.11,-0.048786,0.027579,-0.020645,-0.639673,-0.569835,-0.515855,-0.0409,0.022212,0.031496,0.847632,0.234826,-0.432353,-0.198613,18.0,3.0,13.0,MTE,22,TricepExt
6.12,-0.042412,0.047671,-0.005953,-0.639791,-0.569526,-0.51605,-0.011347,0.025641,0.022627,0.847691,0.234632,-0.432346,-0.198607,18.0,3.0,13.0,MTE,22,TricepExt
6.13,-0.040644,0.044075,-0.020074,-0.639784,-0.569043,-0.516591,0.025923,0.022702,0.00385,0.847858,0.234357,-0.432182,-0.198575,18.0,3.0,13.0,MTE,22,TricepExt
6.14,-0.05185,-0.005071,-0.03566,-0.639403,-0.568676,-0.517467,0.044097,0.019603,-0.008977,0.84807,0.234061,-0.431836,-0.198774,18.0,3.0,13.0,MTE,22,TricepExt
6.15,-0.051344,-0.015922,-0.033263,-0.638826,-0.568739,-0.518109,0.031541,0.009489,-0.002734,0.848165,0.233941,-0.431529,-0.199174,18.0,3.0,13.0,MTE,22,TricepExt
6.16,-0.030606,0.020595,-0.021395,-0.6383,-0.568985,-0.518487,-0.004827,0.007934,-0.001883,0.848203,0.233972,-0.431293,-0.199486,18.0,3.0,13.0,MTE,22,TricepExt
6.17,-0.007554,0.04463,-0.009917,-0.638182,-0.569067,-0.518543,-0.028414,0.024252,-0.005475,0.848211,0.234011,-0.431239,-0.199524,18.0,3.0,13.0,MTE,22,TricepExt
6.18,0.022335,0.068765,-0.008679,-0.638299,-0.568969,-0.518506,-0.031531,0.037597,-0.005603,0.848243,0.234036,-0.431247,-0.199339,18.0,3.0,13.0,MTE,22,TricepExt
6.19,0.054041,0.088374,-0.007426,-0.638399,-0.569016,-0.518332,-0.021498,0.036469,-0.011926,0.848264,0.234212,-0.431252,-0.199035,18.0,3.0,13.0,MTE,22,TricepExt
6.2,0.065376,0.106044,0.000587,-0.638189,-0.569158,-0.518434,-0.019144,0.037481,-0.02783,0.848376,0.234492,-0.431041,-0.198685,18.0,3.0,13.0,MTE,22,TricepExt
6.21,0.101342,0.029554,-0.0153,-0.637744,-0.569497,-0.518609,-0.021344,0.045678,-0.047294,0.848476,0.234838,-0.430751,-0.198476,18.0,3.0,13.0,MTE,22,TricepExt
6.22,0.099687,0.138069,-0.000925,-0.637098,-0.570015,-0.518834,-0.020144,0.021447,0.009053,0.848597,0.23532,-0.430357,-0.198245,18.0,3.0,13.0,MTE,22,TricepExt
6.23,0.057436,0.151333,-0.026231,-0.636059,-0.57044,-0.519641,-0.027271,0.018835,-0.032148,0.848897,0.235794,-0.429629,-0.197974,18.0,3.0,13.0,MTE,22,TricepExt
6.24,0.031533,0.081413,-0.042201,-0.635383,-0.570705,-0.520177,0.000877,-9.6e-05,-0.038005,0.849082,0.236065,-0.429168,-0.197857,18.0,3.0,13.0,MTE,22,TricepExt
6.25,-0.011325,0.054334,-0.024296,-0.635234,-0.57039,-0.520705,0.010615,-0.013396,0.011306,0.849263,0.235939,-0.428929,-0.197751,18.0,3.0,13.0,MTE,22,TricepExt
6.26,-0.031111,0.099301,-0.026571,-0.635235,-0.569567,-0.521603,-0.017109,-0.000791,0.027768,0.849558,0.235507,-0.428643,-0.197616,18.0,3.0,13.0,MTE,22,TricepExt
6.27,0.04785,0.154432,-0.017065,-0.634822,-0.568907,-0.522826,-0.042058,0.008558,-0.005311,0.849982,0.235275,-0.428057,-0.197343,18.0,3.0,13.0,MTE,22,TricepExt
6.28,0.02157,0.124139,-0.009802,-0.634312,-0.568231,-0.524177,-0.020214,0.041589,-0.026848,0.850469,0.235098,-0.427364,-0.196956,18.0,3.0,13.0,MTE,22,TricepExt
6.29,0.038749,0.062825,-0.007441,-0.634076,-0.567111,-0.525674,0.013577,0.040896,-0.015494,0.850986,0.234604,-0.42676,-0.196623,18.0,3.0,13.0,MTE,22,TricepExt
6.3,0.047576,-0.014044,-0.009575,-0.634397,-0.567104,-0.525294,0.012739,0.008174,-0.016409,0.850927,0.23469,-0.426935,-0.196394,18.0,3.0,13.0,MTE,22,TricepExt
6.31,0.01281,-0.005818,0.022295,-0.634768,-0.566374,-0.525633,-0.014829,-0.00963,0.023863,0.851079,0.234335,-0.426931,-0.196165,18.0,3.0,13.0,MTE,22,TricepExt
6.32,-0.013495,0.037105,0.036369,-0.634691,-0.565897,-0.526239,-0.041624,-0.001165,0.026468,0.851288,0.23412,-0.426695,-0.19603,18.0,3.0,13.0,MTE,22,TricepExt
6.33,0.004487,0.067182,0.029319,-0.634454,-0.566177,-0.526224,-0.031638,0.017929,0.01623,0.851304,0.234352,-0.426576,-0.195941,18.0,3.0,13.0,MTE,22,TricepExt
6.34,0.085843,0.05393,0.02355,-0.634581,-0.566547,-0.525672,0.011245,0.023319,-0.003183,0.851219,0.234733,-0.42669,-0.195609,18.0,3.0,13.0,MTE,22,TricepExt
6.35,0.116515,0.040132,0.037163,-0.634835,-0.566589,-0.525321,0.046318,0.032211,-0.008431,0.851238,0.235006,-0.426745,-0.195077,18.0,3.0,13.0,MTE,22,TricepExt
